WKT,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"MULTILINESTRING ((103005.938646189 195922.021003801,102965.402049277 195910.79217133))",,,,"9030","9030",
"MULTILINESTRING ((102866.034228802 196784.379011926,102864.835088951 196778.578659807,102809.639782821 196745.470874503,102799.840481216 196740.56955906))",,,,"9030","9030",
"MULTILINESTRING ((101512.325478874 196847.687201886,101510.728032661 196830.086802457,101496.129924744 196817.184707269,101502.631013852 196809.485613999,101501.731000256 196808.685610349,101510.532566738 196798.286840145,101512.432456706 196799.787222438,101524.934551566 196784.988715261,101523.93469311 196784.188879867,101531.235586852 196775.489722919,101535.235331833 196777.890353092,101544.735921781 196775.291583327))",,,,"9030","9030",
"MULTILINESTRING ((101673.423519058 196861.809913125,101660.525281789 196849.308072142,101656.425744825 196846.907616176,101648.126738344 196838.60627305,101637.42609791 196844.604942634,101626.527604701 196833.203183518,101626.128525565 196826.803257789,101610.530828284 196810.401015799))",,,,"9030","9030",
"MULTILINESTRING ((101510.669337724 196900.906024002,101517.218150039 196900.587758685,101526.618195012 196898.188980298,101544.018607683 196896.59157947,101567.718980127 196895.594649406,101571.618062284 196898.995301022))",,,,"9030","9030",
"MULTILINESTRING ((101537.712461533 196939.590801874,101528.812132638 196942.489185103,101524.211428858 196946.688532487,101509.611995752 196945.086603281,101507.609074824 196963.886373959,101483.104770114 196992.882734304,101480.804390732 196995.782665386,101471.104981322 196992.881021673,101470.205232952 196992.680896974,101470.104988225 196992.880859377,101440.199658004 197029.776610794))",,,,"9030","9030",
"MULTILINESTRING ((101499.494961765 197064.585310027,101506.692629804 197079.286208469,101486.989369225 197103.883427721),(101486.989369225 197103.883427721,101505.068946459 197119.760874891),(101486.989369225 197103.883427721,101474.338356327 197119.676640726,101491.709860565 197134.466593125))",,,,"9030","9030",
"MULTILINESTRING ((102729.274977011 197202.459255137,102739.073317409 197214.160739256,102764.468900144 197245.164545664,102781.765829743 197266.566543805))",,,,"9030","9030",
"MULTILINESTRING ((102863.235124722 197484.178231268,102869.326107844 197545.679179624))",,,,"9030","9030",
"MULTILINESTRING ((101769.965520227 195858.723656268,101780.023193527 195834.96280854,101793.472812106 195807.227329301,101798.274342449 195796.527888752,101798.274958215 195792.327806119))",,,,"9030","9030",
"MULTILINESTRING ((103718.223351718 196103.725167306,103685.289338976 196174.759192857))",,,,"9030","9030",
"MULTILINESTRING ((104003.573366914 196504.740287347,103983.575146914 196492.437407826,103971.976200116 196485.535742451,103971.838026654 196485.345452453))",,,,"9030","9030",
"MULTILINESTRING ((99355.4845187958 191652.490702217,99341.0336689299 191636.929894371),(99394.1403160364 191684.236465882,99394.6702287288 191678.680232629,99393.9303122751 191668.731339528,99391.497559658 191661.481839993,99381.9734911507 191655.659547473,99372.448924876 191651.689446053,99362.9240886419 191651.423462426,99355.4845187958 191652.490702217),(99368.0545918148 191701.743072702,99358.6841499085 191697.725153332,99352.3345664219 191694.549047552,99347.3089018896 191684.758917659,99347.0459442792 191672.852617271,99350.4866928581 191663.327994708,99355.4845187958 191652.490702217),(99368.0545918148 191701.743072702,99377.2050201808 191697.992376088,99385.1430104793 191693.760037236,99390.4355393147 191687.939927939,99394.1403160364 191684.236465882),(99449.5131099755 191726.563599143,99443.6113653103 191727.105959708,99432.4988895836 191726.310732368,99418.2120370402 191722.339853419,99407.1004141537 191715.459093061,99399.6936043453 191705.668369739,99395.5803037175 191694.525271666,99394.1403160364 191684.236465882),(99449.5131099755 191726.563599143,99461.8845731125 191719.88287865,99475.2199851015 191716.286189169,99494.2701759567 191714.595734326,99515.0132200575 191717.138596893,99534.4859094947 191722.22123381,99552.476707813 191728.78560357,99567.0654232035 191731.813772357,99587.3008483748 191733.713729768,99606.5880850405 191733.400294409,99636.3044535565 191729.589075915,99702.7108371533 191712.545772977),(99417.1723550112 191771.588746832,99416.8829973121 191763.614808241,99403.3933255793 191735.037665382,99395.7227714735 191719.426112626,99391.4904666604 191711.752577139,99384.8765305973 191706.989057173,99368.0545918148 191701.743072702),(99417.1723550112 191771.588746832,99421.2384766202 191761.363685487,99427.8019864857 191749.299508395,99436.2702099124 191738.082449297,99443.2564139354 191730.675116186,99449.5131099755 191726.563599143),(99308.6829830183 191895.915003309,99370.2545238131 191861.343719969,99386.4449959275 191840.604376464,99394.4109050008 191829.214962071,99401.9002719161 191816.027756815,99409.4176430469 191794.053890936,99417.1723550112 191771.588746832))",,,,"9031","9031",
"MULTILINESTRING ((99475.9920865199 191903.390025999,99491.9676068029 191906.736011735,99503.6353979045 191909.436356776,99522.7647371678 191911.026749952,99538.8779735494 191908.171557369,99563.247414825 191900.025672634,99574.2555826818 191890.502122469,99590.3453655264 191867.644314229,99597.7558783423 191852.194004866,99610.2497623465 191814.095482861,99614.27301494 191802.666161168,99618.7190160229 191794.623306599,99631.8444879073 191780.232023995,99662.7712426759 191754.119901313,99718.2250255294 191723.368667327),(99475.9920865199 191903.390025999,99467.1377809364 191897.043195843,99446.8181770013 191893.336307173,99423.1119679072 191891.427902144,99395.7652601196 191892.996173754,99370.5645940128 191897.823457161,99343.5761103911 191905.59826143,99265.5025671237 191933.421615141),(99475.9920865199 191903.390025999,99458.9871145069 191908.528725605,99352.2997077843 191958.255191252,99339.8108108049 191963.756716335,99327.5320614938 191976.243343089,99324.5673193299 191986.403059255,99327.5290365029 191997.621780802,99331.9733679364 192004.607265447,99342.9786765608 192013.07572721,99356.3131138582 192018.369321251,99367.1571325532 192020.152348763,99376.4049249704 192022.157597099,99384.1117328399 192022.312770906,99391.9726725084 192020.618563,99403.2251513826 192017.074970547,99425.4223412781 192003.051842653,99455.1738707581 191979.473451159,99471.2054782341 191967.299239613,99483.2295921489 191955.432425521,99487.3925392454 191945.876711337,99489.5520385797 191935.858240508,99488.0119768046 191925.06871621,99483.8522015489 191912.429032403,99475.9920865199 191903.390025999))",,,,"9031","9031",
"MULTILINESTRING ((100060.685369735 193092.811358153,100030.728950937 193064.465710694))",,,,"9031","9031",
"MULTILINESTRING ((99668.4987469789 193118.370086468,99670.0056714569 193116.032890844,99678.7565208217 193100.093117991))",,,,"9031","9031",
"MULTILINESTRING ((102340.878258465 192621.079680507,102324.688147045 192624.627292734,102324.60452705 192635.426866588))",,,,"9031","9031",
"MULTILINESTRING ((100180.20449979 192813.341544181,100141.927005023 192896.817591539))",,,,"9031","9031",
"MULTILINESTRING ((100227.314619882 193151.303310067,100230.018709074 193157.767895463,100235.871990643 193159.834754999,100257.434024048 193189.102515994,100290.732623861 193234.478224898,100305.743999619 193255.009402081,100322.284244737 193277.779168434,100352.198216917 193318.841409987,100360.004797111 193326.213002698,100363.344223904 193333.592334086))",,,,"9031","9031",
"MULTILINESTRING ((99958.3139549352 193475.65685917,99956.7297610219 193479.599479829,99956.060738395 193481.093281213,99955.1285892916 193482.180602592,99953.8857687639 193483.112393836,99948.0433674245 193485.189849509),(99948.0433674245 193485.189849509,99927.4515776093 193492.511970045,99926.1568617858 193492.972243386,99924.8287980145 193493.049779435,99923.5861205913 193492.894285635,99922.1881169992 193492.583404951,99920.9455593581 193491.961857643,99920.0912384534 193491.340412113,99919.081654089 193490.563578892,99918.3827787713 193489.631466304,99917.9945932826 193488.699383543,99917.37335601 193487.534314699,99917.2182637991 193485.980890513,99917.2961892576 193484.427488267,99917.7622906528 193482.874313196,99918.6946442805 193481.088027915,99919.9375983517 193479.534862965,99921.4133336978 193478.369996531,99922.9669280376 193477.748907905,99924.8309659923 193477.593780991,99926.9279125836 193477.827203769,99945.4897314115 193484.276237814,99948.0433674245 193485.189849509),(99948.0433674245 193485.189849509,99998.2626058321 193503.157053578,100013.523526047 193508.844524989,100022.820247876 193512.871663212,100043.928549179 193523.217420035,100064.160867767 193530.779485753))",,,,"9031","9031",
"MULTILINESTRING ((99575.706007194 193658.622986059,99573.7943242802 193654.061699882,99578.7385886987 193651.479667685,99589.93259863 193647.416379079,99612.9213342537 193639.136228511,99618.4523686473 193638.941016677))",,,,"9031","9031",
"MULTILINESTRING ((100549.060767147 193798.937849141,100552.927130048 193798.305970669,100606.400183442 193846.411244736,100612.952286713 193851.481206606,100663.843097493 193899.271983316))",,,,"9031","9031",
"MULTILINESTRING ((98935.3790510706 192086.453686957,98819.5132058947 192139.345743141,98757.1145445386 192170.081876268,98563.2929954218 192259.887299658,98370.7723117016 192347.023993787,98274.7849945898 192391.001746523,98190.1272280555 192426.209578313,98114.0137008746 192457.080552059,98061.3587126363 192476.652306764,97993.6217405491 192502.042693025,97929.8537477789 192524.523380883,97825.0733087159 192562.079400915,97758.9240570892 192585.617916746,97664.4628594397 192618.94211564,97631.9174161531 192630.579214009,97570.2663438156 192652.530856079,97514.0559578371 192672.161671968,97452.9044181794 192695.239210209,97344.7239025442 192733.817403548,97142.9420827055 192803.547671599,96832.3050161841 192914.628891668,96462.4868019156 193048.745482255,96339.5695097652 193091.907742061))",,,,"9031","9031",
"MULTILINESTRING ((104515.308080987 196610.112882614,104479.260068556 196597.107368253,104446.861710817 196586.802922385,104439.161947986 196585.201644403,104431.661627841 196587.500980594))",,,,"9032","9032",
"MULTILINESTRING ((104411.673434506 196503.997849064,104421.77298479 196507.899465555,104426.672845351 196508.500191515,104435.572402779 196510.60140172,104438.672138135 196511.901669647,104449.571625865 196516.103191399,104462.470956942 196520.805265557,104469.170738527 196523.206367794,104474.470592216 196524.806646375,104479.070372913 196526.307372516,104488.369923588 196529.008705451,104494.069713925 196530.90978712,104499.369199623 196533.810280137,104500.369036754 196534.410732836,104502.068714121 196536.410872827,104503.768610504 196538.010977219,104505.268494854 196539.611384454,104507.168293653 196541.011578626,104508.768080832 196541.911887347,104510.967843126 196542.811979845,104512.667988906 196543.612142507,104514.267555877 196544.112546964,104516.56745952 196544.512777487,104518.667571832 196544.513088032,104520.567607647 196544.513388247,104521.759410059 196544.351219732),(104521.759410059 196544.351219732,104522.767847614 196544.213884602,104524.967724188 196543.714085998,104526.767951718 196543.21426104,104531.468134101 196541.51482865,104533.668382579 196541.115117039,104535.66815312 196541.015595654,104537.668091988 196541.115682028,104543.767999125 196542.316543866,104555.167616325 196544.118344598,104568.567494964 196545.82027984,104590.767000295 196548.323389119,104602.567076471 196549.224913529,104615.766823182 196549.926841991,104634.266919494 196550.329470148,104652.266919817 196549.832222473,104674.167005519 196548.935222871,104691.767035435 196547.437649617,104703.667340319 196546.039427562,104707.967583114 196545.639988883,104718.267498218 196544.541408822,104732.968014329 196542.543255374),(104590.225079015 196614.414695919,104590.849819898 196613.291608473,104548.987416063 196590.164489404,104546.035576674 196588.236564316,104543.374655583 196585.666593683,104540.989034263 196582.454021729,104535.146968414 196573.382925051,104524.186813976 196554.978200963,104523.541600682 196553.041753381,104522.767650168 196549.685877386,104521.759410059 196544.351219732))",,,,"9032","9032",
"MULTILINESTRING ((104242.399588858 196710.362817184,104241.766644791 196711.137087837))",,,,"9032","9032",
"MULTILINESTRING ((103692.439609118 196742.796134396,103650.842967995 196720.090241103))",,,,"9032","9032",
"MULTILINESTRING ((103871.21397497 197630.721036615,103895.012328309 197643.024441924,103926.409369275 197662.928641542))",,,,"9032","9032",
"MULTILINESTRING ((105301.878578341 198582.523492627,105301.381378633 198564.02352614,105301.181923066 198560.223419307,105300.582647006 198555.92342663,105300.283002296 198552.123295317,105299.583377446 198548.523176433,105298.683844616 198544.523260483,105297.284658597 198539.522754753,105295.685424395 198535.022634943,105294.286052356 198531.122530145,105290.787200675 198522.921978802,105288.887482253 198519.12156663,105286.688099628 198515.221354545,105284.488792131 198511.821258463,105281.789336217 198507.920692758,105278.589884058 198503.420359924,105275.490438422 198499.719998098,105272.290859767 198496.019365783,105269.590640349 198497.518945339,105264.891370093 198493.218413774))",,,,"9032","9032",
"MULTILINESTRING ((104720.684101366 198544.741162296,104712.482519682 198557.240006583,104700.329642013 198575.632475154,104721.027994187 198588.635507737))",,,,"9032","9032",
"MULTILINESTRING ((104719.007477632 198614.871686728,104724.27369208 198618.841579775,104738.072309152 198629.243478301,104717.368083915 198657.640633587))",,,,"9032","9032",
"MULTILINESTRING ((104777.1534112 196643.249727872,104773.710503378 196646.316696281,104768.182231196 196666.641041481,104769.576431481 196669.279409857,104759.30860593 196705.436651885))",,,,"9032","9032",
"MULTILINESTRING ((105274.212650403 198056.324752439,105288.81393332 198062.634427679,105290.075278534 198065.383462057,105292.900037752 198085.422307022,105293.145495161 198087.819432713,105269.414349862 198123.466807805,105269.904184939 198136.559096079,105270.825121786 198143.443622082,105272.914067992 198149.283213517,105275.372170777 198154.262250575,105278.075801824 198159.118531078,105282.00905275 198164.036434252,105285.942353419 198168.46259494,105288.032017133 198170.614045653,105289.076557009 198173.257422044,105290.181699444 198181.30984916,105290.302935595 198193.480058461,105289.624267099 198211.428264132,105288.823951668 198220.463893028,105284.3945828 198247.385737994,105283.102728973 198253.347712791,105280.397598572 198258.694882309,105276.524550615 198262.874095316,105268.963183113 198270.433204819,105259.249210533 198284.323329553,105256.298308769 198289.54755738,105252.302118691 198295.079291466,105249.535078273 198301.901586068,105247.505405504 198311.244212174,105246.889881566 198318.066764166,105246.889055274 198323.967797457,105246.701281046 198347.5709388,105246.206289914 198370.620556031,105245.345629672 198372.095961785,105240.108102637 198374.914993838,105238.030172944 198377.811249746,105229.116497062 198384.878485393,105225.406267508 198386.312800563,105223.276572713 198389.364725121,105220.202747573 198391.700181936,105209.752856211 198396.370192462,105206.0030862 198397.844778671,105199.364749887 198398.519959716,105163.205229931 198395.403917319))",,,,"9032","9032",
"MULTILINESTRING ((103557.817651686 198071.668239989,103560.517432098 198073.387201278,103563.743306366 198088.098420061,103566.811336592 198095.930591864,103572.736516705 198106.356027084,103578.133078187 198112.865608206,103581.83663756 198117.52277919),(103648.650328701 198106.887562219,103648.648464732 198106.890277971,103636.478462309 198127.240758821),(103535.420813229 198113.478822444,103581.83663756 198117.52277919),(103581.83663756 198117.52277919,103592.98202386 198119.058996788,103611.079217509 198121.204635825,103623.302670726 198123.428885935,103636.478462309 198127.240758821),(103636.478462309 198127.240758821,103645.709127537 198131.825149352,103667.57514293 198145.004532036,103684.837853416 198154.651076199,103701.267294204 198162.948097047,103719.681142869 198170.967648726,103742.023708877 198182.599171726,103765.993157734 198195.223274089,103800.161659878 198212.92868349,103838.378018403 198232.262010694,103883.758653729 198256.509627324,103917.331559166 198276.35820759,103932.022141391 198285.01128501),(104049.31465778 198204.682351736,104045.032464323 198210.831787438,104042.159074618 198215.978216505,104030.427172627 198230.818325944,104026.237015456 198236.993925495,104024.680572443 198240.10571634,104019.772396815 198246.089612898,104016.180732976 198252.073744326),(104094.893366039 198217.897100433,104091.710029061 198227.547496542,104076.864041785 198257.229103967,104062.018984949 198279.848828486),(104016.180732976 198252.073744326,104014.265339692 198254.347654329,104012.589623615 198255.304933995,104010.554833595 198255.304639535,104007.682274723 198254.9451105,103999.064634568 198253.507617754,103975.844376313 198252.905783549,103972.971679706 198253.264480745,103970.936794572 198254.221810571,103968.782192763 198255.298707699,103966.627596414 198256.974110123,103964.712210034 198258.769233081,103963.515000955 198260.444770855,103962.197948288 198263.556584861,103957.168563712 198279.594547947),(103957.168563712 198279.594547947,103952.261050923 198281.149861011,103946.515538666 198282.824758074,103941.368679069 198283.781499021,103932.022141391 198285.01128501),(103957.168563712 198279.594547947,103958.484577818 198283.903610837,103958.483829729 198289.050414404,103959.512621208 198299.696381359),(104062.018984949 198279.848828486,104062.378800723 198274.342949631,104062.379596345 198268.597755476,104062.021104968 198264.887310351,104060.705018101 198260.817546506,104059.029754356 198257.825055448,104056.636469036 198254.114227632,104053.644574881 198251.121551083,104049.695073004 198248.367939484,104046.583230709 198248.008491473,104043.471158296 198248.008087849,104040.837904796 198248.00772813,104036.169853951 198248.605445202,104016.180732976 198252.073744326),(104062.018984949 198279.848828486,104061.898562185 198284.397058958,104062.496496333 198288.347037778,104063.812672889 198291.578941914,104065.248698007 198294.092653988,104067.402685781 198296.12775977,104074.22470255 198300.557304942,104082.004086786 198303.909713564,104088.227734217 198306.424204384,104094.57101937 198309.417386818,104102.230696188 198313.607704916,104105.821165165 198316.121696695,104121.97774505 198329.05077583,104125.20902417 198332.04353343,104134.42337418 198345.570069317,104136.577126676 198350.956435855,104137.414354557 198354.786762422,104137.533587621 198358.377548194,104136.93468595 198361.848493331,104135.976600941 198364.960429277,104134.659614437 198367.952499967,104131.906130706 198372.02170287,104117.741844253 198393.824070837),(103932.022141391 198285.01128501,103945.610456386 198293.049525641,103959.512621208 198299.696381359),(103959.512621208 198299.696381359,103959.559585302 198300.18198427,103962.888970746 198343.670165456),(103959.512621208 198299.696381359,103975.03687304 198306.901251391,104011.441356686 198319.814717925,104030.200239999 198327.492360068,104034.961794109 198329.994765194,104038.731665012 198333.038013793,104041.972339793 198336.676457923,104044.485276315 198340.976310615,104051.49494235 198353.544965751,104054.73549502 198358.241861098,104059.166563071 198362.872700353,104063.267101039 198366.577427648,104068.492061223 198370.41471946,104074.246201208 198374.384179865,104082.447725451 198378.552563381,104092.369008872 198383.051894374,104101.099747653 198386.82352451,104112.60850482 198391.256858632,104117.741844253 198393.824070837),(104256.022739119 198319.563667779,104259.295802004 198323.495474513,104254.653181819 198335.378252902,104249.434108106 198348.651616356,104244.902924288 198360.390696447,104241.315525378 198369.558399745,104239.489019202 198373.896202598,104237.302508038 198378.474930679,104234.585507328 198384.805832551,104231.537873365 198391.195999826,104227.334597214 198398.103167569,104222.505876334 198405.22333752,104218.277459968 198409.719508514,104209.667499716 198419.97500588,104204.118671946 198427.338693782,104198.730684968 198435.149244933,104193.352111999 198443.391355769),(104117.741844253 198393.824070837,104095.851560242 198427.51852381),(104117.741844253 198393.824070837,104159.515005215 198420.817446904,104177.372711945 198432.964378566,104193.352111999 198443.391355769),(104193.352111999 198443.391355769,104201.950177366 198449.292763622,104211.553614161 198456.12031158,104230.315108358 198469.497776563,104251.347386898 198485.045053929,104276.480091493 198503.834010333,104299.364191827 198520.770695193,104321.322366276 198537.244049707,104331.838517827 198544.653940833,104337.592806336 198547.300577489,104344.405701639 198548.227635428,104352.144874484 198547.501054133,104390.907267082 198542.148709428,104479.342596631 198530.205568925),(104488.110208419 198515.50571822,104480.279567508 198508.519579416,104476.999264568 198504.49745773,104475.835662833 198501.11060043,104476.047933552 198496.136529844,104479.852341057 198487.689822334),(104501.972726812 198527.149352137,104497.846078473 198521.327910318,104493.401568962 198517.834786358,104488.110208419 198515.50571822),(104501.972726812 198527.149352137,104513.968398954 198551.570880331),(104479.342596631 198530.205568925,104488.110208419 198515.50571822),(104479.342596631 198530.205568925,104501.972726812 198527.149352137))",,,,"9032","9032",
"MULTILINESTRING ((107166.609381523 194128.888972376,107166.904747514 194098.667552808,107149.231545891 194078.815730005,107162.808229719 194064.05596503,107171.743600788 194055.957973093))",,,,"9040","9040",
