WKT,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"MULTILINESTRING ((102751.912725605 193411.66021568,102711.736010354 193425.882919036),(102711.736010354 193425.882919036,102708.853485233 193414.718797841),(102711.736010354 193425.882919036,102710.819577368 193431.029074433,102734.227640461 193498.407907647),(102734.227640461 193498.407907647,102784.764987878 193480.325477839),(102734.227640461 193498.407907647,102740.594021296 193514.499285657),(102740.594021296 193514.499285657,102883.412060965 193465.250106305,102893.916670583 193460.238496494,102903.346938194 193453.436238733,102911.021691823 193444.597349274,102915.405183735 193435.653174413,102919.106414163 193427.059822756,102921.614625627 193416.914464545,102922.093590545 193405.813840535,102921.617714995 193395.310137742,102919.523795844 193385.314543637,102915.284569586 193373.444172101),(102740.594021296 193514.499285657,102746.76470682 193533.856153527))",,,,"9000","9000",
"MULTILINESTRING ((103477.043819344 193892.766244466,103472.140239271 193917.365526081,103480.439898326 193919.166586659,103479.939704367 193922.066551689,103501.638992505 193926.769813158))",,,,"9000","9000",
"MULTILINESTRING ((103452.839244131 193925.362979969,103447.235254855 193953.262096069,103478.834176205 193960.166691987))",,,,"9000","9000",
"MULTILINESTRING ((103425.438980637 193967.456302153,103421.335781054 193986.592983881,103419.898368835 193993.643618392),(103419.898368835 193993.643618392,103414.428311239 193992.487115238,103408.088835518 193991.007137992),(103451.100337102 194001.021936486,103443.828162236 193998.703116321,103419.898368835 193993.643618392))",,,,"9000","9000",
"MULTILINESTRING ((105505.680571307 194335.453447022,105515.265332748 194326.309149755,105521.387324323 194329.911593602,105540.562456355 194349.452245942,105546.323071255 194356.369933408,105551.726449647 194363.016474697,105554.777001295 194367.998240786,105570.371923076 194390.573158673,105585.002132906 194413.147577565,105585.437885604 194414.268252288,105595.678278643 194432.23429711,105604.082873265 194445.062817723,105607.133371546 194450.729904952,105610.120855607 194460.911372286,105613.482035533 194468.819905093,105616.532354201 194475.607454206,105626.741481359 194496.717956638),(105626.741481359 194496.717956638,105613.856494458 194503.36876354,105596.155223749 194512.566340121),(105626.741481359 194496.717956638,105633.900276667 194511.383285416,105637.569783879 194541.179421271,105637.677425246 194549.865349801,105642.795928125 194572.439439817,105640.333245863 194572.917306291))",,,,"9000","9000",
"MULTILINESTRING ((102855.342193043 194968.33575905,102860.563324981 194963.835990319,102882.440314106 194935.125382504,102876.398039096 194921.680716186))",,,,"9000","9000",
"MULTILINESTRING ((105571.040484386 195324.462390205,105589.444901094 195291.764949116,105585.047022335 195277.064530329,105601.250466595 195251.767073536,105609.550865015 195250.367960298,105639.448396535 195267.172377979))",,,,"9000","9000",
"MULTILINESTRING ((105820.337599166 195341.497882539,105825.236176374 195352.898501661,105832.035825954 195354.799512572,105835.133389559 195373.300178447,105828.830720041 195392.299050904,105824.930725887 195392.998647206,105826.029473933 195399.598674404,105823.729444672 195399.898466291,105827.426337091 195423.69909661,105825.325727328 195427.398345388,105830.221848251 195454.199247511))",,,,"9000","9000",
"MULTILINESTRING ((104791.587975278 195342.802094843,104788.998265549 195359.780245671,104788.897167845 195364.341243943,104788.633497313 195366.669280744,104781.887859898 195395.225697444,104778.626644655 195405.879134747,104775.92751851 195409.053653996,104773.704497598 195411.275962599,104770.846757012 195413.021766967,104627.414395614 195493.538975555))",,,,"9000","9000",
"MULTILINESTRING ((103185.112575294 195524.824398596,103185.013015137 195520.724497351,103177.214447333 195511.623501732,103145.319727127 195474.118684882,103126.822995418 195452.016282039,103106.824956035 195438.113268679,103080.229778808 195404.809590421,103051.934775268 195369.805591976,103044.435468693 195362.504433223),(103185.112575294 195524.824398596,103208.015629981 195502.927534303),(103185.112575294 195524.824398596,103195.010831152 195536.225735034,103205.808948471 195548.827415948,103227.105572623 195573.43042024,103244.403108556 195592.832908046,103246.701768453 195599.932942321,103250.701278378 195604.333581215,103268.898614341 195623.63633126,103276.398125246 195627.337309675,103287.396369328 195638.838941232,103292.594949261 195648.939483494,103310.992410063 195667.44241111,103317.99188779 195670.443214929,103329.190191316 195681.544890343,103351.08721895 195703.448008155,103369.384436472 195722.150475625),(103161.009046807 195550.12111083,103161.609116767 195549.621088008,103163.310632644 195539.321530642,103179.212381687 195525.423487425,103184.212330658 195525.724405043,103185.112575294 195524.824398596))",,,,"9000","9000",
"MULTILINESTRING ((106394.158767144 196126.081491474,106391.02642015 196125.778418698,106363.226700117 196124.274695809,106347.426970639 196123.372341732,106330.226932405 196122.269905631,106313.82716618 196121.367471147,106297.027379739 196120.365147178,106279.927511502 196119.362820999,106244.50755436 196117.207768641,106231.966127133 196116.571081517,106226.886011558 196118.316688191,106222.599447853 196121.49117332,106220.112433993 196126.588809266,106216.759872736 196138.830342651))",,,,"9000","9000",
"MULTILINESTRING ((106269.601889419 196298.861205531,106278.003394342 196289.262704041,106283.10500957 196276.863214893,106287.906874701 196265.863981476,106294.108683809 196252.4647858,106299.510400837 196240.465651284,106301.911281786 196232.86576889,106303.712863843 196220.666218753,106305.314298771 196211.866379641,106306.215769975 196202.566596487,106306.317279194 196191.1664072,106306.117915617 196186.666471583,106301.618636131 196180.26598086))",,,,"9000","9000",
"MULTILINESTRING ((105706.992709932 196365.581658151,105676.594820526 196350.877157503,105631.697670256 196329.371065615,105548.503541482 196289.559226518))",,,,"9000","9000",
"MULTILINESTRING ((105801.865970243 196393.406046123,105857.340809373 196394.801737721,105880.655622533 196395.633739895))",,,,"9000","9000",
