"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court"
312,"Kerrestraat",,"ziet karrestraat.",,
313,"Ketelplein","plaine des chaudronniers ou des bastions","van begin nederkouter rechts, tot de lei.",5,2
314,"Ketelstraatje",,"ziet stadhuissteeg.",,
315,"Ketelvest","rempart des chaudronniers ou des bastions","van nederkouter tot walpoortbrugstraat.",5,2
316,"Kiekenmarkt","marché aux poulets","van botermarkt tot goudenleeuwplaats.",1,2
317,"Kiekenstraat","rue du poulet","van brugschesteenweg tot hamerstraat.",6,2
318,"Kievitstraat","rue du vanneau","van musschenstraat tot s. pieters-aalststraat, s. pieters-aalst.",5,2
319,"Kleemsstraat","rue de l'argile","in den nieuwen rabotwijk van de rabotdreef tot gazmeterlaan (ontworpen straat)",6,2
320,"Kleine bellevuestraat","petite rue de bellevue","van coupure, linker oever, tot bijlokevest.",2,2
321,"Kleine binnenweg","petit chemin de traverse","Ledeberg, van binnenweg tot langestraat.",0,2
322,"Kleine botermarkt","petit marché au beurre","van bij s. jacobs tot baudeloolei.",1,1
323,"Kleine dok","petit dock ou dock, rive gauche","ziet boulevard van den kleinen dok en kleine dokkaai.",,
324,"Kleine dokkaai","quai du petit dock","van antwerpschesteenweg tot voormuide langs het water.",7,1
325,"Kleine hoogpoortstraat","petite rue du hautpoort","van ketelplein tot leistraat.",5,2
326,"Kleine hospitaalstraat","petite rue de l’hôpital","van akkergemstraat tot hospitaalstraat.",2,2
327,"Kleine huidevettershoek","petit toquet","van corianderstraat tot lammerstraat.",5,2
328,"Kleine kerkstraat","petite rue de l’église","Ledeberg, van kleine binnenweg tot hoefijzerstraat.",0,1
329,"Kleine koornmarkt",,"ziet koornmarkt.",,
330,"Kleine kuipersstraat","petite rue des tonneliers","van brabantdam tot kuiperskaai.",4,1
331,"Kleine onderstraat","petite rue basse","van onderstraat lot kammersstraat.",1,1
332,"Kleine penitentenstraat","petite rue des pénitents","van kleine botermarkt tot wolvensteeg.",1,1
333,"Kleine ramstraat","petite rue du bélier","van ramstraat tot luxemburgstraat.",2,2
334,"Kleine reke",,"v. huidevetterskaai tot bleekersreke en ham.",3,1
335,"Kleine statiestraat of Poelman","petite rue de la station ou Poelman","van brabantdam tot kleine kuiperstraat.",4,1
336,"Kleine s. Gillisstraat","impasse s. Gillis","in s. gillisstraat, zonder eind.",5,1
337,"Kleine veerstraat","petite rue du ponton","van kortrijkschestraat tot de lei.",5,2
338,"Kleine vleeschhuissteeg","ruelle de la petite boucherie","van kouter tot kortedagsteeg.",1,2
339,"Kleine vischmarkt","petit marché au poisson","van vleeschhuisbrug tot veerleplaats.",3,1
340,"Kleine ijperstraat",,"ziet ijpersteeg.",,
341,"Klein gewat","petite avenue de la cour","van groot gewat tot lievekaai.",2,2
342,"Klein meerhem","place du petit marais","van groot meerhem tot sasschekaai en voormuide.",3,1
343,"Klein Turkijen","petite Turquie","van goudenleeuwplaats tot koornmarkt.",1,2
344,"Kleistraat","rue de l'argile","van zwijnaardschesteenweg tot kortrijkschesteenweg, s. pieters-aalst.",5,2
345,"Kluizestraat","rue de l’hermitage","van molenaarstraat tot lievegang.",3,1
346,"Kluyskensstraat","rue Kluyskens","van de bijlokevest, langs het nieuw hospitaal, tot de bijlokestraat.",2,2
347,"Koestraat","rue aux vaches","van kalanderberg tot kortedagsteeg.",1,2
348,"Koepoort","porte aux vaches","was vroeger op einde der bijlokestraat.",,
349,"Koepoortkaai","quai aux vaches ou quai porte aux vaches","van mortierstraat tot arteveldeplaats.",4,1
350,"Koepoortstraat","rue du quai porte aux vaches","van apostelstraat tot koepoortkaai.",4,1
351,"Kogelstraat","rue de la balle","van antwerpschesteenweg tot weldadigheidstraat.",7,1
352,"Koningstraat","rue royale","van zandberg tot vlasmarkt.",1,1
353,"Koningstraat","rue royale","s. amandsberg, tusschen het nieuw begijnhof en den dendermondscheweg.",0,1
354,"Koningstraat",,"Ledeberg, ziet kleinen binnenweg.",,
355,"Koolsteeg","rue aux choux","v. burgstr. tot begijnendries.",2,2
356,"Koophandelplaats",,"ziet recollettenplein.",,
357,"Koornbloemstraat","rue du bluet, rue de la fleur de blé","van akkergemstraat tot kruisboogstraat.",2,2
358,"Koornlei","quai au blé","v. grasbrug tot huurdochtersstr.",2,2
359,"Koornmarkt","marché aux grains","van kortemunt tot veldstraat.",1,2
360,"Koperstraat","rue du cuivre","v. ijperstraat tot stoppelstr.",2,2
361,"Korte beenhouwersstraat","rue courte des bouchers","van gruisberg tot winkelsteeg.",4,1
362,"Korte begijnenstraat","rue courte des béguines","van begijnenstraat tot proveniersstraat.",2,2
363,"Korte bogaardstraat","rue courte du verger","van lange bogaardstraat tot belgradestraat.",4,1
364,"Korte boomgaardstraat",,"ziet korte bogaardstraat.",,
365,"Kortedagsteeg","rue courte du jour","van koestraat tot walpoortbrug.",1,2
366,"Korte kalversteeg","rue courte aux veaux","van roode koningstraat tot kaatsplaats.",3,1
367,"Korte kammersstraat","rue courte des peignes","van kammersstraat tot bij s. Jacobs.",1,1
368,"Korte koestraat","rue courte aux vaches","van spiegelstraat tot de oude ossenmarkt.",1,1
369,"Korte krevelsteeg","rue courte des démangeaisons, ou passage de la rue de Bruxelles","van keizerstraat tot s. lievenstraat.",4,1
370,"Korte kruisstraat","rue courte de la croix","van kruisstraat tot mageleinstraat.",1,2
371,"Korte meire","rue courte du marais","van volderstraat tot kouter.",1,2
372,"Korte munt","rue courte de la monnaie","van groenselmarkt tot koornmarkt.",1,2
373,"Korte onderstraat",,"ziet kleine onderstraat.",,
374,"Korte penitentenstraat",,"ziet kleine penitentenstraat.",,
375,"Korte ridderstraat","rue courte des chevaliers","van goudenleeuwplaats tot s. janstraat.",1,2
376,"Korte smisstraat","rue courte de la forge","van kortrijkschesteenweg tot smisstraat, s. pieters-aigem.",5,2
377,"Korte steensstraat","rue courte des pierres","van lange steensstraat tot slijpstraat.",3,1
378,"Korte stropstraat","rue courte du strop","van ottergemsteenweg tot de schelde, s. pieters-aalst.",5,2
379,"Korte violettestraat","rue courte des violettes","van recollettenlei tot annonciadenstraat (zottepoortbrug).",2,2
380,"Korte wijngaardstraat","rue courte de la vigne","van lange bogaardstraat tot belgradestraat.",4,1
381,"Korte ijperstraat",,"ziet ijpersteeg.",4,1
382,"Korte zilverstraat ","rue courte d'argent","van lievekaai tot prinsenhof.",2,2
383,"Kort onderbergen","rue courte de la vallée","van recollettenbrug tot onderbergen.",2,2
384,"Kortrijkschestraat","rue de Courtrai","van nederkouter tot kortrijkschepoort.",5,2
385,"Kortrijkschepoortstraat",,"ziet kortrijkschestraat.",,
386,"Kortrijkschesteenweg","chaussée de Courtrai","van kortrijkschepoort naar s. Denijs.",5,2
387,"Kortschipgracht","rue courte des bâteaux","van zaaimansstraat tot palingstraat.",3,1
388,"Kouter","place d'armes","van vogelmarkt tot comediestraat en zonnestraat.",1,2
389,"Kouterdreef","avenue de la place d'armes","van kalanderberg tot kouter.",1,2
390,"Koutersteeg","ruelle de la place d'armes","van koestraat tot kouter.",1,2
391,"Kozijntjensstraat",,"ziet cozijntjesstraat.",,
392,"Kraanlei","quai de la grue","ook ajuinlei genaamd, van veerleplaats tot oudburg.",3,1
393,"Kraanstraat","rue de la grue","van bleekersreeke tot dok.",7,1
394,"Krekelberg","mont des cigales","s. amandsberg, tusschen het nieuw begijnhof en den dendermondscheweg.",0,1
395,"Kriekerijstraat","rue de la cérisaie","van molenaarsstaaat tot s. margrietestraat.",3,1
396,"Krommenelleboog",,"ziet saliestraat.",,
397,"Krommenesch","rue du tortillard","van keizerkarelstraat.",4,1
398,"Krommewal","rue du fossé courbe","is nu krommewalplaats.",,
399,"Krommewalplaats","place du fossé courbe","van goudstraat tot krommewalbrug.",3,1
400,"Kromsteeg","rue tortue","v. catalognestr. tot bennesteeg.",1,2
401,"Kroonstraat","rue de la couronne","van weversstraat tot vlasstraat.",6,2
402,"Kruisstraat","r. de la croix","v. bij s. baafs tot kalanderb.",1,2
403,"Kruisboogstraat","rue de l’arbalète","van akkergemsstraat tot koornbloemstraat.",2,2
404,"Kuipersstraat","rue des tonneliers","van plottersgracht tot lange steenstraat.",3,1
405,"Kuiperskaai","quai des tonneliers","van Lieven Bauwensplaats tot oude scheldesteeg.",4,1
406,"Kwaadham",,"ziet spiegelstraat.",,
407,"Lammerstraat","rue de l’agneau","van s. pietersnieuwstraat tot Lieven Bauwensplaats.",5,2
408,"Landbouwersstraat","rue des cultivateurs","van meulesteeds. steenw. tusschen nrs 270 en 272 tot achtermuide.",3,1
409,"Land van Waasstraat buiten de dampoort","rue du pays de Waas","van dendermondschesteenweg tot antwerpschesteenweg.",7,1
410,"Lange beenhouwersstraat","rue longue des bouchers","van reep tot sleutelstraat.",4,1
411,"Lange bogaardstraat","rue longue du verger","van brabantdam tot capucienenham.",4,1
412,"Lange kalversteeg","rue longue aux veaux","van oudburg tot korte kalversteeg.",3,1
413,"Lange krevelsteeg","rue longue des demangeaisons ou passage de la r. s. Liévin","v. keizerstr. tot s. lievenstr.",4,1
414,"Langemeire","rue longue du marais","van kalanderberg tot kortemeire.",1,2
415,"Langemunt","rue longue de la monnaie","van groenselmarkt tot groot kanonplaats.",1,1
416,"Lange penitentenstraat",,"ziet penitentenstraat.",,
417,"Lange steensstraat","rue longue des pierres","van lievestraat tot korte steenstraat.",3,1
418,"Langestraat","rue longue","Ledeberg, van hundelgemschesteenweg tot brusselschesteenweg.",0,1
419,"Lange wijngaardstraat","rue longue de la vigne","van reep tot lange bogaardstraat.",4,1
420,"Lang schipgracht","rue longue des bâteaux","van lange steenstraat tot zaaimansstraat.",3,1
421,"Laurentstraat","rue Laurent","ziet spaarstraat (rue de l’épargne).",,
422,"Laurrierstraat","rue du laurier","van s. pietersnieuwstraat tot s. huibrechtstraat.",5,2
423,"Leemstraat",,"ziet kleemstraat.",,
424,"Leeuwerikstraat","rue de l'alouette","van maltebrugstraat tot vinkstraat, s. pieters-aigem.",5,2
425,"Leeuw te putte",,"ziet goudenleeuwplaats.",,
426,"Leikaai, buiten de brugschepoort","quai de la lys","van phoenixstraat tot Drongen.",6,2
427,"Leisteeg","ruelle de la lys","van nederkouter tot de lei (lindelei).",5,2
428,"Leistraat, buiten de brugschepoort","rue de la lys","van roigemstraat tot leikaai.",6,2
429,"Leistraatje","ruelle de la lys","van sluizeken tot achterlei.",3,1
430,"Leopoldstraat","rue Léopold","van roodetorenkaai tot kasteelbrugstraat.",7,1
431,"Liberteitstraat",,"ziet oranjeberg.",,
432,"Lievegang","passage de la lieve","van s. antoniuskaai tot kluizestraat.",3,1
433,"Lievekaai","quai de la lieve","v. kl. gewat tot k. zilverstr.",2,2
434,"Lievestraat","rue de la lieve","v. lievebrug t. langesteensst.",3,1
435,"Lieven Bauwensplaats","place Liévin Bauwens","van lammerstr. tot muinkkaai, dierentuindr. en statiestr. ","4 en 5",1
436,"Lindelei","quai aux tilleuls","van recollettenlei tot coupure, rechter oever.",2,2
437,"Lindenstraat","rue des tilleuls","van palingshuizen, langs hospice Guislain, tot kerkstraat.",6,2
438,"Loostraat","rue de Loo","van kortrijkschesteenweg tot meerschstraat, s. pieters-aigem.",5,2
439,"Luxemburgstraat","rue du luxembourg","van kleine ramstraat tot ramstraat.",2,2
440,"Maagdestraat","rue de la pucelle","van violettelei tot papegaaistraat.",2,2
441,"Maaihoveken",,"ziet kuiperskaai.",,
442,"Mageleinstraat","rue magelein ou aux marjolaines","van aan het belfort tot kalanderstraat.",1,2
443,"Maltebrugstraat","rue du pont de Malte","van en tot kortrijkschesteenweg, s. pieters-aigem.",5,2
444,"Maltsteeg","rue du Malt","van ottergemschesteenweg tot de schelde, s. pieters-aalst.",5,2
445,"Mannekensaarde",,"ziet groot kanonplaats.",,
446,"Maria-Therresiaplaats","place Marie-Thérèse","midden den nieuwen rabotwijk, tusschen de wondelgem¬, de Maria-Theresia¬, de vlot en de torentjensstraat.",6,2
447,"Maria-Theresiastraat","rue Marie-Thérèse","ontworpen straat in den nieuwen rabotwijk, van de kerkstraat tot Maria-Therresiaplaats.",6,2
448,"Marjoleinstraat",,"ziet mageleinstraat.",,
449,"Marnixstraat","rue Marnix","eerste straat links, van de kortrijkschesteenweg tot boulevard Leopold.",5,2
450,"Maststraat","rue du mat","van meulesteedschesteenweg tot spadestraat.",3,1
451,"Mathieu-Gesweinstraat","rue Math. Geswein","van vanakenstraat tot boulevard van het begijnhof",2,2
452,"Meerschkantstraat","rue des prairies","s. Amandsberg van antwerpschesteenweg tot achter s. Amandsberg.",0,1
453,"Meerschstraat","rue des prairies","van den kortrijksche steenweg tot s. Denijs.",5,2
454,"Meersteeg","rue du lac","van abrahamstr. tot burgstraat.",2,2
455,"Meirelbeekstraat","rue de Meirelbeke","van gildestraat tot beestenmarkt.",1,1
456,"Mertensstraat","rue Mertens","s. Amandsberg, van De Somerstraat tot papegaaistraat.",0,1
457,"Metsersstraat","rue des maçons","van regattendreef tot zondernaamstraat.",7,1
458,"Meulestede","hameau de Meulestede","van buitenmuide en terneuschelaan t. Wondelgem-Evergem-Oostakker.","S 3",1
459,"Meulesteedschesteenweg","chaussée de Meulestede","van voormuide tot Meulestede.","S 3",2
460,"Minnemanssteeg","rue des amants","van oude vlasmarkt tot kleine penitentenstraat.",1,1
461,"Minnemeersch","place du pré d'amour","van goudstraat tot minnemeerschbrug.",1,1
462,"Modenaaisteeg","rue des couturières","van veldstraat tot predikheerenlei.",1,2
463,"Molekensstraat","rue du moulinet","v. veldstraat tot de lei.",1,2
464,"Molenaarsstraat","rue des meuniers","van augustijnenkaai tot vogelenzangkaai.",3,1
465,"Molenstraat","rue du moulin","Ledeberg, van de vanlokerenstraat tot de langestraat.",0,1
466,"Molenstraat","rue du moulin","s. Amandsberg, achter het nieuw begijnhof.",0,1
467,"Molenweg","rue du moulin","van coupure, linker oever, tot bijlokevest.",2,3
468,"Mooriaanstraat","rue du maure","Ledeberg, van lange straat tot hundelgemschesteenweg.",0,1
469,"Mortierstraat","rue du mortier","v. veerstr. t. koepoortkaai.",4,1
470,"Moutsteeg","rue du malte","van de onderwijsstraat naar de schelde.",5,2
471,"Muinkbrugstraat","rue du pont des moines","van s. amand straat tot muinkkaai.",5,2
472,"Muinkkaai","quai des moines","van Lieven Bauwensplaats, langs de opperschelde, tot Benardstraat.",5,1
473,"Musschenstraat","r. des moineaux","van kortrijkschesteenweg tot zwijnaardschesteenweg, s. pieters-aalst.",5,2
474,"Nassaustraat","rue de Nassau","van kortrijkschesteenweg tot boulevard Léopold.",5,2
475,"Nederkouter","rue basse des champs","van ketelbrug tot kortrijkschestraat.",5,2
476,"Nederpolder","rue du bas-poldre","van hoogpoort tot roskamstraat.",1,2
477,"Nederscheldkaai",,"ziet reep.",,
478,"Nederscheldstraat","rue du bas-escaut","van bij s. baafs tot brabandstraat.",1,2
479,"Nettestraat","rue du filet","van drongenschesteenweg tot brugschesteenweg.",6,2
480,"Nieuwbegijnhofstraat","rue du nouveau béguinage","van dendermondschesteenweg tot oostackerstraat.",7,1
481,"Nieuwe kerkstraat","nouvelle rue de l’église","van nijverheidslaan tot Wondelgem (boerenkerkstraat).",6,2
482,"Nieuwenboschstraat","rue du nouveau bois","van Arteveldeplaats tot tweebruggenstraat.",4,1
483,"Nieuwe casinostraat","rue neuve du casino","van twaalkamersstraat tot casinoplaats.",5,2
484,"Nieuwe sasschepoortstraat",,"ziet voormuide.",,
485,"Nieuwe straat","rue neuve","Ledeberg, van driesstraat tot brusselschesteenweg.",0,1
486,"Nieuwe theresianenstraat","rue neuve des thérésiennes","van rasphuisstraat tot theresianenstraat.",2,2
487,"Nieuwe wandeling","nouvelle promenade","van coupure linker oever, tot akkergemboulevard.",2,2
488,"Nieuwe weg",,"ziet kanonikstraat.",,
489,"Nieuwe hospitaalstraat","rue du nouvel hôpital","van de coupure tot het nieuw hospitaal.",2,2
490,"Nieuwland","rue terre-neuve","van huidevetterskaai tot priestersstraat.",3,1
491,"Nieuwpoortje",,"ziet s. jansdreef en ijkstraat.",,
492,"Noordkaai, b. de brugschepoort","quai du nord, faub. de Bruges","van noordstraat tot eliseesche-velden.",6,2
493,"Noordstraat","rue du nord","van brugschepoortstraat tot noordkaai (buiten de brugschepoort).",6,2
494,"Noordstraat","rue du nord","Ledeberg, van vooruitgangplaats tot langestraat (noord de kerk).",0,1
495,"Nijverheidskaai","quai de l'industrie","van tolhuisbrug tot Wondelgem.",3,1
496,"Nijverheidslaan","allée ou avenue de l'industrie","van palingshuizen tot aan de nijverheidskaai, linkerkant van de verbindingsvaart. ","6 — S 3",2
497,"Nijverheidsplaats","place de l'industrie","tusschen s. salvatorstraat en de tolhuisbrug (maakte vroeger deel van het klein meerhem).",3,1
498,"Oeffeningsplein","champ des manoeuvres","was gelegen tusschen den boulevard van het kasteel en den dendermondscheweg, is tegenwoordig ingenomen doorstaats-spoorweg (station champ des manoeuvres) statie van het oeffeningsplein.",7,1
499,"Okerstraat","r. de l'ocre","v. veldstr. tot predikheerenlei.",1,2
500,"Oliestraat","rue de l'huile","van steendam tot s. jansdreef.",1,1
501,"Onderbergen","rue de la vallée","van s. Michielsplaats tot korte violettestraat.",2,2
502,"Onderstraat","rue basse","van langemunt tot koningstraat.",1,1
503,"Onderwijsstraat","rue de l'instruction","van ottergemschesteenweg tot zwijnaardschesteenweg, s. pieters-aalst.",5,2
504,"Onze-lieve vrouwestraat","rue Notre-Dame","van bogaardstraat tot plottersgracht.",3,1
505,"Oostakkerstraat, linkerkant van het papegaaistraatje","rue d'Oostacker","van antwerpschepoortstraat tot dendermondscheweg, op het gebied van Gent.",7,1
506,"Oostenrijkersstraat","rue des autrichiens","van s. machariusstraat tot spanjaardsstraat.",7,1
507,"Ossenstraat","rue des boeufs","van slachthuisstraat tot puinstraat.",7,1
508,"Oranjeberg","rue d'Orange ou de la liberté","van kalanderberg tot gouvernementstraat.",1,2
509,"Opperscheldestraat",,"ziet gouvernementstraat.",,
510,"Ottergemschesteenweg","chaussée d'Ottergem","van de voermalige heuvelp. tot zwijnaarde, s. pieters-aalst.",5,2
511,"Ottogracht",,"ziet baudeloolei.",,
512,"Ottostraat",,"ziet baudeloostraat.",,
513,"Oudburg","rue du vieuxbourg","van kraanlei tot sluizeken",3,1
514,"Oude ajuinlei","vieux quai aux oignons","van predikheerenstraat tot recollettenlei.",2,2
515,"Oude driesstraat","rue vieille du pré","van den dries tot brusselsche weg.",0,1
516,"Oude kerkweg","vieux chemin de l’église","op akkergemstraat, zonder eind.",2,2
517,"Oude molenaarsstraat","rue vieille des meuniers","van en tot terplaten.",5,2
518,"Oudenaardschesteenweg","chaussée d'Audenarde","buiten de heuvelpoort.",5,2
519,"Oude ossenmarkt","vieux marché aux boeufs","van oude beestenmarkt tot weezenstraat.",1,1
520,"Oude sasschepoortstraat","rue de l’ancienne porte du sas","van klein meerhem tot dok en voormuide.",3,1
521,"Oude schaapmarkt","vieux marché aux moutons","van vlasmarkt tot s. jansdreef.",1,1
522,"Oude scheldesteeg","passage du vieil escaut","van brabantdam tot kleine kuipersstraat.",4,1
523,"Oude vest","rue du vieux rempart","van baudeloostraat tot goudstraat.",1,1
524,"Oude vlasmarkt","vieux marché au lin","van vrijdagmarkt tot bij s. Jacobs.",1,1
525,"Paallepelstraat","rue de la cuiller","van savaanstraat tot bagattestraat.",5,2
526,"Pacificatiestraat","rue de la pacification","Ledeberg, van de vooruitgangplaats tot driesstraat.",0,1
527,"Paddenhoek","rue de la crapaudière","van kalanderberg tot voldersstraat.",1,2
528,"Palinghuizen, buiten de brugschepoort","maisons aux anguilles, faubourg de Bruges","van eliseesche-velden tot Mariakerke.",3,2
529,"Palingstraat","rue aux anguilles","van abriekplaats tot kort schipgracht.",3,1
530,"Pannestraat","rue de la tuile","van de palinghuizen tot den boulevard van den gazometer.",,
531,"Papegaaistraat","rue du perroquet","van annonciadestr. tot galgenbergstraat.",2,2
532,"Papegaaistraatje",,"ziet kleine onderstraat.",,
533,"Papegaaistraatje","rue du perroquet","s. Amandsberg, van antwerpschesteenweg tot dendermondscheweg, overkant van de oostackerstraat.",0,1
534,"Papenstraat",,"ziet priestersstraat.",,
535,"Paradijszak","impasse du paradis","in de donkersteeg, zonder eind.",1,1
536,"Parkstraat","rue du parc","van het nieuw begijnhof tot oostackerstraat.",7,1
537,"Parijsberg","montagne de Paris","van lammerstraat tot de schelde.",5,1
538,"Patershol",,"ziet korte kalversteeg.",,
539,"Patijntjestraat","rue du patin","van de meerschstraat tot snepbrug, s. pieters-aigem.",5,2
540,"Pekelharing","rue du hareng-pec","v. lindelei tot ijperstr.",2,2
541,"Pelikaanstraat","r. du pelican","v. belgradestr. tot abeelstr.",4,1
542,"Penitentenstraat","rue des pénitents","van kleine botermarkt tot wolvensteeg.",1,1
543,"Pensmarkt","marché aux tripes","van groenselmarkt tot hooiaard.",1,2
544,"Penssteeg","impasse aux tripes","op de hoogstraat, zonder eind.",2,2
545,"Pensstraat","rue aux tripes","van koornlei tot drapstraat.",2,2
546,"Peperstraat","rue du poivre","van hoogstraat tot burgstr.",2,2
547,"Perkamentstr.","r. du parchemin","van burgstr. tot de lei.",2,2
548,"Peterceliestraat","rue du persil","van boomstraat tot brugschesteenweg.",6,2
549,"Pharaïldeplaats",,"ziet veerleplaats.",,
550,"Phoenixstraat, buiten de brugschepoort","r. du phoenix, faub. de Bruges","van coupure tot brugschesteenweg.",6,2
551,"Plaisantevest","rempart de plaisance","ziet boulevard van plaisance.",,
552,"Plattensteeger",,"maakt deel van s. salvatorstraat.",,
553,"Ploegstraat","rue de la charrue","van den meulesteedschesteenweg tusschen 160 en 162 tot ijzeren weg.","S 3",1
554,"Plottersgracht","fossé des corroyeurs","van hertogstraat tot roodekoningstraat.",3,1
555,"Pluimstraat","rue de la plume","van tinnepotstraat tot korte zilverstraat.",2,2
556,"Poel","place du marais","van drapstraat tot hoogstraat.",2,2
557,"Poelmanstraat","rue Poelman","ziet kleine statiestraat.",,
558,"Pontstraat","rue du bac","Gentbrugge, van kerkstraat tot de schelde.",0,1
559,"Populierstraat","rue du peuplier","van boulevard van plaisance tot boulevard van den gazometer.",3,1
560,"Posthoornstraatje",,"ziet kromsteeg.",,
561,"Posthoornstraat","rue du cornet de poste","Ledeberg, van brusselschesteenweg tot kerkstraat en tot den dries, Gentbrugge.",0,1
562,"Pouillemarkt","marché aux poulets","ziet kiekenmarkt.",,
563,"Predikheerenlei","quai des dominicains","van graslei tot hoornstraat.",1,2
564,"Predikheerenstraat","rue des dominicains","van predikheerenbrug tot onderbergen.",2,2
565,"Priestersstr.","r. des prêtres","van s. salvatorstr. tot dok.",3,1
566,"Prinsenhof","cour du prince","v. groot gewat tot rabotweg.",2,1
567,"Prinsenstraat","rue du prince","van het prinsenhof tot de rabotstraat (voortijds de 1e prinsenhofzaksteeg).",2,2
568,"Prinsensteeg of 1e prinsenhofzaksteeg (impasse du prince.",,"ziet prinsenstraat.",2,"2 2e prinsenhofzakstraat of hofsteeg (impasse de la cour) in ’t prinsenhof, straat zonder eind."
569,"Prooststraat","rue du prévôt","van s. machariusstraat tot kazematstraat.",7,1
570,"Proveniersstraat","rue des prébendiers","van begijnenplaats tot begijnenstraat.",2,1
571,"Puinstraat","rue des ruines","van boulevard Lousbergs tot ossenstraat.",7,1
572,"Quaedham",,"ziet spiegelstraat.",,
573,"Rabotdreef","avenue du rabot","in den nieuwen rabotwijk, v. De Smetstraat t. den gazometersboulev. aan de brug van den spoorweg op de verbindingsvaart.",6,2
574,"Rabotstraat","rue du rabot","van begijnendries tot boulevard van het begijnhof.",2,2
575,"Rabotweg","passage de rabot","van prinsenhof tot boulevard van het begijnhof.",2,2
576,"Raffinadestraat","rue de la raffinerie","van waaistraat tot de lei, achterlei.",1,1
577,"Ramstraat","rue du bélier","van hoogstraat tot burgstraat",2,2
578,"Rapenstraat","rue des navets","van lange violettestraat tot Antheunisstraat.",4,1
579,"Rasphuisstraat","rue de la maison de force","van hoogstraat tot coupure, rechter oever.",2,2
580,"Ravenstraat","rue du corbeau","van veldstraat tot de rivier, oude ajuinlei.",1,2
581,"Recollettenlei","quai des récollets","van oude ajuinlei tot lindelei.",2,2
582,"Recollettenplein","place du palais de justice, ou place du commerce, ancienne plaine des récollets","van veldstraat en recollettenbrug tot ketelbrug.",1,2
583,"Reep","quai du bas-escaut","van brabantdam tot keizerkarelstraat.",4,1
584,"Regattendreef","avenue des régates","van bleekersreke tot dok.",7,1
585,"Registerstraat",,"ziet rogierstraat.",,
586,"Regnessestraat","rue des régnesses","van s. janstraat tot biezenkapelstraat.",1,2
587,"Reigerstraat","rue du héron","van ganzendriesstraat tot voskensstraat, s. pieters-aalst.",5,2
588,"Renodeynstraat",,"ziet hoveniersstraat.",,
589,"Ridderstraat","rue des chevaliers","van baaisteeg tot spiegelstraat.",1,1
590,"Rietgracht",,"maakt nu deel van boulev. van het kasteel.",,
591,"Rietstraat","rue du roseau","in den nieuwen rabotwijk, van de kerkstraat tot de vlotstraat.",6,2
592,"Rietstraatje",,"ziet koolsteeg.",,
593,"Rioolstraatje","ruelle de l'égoût","van twaalfkamersstraat tot coupure, rechter oever.",2,2
594,"Rodscheweg","chemin de Rode","Ledeberg, van hundelgemschesteenweg tot op den weg van Gontrode.",0,1
595,"Rogierstraat","rue du roger","van s. pietersnieuwstraat tot s. huibrechtstraat.",6,2
596,"Roigemstraat","rue de Rooigem","van phoenixstraat tot geitenstraat en peterceliestraat.",6,2
597,"Rommelwater",,"ziet visscherijvest of boulevard van het slachthuis.",,
598,"Roode koningstraat","rue du roitelet","van oudburg tot korte kalversteeg.",3,1
599,"Roodeleeuwstr. uitkomende op den hundelgems. steenw.",,,0,1
600,"Roodelijvekensstraat","rue des filles-dieu ou des corsetsrouges","van slijpstraat tot chartreuzenstraat.",3,1
601,"Roodetorenkaai","quai de la tour rouge","van steendam tot kasteelkaai.",7,1
602,"Roodetorenstraat","rue de la tour rouge","van kalvermarkt tot pasbrug.",1,1
603,"Roosstraat",,"ziet paradijszak.",,
604,"Roosendal",,"ziet kleine s. Gillisstraat.",,
605,"Roosendalken","vallée aux roses","van bagattestraat tot bloemstraat.",5,2
606,"Roskamstraat","r. de l'étrille","v. nederpolder tot barrestr.",1,1
607,"Rijkeclarenstraat","rue des riches-claires","van s. lievenstraat tot boulevard Frère-Orban.",4,1
608,"Saliestraat","r. de la sauge","v. stoppelstr. t. 12kamersstr.",2,2
609,"Sasscheblindestraat","impasse du sas","in de sasschestr.","S 3",1
610,"Sasschekaai","quai du sas","van de sassluis tot de sasschepoortbrug (voormuide).","S 3",1
611,"Sasschepoortstraat",,"ziet voormuide.",,
612,"Sasschestr.","rue du sas","v. voormuide tot sasschekaai.","S 3",1
613,"Savaanstraat","rue savaen","van nederkouter tot walpoortbrugstraat.",5,2
614,"Schaliestraat","rue de l'ardoise","van de palinghuizen tot de pannestraat.",6,2
615,"Scheldekant","rive de l'escaut","Ledeberg, van hundelgemschesteenweg tot brusselschesteenweg, Gentbrugge.",0,1
616,"Scheldesteeg","passage de l'escaut","van brabantdam tot kuiperskaai.",4,1
617,"Schepenhuisstraat","rue des échevins ou des grainiers","ziet zaadsteeg.",,
618,"Scheiergat","porte d'eau ou d’akkergem","van akkergemboulevard tot de lei.",2,2
619,"Schietspoelstraat","rue de la navette","ziet nettestraat (rue du filet).",6,2
620,"Schildstraat","rue du bouclier","van groendreef tot brugschesteenweg.",6,2
621,"Schoenlappersstraat","rue des savetiers","van langemunt links, tot de rivier, kraanlei.",1,1
622,"Schokkebroedersvest","rempart des Alexiens","van poel tot watergraafstraat.",2,2
623,"Schoolkaai","quai de l’école","van De Pauwbrug tot boulevard van het kasteel.",7,1
