"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI"
0,6690,3599,"Abdijstraat","Abdijstraat","rue de l'abbaye","Rue de l'abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
1,6691,3601,"Abeelstraat","Abeelstraat","rue du tremble","Rue du tremble","van brabantdam tot zakkebandstraat.",4,1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
2,6692,3602,"Abrahamstraat","Abrahamstraat","rue d'Abraham","Rue d'Abraham","van groot gewat tot meersteeg.",2,2,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
3,6693,8660,"Abrikoosstraat","Abrikoosstraat","rue de l'abricot","Rue de l'abricot","van brugschesteenweg tot groendreef.",6,2,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
4,6694,3604,"Academiestraat","Academiestraat","rue de l'académie","Rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
5,6695,3606,"Achterdries","Achterdries","arrière-pré","Arrière-pré","Gentbrugge.",0,1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
6,6696,3607,"Achterlei","Achterlei","quai de l'arrière-lys","Quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
7,6697,3608,"Achtermuide","Achtermuide","arrière-muide","Arrière-muide","van n° 170 op den meulesteedschen steenweg en uitkomende op den zelfden steenweg tusschen n°s 322 en 324.","H 3",1,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
8,6698,3609,"Achterstraat","Achterstraat","rue derrière","Rue derrière","van antwerpsche steenweg (dubbele arend) tot antwerpsche steenweg (Potuit) s. Amandsberg.",,,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
9,6699,3610,"Ajuinenlei","Ajuinenlei",,,"ziet kraanlei en ook oude ajuinenlei.",,,"1890-01-01T00:00:00",,,"1890-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/8K77UZSA","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=503&xywh=-645%2C0%2C4435%2C2685","https://adore.ugent.be/IIIF/images/archive.ugent.be%3AAC0B3B20-513F-11EC-BB1E-55C200E43F28%3ADS.1009/full/full/0/native.jpg"
