"order_id","place_name_NL","place_name_FR","d","police_uqarter","canton_of_small_claims_court"
71,"Blindestraat","rue de l’aveugle","Ledeberg, ziet kleine binnenweg.",0,1
72,"Bloemstraat","rue aux fleurs","van nederkouter tot pollepelstraat.",5,2
73,"Bloemstraat","rue aux fleurs","Ledeberg.",0,1
74,"Boegsteeg","r. de la proue","v. veldstr. tot predikheerenlei.",1,2
75,"Bonteleeuwstraat","r. du lion","v. korte meire tot veldstr.",1,2
76,"Bommelstraat","rue du bondon","van ottergemschesteenweg tot zwijnaardschesteenweg, s. Pieters-Aalst.","H 5",2
77,"Boomgaardstraat","rue du verger","van hertogstraat tot roodekoningstraat.",3,1
78,"Boomstraat","rue de l’arbre","van peterceliestraat tot brugschesteenweg",6,2
79,"Botermarkt","marché au beurre","van hoogpoort tot mageleinstraat.",1,2
80,"Botermansstraat","rue des beurriers","van burgstraat tot meersteeg.",2,2
81,"Boulevard der Heirnisse","boulevard de l’Heirnisse","van kasteelboulevard tot aan de nieuwe Sluis (Gentbrugge).",7,1
82,"Boulevard der normaalschool","boulevard de l’école normale","van zwijnaardsche steenweg tot kortrijksche steenweg.","H 5",2
83,"Boulevard van akkergem","boulev. d’akkergem","v. godshuizenboulev. en bijlokevest tot nieuwe wandeling.",2,2
84,"Boulevard van het begijnhof","boulev. du béguinage","van plezantevest tot brugschepoortstraat.",2,2
85,"Boulevard van Brussel of brusselsche boulevard","boulevard de Bruxelles","van einde keizer- tot einde s. lievenstraat.",4,1
86,"Boulevard der godshuizen","boulevard des hospices","ziet godshuizenboulevard.",,
87,"Boulevard der citadel","boulevard de la citadelle","van aan de brug over de Lei aan godshuizenboulevard tot aan de nieuwe brug over de Schelde aan Terplaten. ","H 5 en 5",2
88,"Boulevard van den dierentuin",,"ziet dierentuindreef.",,
89,"Boulevard van den kleinen dok","boulevard du petit dok","v. antwerpschesteenw. tot meulesteedschesteenw. ","H 3 en 7",1
90,"Boulevard Frère-Orban","boulevard Frère-Orban","van statieplaats tot s. Lievensboulevard.",4,1
91,"Boulevard van den gasmeter","boulev. du gazomètre","van palingshuizen tot spaargeldstraat (linker oever van den verbindingsvaart). ","3 en 6",1
92,"Boulevard van het kasteel","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai.",7,1
93,"Boulevard Leopold","boulev. Leopold","van den boulevard der citadel tot kortrijkschesteenweg.","H 5",2
94,"Boulevard Lousbergs","boulev. Lousbergs","voorheen visscherij, linker oever, van den slachthuisboulevard tot de nederschelde, bij de keizerpoort.",7,1
95,"Boulevard van plaisance","boulevard de plaisance","van begijnhofboulevard tot nijverheidsplaats.",3,1
96,"Boulevard van s. Lieven","boul. s. Liévin","van brusselsche boulev. tot aan de brug over de Schelde aan terplaten.",4,1
97,"Boulevard van het slachthuis","boulevard de l’abattoir","van de schoolkaai tot boulevard Lousbergs.",7,1
98,"Boulevard van den ijzeren weg","boulevard du chemin de fer","Ledeberg, van de bellevuestr. tot den ijzeren weg.",0,1
99,"Brabantdam","rue digue de brabant","van brabantstraat tot Van Arteveldeplaats.",4,1
100,"Brabantstraat","rue de brabant","van vogelmarkt tot brabantdam.",1,2
101,"Braderijstraat","rue des rotisseurs","van groot gewat tot lievekaai.",2,2
102,"Braeckmanstraat","rue Braeckman","s. Amandsberg, in de achterstraat.",,
103,"Brandstraat","rue de l'incendie","van houtlei tot holstraat.",2,2
104,"Brederodestraat","rue Brederode","van kortrijksche steenweg tot boulevard Leopold.","H 5",2
106,"Breidelsteeg","r. des selliers","v. de appelbrug tot burgstr.",2,2
107,"Briele",,"ziet fabriekplaats.",,
108,"Bronsteeg","rue de la source, rue de la civière","v. kalanderberg tot gouvernementstraat.",1,2
109,"Brouwersstraat","rue des brasseurs","van ram tot blindeken",2,2
110,"Brugschepoortstraat","rue de la porte de Bruges","van hoogstr. en begijnengracht tot noordstr., brugschep.",2,2
111,"Brugschesteenweg, buiten de brugschepoort","chaussée de Bruges","van phoenixstraat tot Mariakerke.",6,2
112,"Brunaustraat","rue Brunau","van Oostakkerstraat tot den kouter, s. Amandsberg.",,
113,"Brusselsche boulevard",,"ziet boulevard van Brussel.",,
114,"Brusselschesteenweg","chaussée de Bruxelles","Ledeberg, van de keizerpoort tot Gentbrugge-Melle.",0,1
115,"Brusselschesteeg",,"ziet krevelsteeg.",,
116,"Brusselschestraat of keizerstraat","rue de Bruxelles ou de l'empereur","van vijfwindgatbrug tot keizerpoort.",4,1
117,"Brusselschepoortvest",,"ziet boulevard van Brussel.",,
118,"Buiten de heuvelpoort","faubourg de la porte de la colline","ziet s. Pieters-Aalst.",,
119,"Buiten de kortrijkschepoort","faubourg de la porte de Courtrai","ziet s. Pieters-Aigem.",,
120,"Burgstraat","rue de Bruges","van hoogezonnestraat tot begijnengracht.",2,2
121,"Bijlokekaai","quai de la byloque","van coupure tot bijlokemeerschen.",2,2
122,"Bijlokenhof","square de la byloque","van bijlokevest tot godshuizenboulevard.",2,2
123,"Bijlokevest","rempart de la byloque","van godshuizenstr. tot kleine bellevuestraat en akkergemboulevard.",2,2
124,"Bij het fort",,"ziet boulevard der citadel.",,
125,"Bij s. Baafs","cloître s. Bavon","van s. janstraat tot bisdomplaats en s. Baafsstraat.",1,2
126,"Bij s. Jacobs","cloître s. Jacques, place ou près s. Jacques","v. kammerstr. tot steendam, rond s. Jacobskerk.",1,1
127,"Cameliastraat","rue du camelia","v. dendermondscheweg tot nieuwe begijnhofstraat.",7,1
128,"Casinoplaats","place du casino","van holstraat tot casinostraat.",2,2
129,"Casinostraat","rue du casino","van theresianenstraat tot casinoplaats.",2,2
130,"Casinosteeg","ruelle du casino","ziet nieuwe casinostraat.",,
131,"Cataloniëstraat","rue de la catalogne","van s. janstraat tot koornmarkt.",1,2
132,"Cauderlierkaai","quai Cauderlier","ziet kuiperskaai.",,
133,"Cederstraat","rue du cèdre","van sperrenstraat tot peterceliestraat.",6,2
134,"Chartreuzenstraat","rue des chartreux","van korte schipgracht tot groot meerhem.",3,1
135,"Colpaertsteeg","impasse Colpaert","op de coupure, linker oever, straat zonder einde.",2,2
136,"Comediestraat","rue du théâtre ou de la comédie","van kouter tot recollettenplein.",1,2
137,"Comijnstraat","rue du cumin","van den ram tot peperstr.",2,2
138,"Conduitsteeg","rue du conduit","van korte meire tot veldstraat.",1,2
139,"Conservatoriumstraat","rue du Conservatoire","van Limburgstraat tot bij s. Baafs.",1,2
140,"Contributiestraat","rue de la contribution","van brugschepoortstraat tot einde coupure, rechter oever.",2,2
141,"Corianderstraat","rue de la coriandre","van walpoortbrugstraat tot grooten huidevettershoek.",5,2
142,"Coupure, linker oever","coupure, rive gauche","van verlorenbroodstraat tot phoenixstraat, brugschepoort.",2,2
143,"Coupure, rechter oever","coupure, rive droite","van lindenlei tot contributiestraat.",2,2
144,"Coupuregang","passage de la coupure","van rasphuisstraat tot coupure, rechter oever.",2,2
145,"Cozijntjesstraat","rue des cousins","ziet Van Eyckstraat.",,
146,"Dampoortstraat","rue de la porte d'Anvers","van roodetorenkaai tot antwerpschesteenweg.",7,1
147,"Dekstraat","rue des couvreurs","van s. amandstraat tot lange kazernstraat.",5,2
148,"Demildreef","avenue Demil","Ledeberg, van hundelgemschesteenweg tot de schelde.",0,1
149,"Dendermondschesteenweg","chaussée de Termonde","van antwerpschesteenweg, dampoort, tot Destelbergen.",7,1
150,"De Smetstraat","rue De Smet","in den nieuwen rabotwijk, van de brug, aan den begijnhofboulev. tot kerkstraat.",6,2
151,"De Somerstraat","rue De Somer","s. Amandsberg, van antwerpschesteenweg tot Mertensstraat.",,
152,"De Vreesebeluik","cité De Vreese","van blandinusstraat tot rogierstraat.",5,2
153,"Dierentuindreef","boulev. ou avenue du jardin zoologique","van Lieven Bauwenplaats tot s. Lievensvest.",5,1
154,"Dikkeboomstraat",,"ziet kleine hospitaalstraat.",,
155,"Dobbelhuizen",,"ziet chartreuzenstraat.",,
156,"Dok","dock, bassin du commerce ou quai du grand bassin","van voormuide tot dampoortstraat ","H 3 en 7",1
157,"Dokstraat","rue du dock","van wollestraat tot den dok.",7,1
158,"Dok, linker oever","dock, rive gauche","ziet kl. dokkaai.",,
159,"Dok, rechter oever","dock, rive droite","ziet dok.",,
160,"Donkersteeg","rue du paradis","van goudenleeuwplaats tot koornmarkt.",1,2
161,"Donkerstraatje","rue obscure","van vrijdagmarkt tot steurstraat.",1,1
162,"Doode lieve",,"ziet augustijnenkaai.",,
163,"Doorgangsteeg","r. traversière","v. bennesteeg t. volderstr.",1,2
164,"Doorgangstraat","rue traversière","Ledeberg, van langestraat tot kerkstraat.",0,1
165,"Doornstraat","rue de l’épine","van Frans Ackermanstraat tot mortierstraat.",4,2
166,"Drapstraat","rue aux draps","van koornlei tot poel.",2,2
167,"Dries","le dries","Ledeberg, van brusselschesteenweg tot langestraat.",0,1
168,"Driesstraat","rue du dries","Ledeberg, van hundelgemschesteenweg tot den dries.",0,1
169,"Drongenhof","rue du bac","ziet veerdamstraat.",,
170,"Drongenschestraat of steenweg","rue ou chaussée de Tronchiennes","van rooigemstraat tot Drongen.",6,2
