"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI","map_number"
10,12224,1826,"aeroplaanlaan","Aeroplaanlaan","Aéroplane, aven. de l'","Avenue de l'aéroplane","rue du Paon jusqu’au nouveau bassin.",8,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg","4-12"
11,12225,164,"Afrikalaan","Afrikalaan","Afrique, boul. d'","Boulevard d'afrique","sur l’assiette de l’ancien chemin de fer derrière le petit dock. ",8,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 22-32"
12,12226,1608,"Afsnéstr.","Afsnéstraat","Afsné, r. d'","Rue d'afsné","pl. Marie-Henriette — quai d'Afsné.",11,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 94-96"
13,12227,558,"Afsnékaai","Afsnékaai","Afsné, quai d'","Quai d'afsné","rue d'Afsné — 2e viaduc (le long de la Lys)",11,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg","94-104"
14,12228,4047,"lammerstr.","Lammerstraat","Agneau, r. de l'","Rue de l'agneau","r. neuve St Pierre — pl. Liévin Bauwens.",5,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",70
15,12229,2611,"arendstraat","Arendstraat","Aigle, rue de l'","Rue de l'aigle","quai des moines — rue du cerf.",4,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 79-89"
16,12230,3612,"Akkergemlaan","Akkergemlaan","Akkergem, boul. d'","Boulevard d'akkergem","boulevard des hospices — pont d'Akkergem.",11,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 55-66"
17,12231,3612,"Akkergemstr.","Akkergemstraat","Akkergem, r. d'","Rue d'akkergem","coupure, r. g. — b. D'Akkergem.",11,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 56-56"
18,12232,12232,"Albertlaan","Albertlaan","Albert, boul.","Boulevard albert","ch. de Courtrai — b. des hospices.","9|11",2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 76-97"
19,12233,279,"Albertkaai","Albertkaai","Albert, quai","Quai albert","pont Albert — rue d'Afsné ",11,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 85-86"
20,12234,3844,"groendreef","Groendreef","Allée-verte","Allée-verte","quai du sud — Mariakerke.",6,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",25
21,12235,4068,"leeuwerikstr.","Leeuwerikstraat","Alouette, r. de l'","Rue de l'alouette","r. du pont de malte — r. des renardeaux.",9,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",106
22,12236,1351,"Amerikalaan","Amerikalaan","Amérique, boul. d'","Boulevard d'amérique","le long du chemin de fer de l'Etat, aboutit de part et d'autre au boul. du petit dock.",8,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 22-32"
23,12237,3614,"ankerstr.","Ankerstraat","Ancre, r. de l'","Rue de l'ancre","r. des prêtres — r. des distillateurs.",8,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",31
24,12238,3800,"ezelstr.","Ezelstraat","Ane, r. de l'","Rue de l'ane","vieille barrière — Oostacker. Mont-St Amand.",,,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",
25,12239,3796,"engelstr.","Engelstraat","Ange, r. de l'","Rue de l'ange","m. du vendredi — m. au fil.",1,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",50
26,12240,3797,"engelstr.","Engelstraat","Ange, r. de l'","Rue de l'ange","r. du moulin — ch. de Termonde. (Mont-St Amand). ",,,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg","54-64"
27,12241,3794,"Engelandgat","Engelandgat","Angleterre, r. d'","Rue d'angleterre","pl. St Michel — r. des sœurs noires.",2,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",58
28,12242,4201,"palingshuizen","Palingshuizen","Anguilles, maisons aux","Maisons aux anguilles","boul. de l'industrie — Mariakerke. ",10,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg"," 15-25"
29,12243,4202,"palingstr.","Palingstraat","Anguilles, r. aux","Rue aux anguilles","pl. des fabriques — r. courte des bâteaux.",3,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",39
30,12244,3615,"annonciadenstr.","Annonciadenstraat","Annonciades, r. des","Rue des annonciades","vieux q. des violettes — r. des douze chambres et rue du perroquet.",2,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",68
31,12245,3616,"Antheunisstr.","Antheunisstraat","Antheunis, r.","Rue antheunis","r. des navets — r. des cinq vannes.",4,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=328&xywh=-714%2C0%2C4634%2C2807","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.659/full/full/0/native.jpg",80
