"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
0,1445273575,3599,"Abdijstraat","Abdijstraat","rue de l’abbaye","Rue de l’abbaye","van boulevard van het slachthuis tot boulevard van ’t kasteel.","S 4",1,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
1,9591,3601,"Abeelstraat","Abeelstraat","rue du tremble","Rue du tremble","van brabantdam tot zakkebandstraat.",4,1,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
2,9592,3602,"Abrahamstraat","Abrahamstraat","r. d’Abraham","Rue d’Abraham","van groot gewat tot meersteeg.",2,2,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
3,9593,8660,"Abricotstraat","Abricotstraat","rue de l’abricot","Rue de l’abricot","van brugschesteenweg tot groendreef.",6,2,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
4,9594,3604,"Academiestraat","Academiestraat","rue de l’académie","Rue de l’académie","van augustijnenkaai tot s. margrietestraat.",3,1,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
5,9595,8662,"Achtergaalstraat","Achtergaalstraat","rue du rossignol","Rue du rossignol","van brugschesteenweg tot groendreef.",6,2,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
6,9596,3607,"Achterlei","Achterlei","quai de l’arrière-lys","Quai de l’arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
7,9597,3610,"Ajuinlei","Ajuinlei",,,"ziet kraanlei en ook oude ajuinlei.",,,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
8,9598,8666,"Ajuinstraat","Ajuinstraat","rue aux oignons","Rue aux oignons","nu gesloten, van oude ajuinlei tot onderbergen.",2,2,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
9,9599,3751,"Akkerstraat","Akkerstraat",,,"ziet rasphuisstraat.",,,"1880-01-01T00:00:00",,,"1880-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/RTK866QE","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABB887872-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=457&xywh=-882%2C-1%2C4840%2C2649"
