"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
0,10498,3599,"Abdijstraat","Abdijstraat","rue de l’abbaye","Rue de l’abbaye","van boulevard van het slachthuis tot boulevard van ’t kasteel.","S 4",1,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
1,10499,3601,"Abeelstraat","Abeelstraat","rue du tremble","Rue du tremble","van brabantdam tot zakkebandstraat.",4,1,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
2,10500,3602,"Abrahamstraat","Abrahamstraat","r. d’Abraham","Rue d’Abraham","v. groot gewat t. meersteeg.",2,2,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
3,10501,8660,"Abricotstraat","Abricotstraat","rue de l’abricot","Rue de l’abricot","van brugschesteenweg tot groendreef.",6,2,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
4,10502,3604,"Academiestraat","Academiestraat","rue de l’académie","Rue de l’académie","van augustijnenkaai tot s. margrietestraat.",3,1,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
5,10503,8662,"Achtergaalstraat","Achtergaalstraat","r. du rossignol","Rue du rossignol","van brugschesteenweg tot groendreef.",6,2,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
6,10504,3607,"Achterlei","Achterlei","quai de l’arrière-lys","Quai de l’arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
7,10505,3610,"Ajuinlei","Ajuinlei",,,"ziet kraanlei.",,,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
8,10506,8666,"Ajuinstraat","Ajuinstraat","rue aux oignons","Rue aux oignons","nu gesloten, van oude ajuinlei tot onderbergen.",2,2,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
9,10507,3751,"Akkerstraat","Akkerstraat",,,"ziet rasphuisstraat.",,,"1878-01-01T00:00:00",,,"1878-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/QQXZZCDU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:9B7E1F14-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A9B7E1F14-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=458&xywh=-901%2C0%2C4924%2C2694"
