"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI"
10,8667,3751,"Akkerstraat","Akkerstraat",,,"ziet rasphuisstraat.",,,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=461&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.925/full/full/0/native.jpg"
11,8668,7681,"Akkergemplaats","Akkergemplaats","place d’akkergem","Place d’akkergem","achter akkergemkerk, ziet boulevards der godshuizen en van akkergem.",,,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
12,8669,3612,"Akkergemstraat","Akkergemstraat","rue d’akkergem","Rue d’akkergem","van coupure, linker oever, tot akkergemboulevard.",2,2,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
13,8670,7683,"Akkergemvest","Akkergemvest","rempart d’akkergem","Rempart d’akkergem","ziet boulevard van akkergem.",2,2,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
14,8671,3613,"Ambeeldstraat","Ambeeldstraat","rue de l'enclume","Rue de l'enclume","van weversstraat tot vossenstraat.",6,2,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
15,8672,3614,"Ankerstraat","Ankerstraat","r. de l’ancre","Rue de l’ancre","v. priestersstr. tot stokersstr.",3,1,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
16,8673,3615,"Annonciadestraat","Annonciadestraat","rue des annonciades","Rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
17,8674,3616,"Antheunisstraat","Antheunisstraat","rue Antheunis","Rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
18,8675,3617,"Antwerpschestraat","Antwerpschestraat",,,"ziet dampoortstraat.",,,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
19,8676,3618,"Antwerpschesteenweg","Antwerpschesteenweg","chaussée d'Anvers","Chaussée d'Anvers","van de dampoortbrug naar s. Amandsberg.",7,1,"1882-01-01T00:00:00",,,"1882-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/B8LK38Q7","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8DC44084-5140-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=462&xywh=-894%2C0%2C4918%2C2691","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A8DC44084-5140-11EC-BB1E-55C200E43F28%3ADS.927/full/full/0/native.jpg"
