"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","map_number"
273,"coupuregang","Coupure, passage de la","r. de la maison de force — coupure, r. d. (",2,2,47
274,"groot gewat","Cour, avenue de la","r. de Bruges — cour du prince. (",2,3,48
275,"prinsenhofzakstraat of steeg","Cour, impasse de la","cour du prince. (",2,3," 38 47"
276,"klein gewat","Cour, petite avenue de la","aven. de la cour — q. de la Liève. (",2,3,48
277,"kroonstr.","Couronne, r. de la","r. de Rooigem — r. du lin. (",6,3,45
278,"koersplein","Courses, plaine des","r. Heyveld — Oostacker.",,,
279,"koersenstr.","Mont-St Amand Courses, r. des","ch. de Courtrai — r. de Maltebrugge (",9,2,
280,"makelaarsstr.","Courtiers, r. des","ch. de Meulestede — av. de Terneuzen. (",8,1,20
281,"kortrijkschestr.","Courtrai, r. de","r. basse des champs — boulev. Charles de Kerckhove. (",5,2," 78-87"
282,"kortrijkschesteenw.","Courtrai, ch. de","boul. Charles de Kerckhove — St Denis-Westrem. (",9,2," 87 104"
283,"modenaaisteeg","Couturières, r. des","r. des champs — quai des dominicains. (",1,2,59
284,"paddenhoek","Crapaudière, r. de la","pl. de la calandre — r. des foulons. (",1,2,59
285,"korte crevelstraat","Crevel, r. courte","r. de Bruxelles — r. St Liévin. (",4,1,91
286,,"Crevel","r. longue lange crevelstr.) r. de Bruxelles — r. St Liévin. (",4,1,91
287,"korte kruisstr.","Croix, r. courte de la","r. de la croix — r. de la calandre. (",1,2," 59 60"
288,"kruisstr.","Croix, r. de la","place St Bavon — place de la Calandre. (",1,2,60
289,"pollepelstr.","Cuiller, r. de la","r. savaen — r. des baguettes. (",5,2,69
290,"koperstr.","Cuivre, r. du","r. d'Ypres — r. du chaume. (",2,2,68
291,"landbouwersstr.","Cultivateurs, r. des","ch. de Meulestede, entre les nos 272 et 274— r. du faisan. (",8,1,11
292,"comijnstr.","Cumin, r. du","r. du bélier — r. du poivre. (",2,3," 47 48"
293,"zwaanstr.","Cygne, r. du","vieux bourg — r. c. aux veaux. (",3,3," 39 49"
294,"Dahliastr.","Dahlia, r. du","av. de Ryhove — r. du mimosa. ",10,3," 7-16"
295,"Daniel Kinetstraat","Daniel Kinet r.","rue Farman — avenue de l'aéroplane (",8,1," 4-12"
296,"Davidstr.","David, r.","av. du tolhuis — r. Van Crombrugghe. (",3,3,30
297,"De Craeyerstr.","De Craeyer, r.","r. l. des casernes — r. de la chênaie. (",5,2,88
297,"verdedigingstr.","Défense, r. de la","pl. Van Duyse — r. de Courtrai. (",5,2,88
298,"Demildreef","Demil, aven.","ch. d’Hundelgem — l'Escaut. (Ledeberg).",,,112
299,"Denaeyerdreef","Denaeyer, aven.","r. des remparts — ch. de Bruxelles (Gendbrugge). ",,,10
300,"Desmetstr.","Desmet, r.","pl. du rabot — boul. du gazomètre. ",10,3," 26-37"
301,"Desomerstr.","Desomer, r.","ch. d'Anvers — r. Mertens. (Mont-St Amand).",,,13
302,"Destelbergenstr.","Destelbergen, r. de","r. de Gendbrugge — ch. de Termonde. Mont St-Amand.",,,74
303,"tweebruggenstr.","Deux ponts, r. des","pl. du Comte de Flandre — pêcherie. (",4,1," 71-72"
303,"haspelstr.","Dévidoir, r. du","r. de rooigem — r. de l'enclume. (",,,
304,"Devreesebeluik","Devreese, cité","r. blandin — r. de F. la roseraie. (",5,2,
305,"dufvelstr.","Diable, r. du","r. du miroir — r. du canard (",1,1,
306,,"Digue de Brabant. Voir Brabant","digue de.",,,
307,"stokersstr.","Distillateurs, r. des","r. terre-neuve — place du dock. (",8,1," 30-31"
308,"dok","Dock","r. de la nouv. porte du sas — r. d'Anvers (",8,1," 20-52"
309,"dokpl.","Dock, pl. du","r. aux laines — dock n° 82 (",8,1," 31-41"
310,"dokstr.","Dock, r. du","r. aux laines — dock. (",7,1,52
311,"petit","Dock","(kleinen dok), ch. d'Anvers — ch. de Meulestede. (",8,1," 21-52"
312,"petit","Dock","quai du (kl. dokkaai) ch. d'Anvers — petit dock, le long de l'eau. (",8,1," 42-52"
313,"predikheerenlei","Dominicains, quai des","quai aux herbes — r. de la corne. (",1,2,59
314,"predikheerenstr.","Dominicains, r. des","pont des dominicains — r. de la vallée. (",2,2," 58-59"
315,"twaalfkamersstr.","Douze chambres, r. des","r. des annonciades — coupure, rive droite. (",2,2," 67-68"
316,"dracœnastr.","Dracœna, r. du","r. de l'œillet — rue de la limite. ",10,3," 8-9"
317,"drapstr.","Draps, r. aux","q. au blé — pl. du marais. (",2,"2 et 3"," 48-58"
318,"hertogstr.","Ducale, r.","quai de la grue — fossé des corroyeurs. (",3,3,48
319,"Duinkerkestr.","Dunkerque, r. de","r. de Londres — r. de l’avant-port. (",8,1,10
320,"Dycktemstr.","Dycktem, r. du","chaussée de Meulestede, — boul. Port-Arthur. (",8,1,11
321,"waterstraatje","Eau, ruelle de l'","r. neuve St Pierre — l'Escaut. (",5,2,70
322,"waterstr.","Eau, r. de l'","r. de Lourdes — Oostacker (côté droit).",,,
323,,"Mont-St Amand. 4-34",,,,
324,"sluisstr.","Ecluse, r. de l'","place de l’écluse — pont du fossé courbe. (",3,1,40
325,"sluizeken","Ecluse, place de l'","vieux-bourg — r. des rémouleurs. (",3,1,39
326,"sluizekenskaai","Ecluse, quai de l'","r. c. des pierres — place de l’écluse. (",3,1,39
327,"normaalschoolstr.","Ecole normale, r. de l'","boul. de la citadelle — ch. de Zwijnaerde. (",9,2,99
328,,"Ecole normale, boul. de l'","Voir horticulture, boul. de l'.",,,
329,"schoolkaai","Ecole, quai de l'","boul. de l’abattoir — boul. du château. (",7,1," 51-52"
330,"schoolstr.","Ecole, r. de l'","boulev. de l’abattoir — boulev. du château. (",7,1," 51-52"
331,"schoolstr.","Ecole, r. de l'","r. Louis De Smet — vieux chemin de Bruxelles (Gendbrugge). Ledeb.",,,92
332,"schoolstr.","Ecole, r. de l'","ch. d'Anvers — r. prince Albert, (Mont-St Amand). ",,,"43-54"
333,"schoolstraatje","Ecole, ruelle de l'","quai de l'école — r. de l’école (",7,1,52
334,"stalhofstraat","Ecuries, r. des","r. de la colline — quai St Pierre. (",5,2,89
335,"Edmond Blockstr.","Edmond Block, r.","r. de l'église — pont de l'Escaut, Gendbrugge. ",,,83
336,"Edmond Van Beverenplaats","Edmond Van Beveren, pl.","aven. de Ryhove — r. du houblon. ",10,3,17
337,"Eduard Anseeleplein","Edouard Anseele, place","rue aux Vents — rue des Epingles. (",1,1,50
338,"Ledeberg","Edouard Blaes, r. Eduard Blaesstr.), r. Eggermont — r. de l'enseignement",,,,101
339,"Ed. Pynaertkaai","Edouard Pynaert, quai","r. de Bruxelles — ch. d’Hundelgem (rive droite). (",4,1,91
340,"opvoedingstr.","Education, r. de l’","ch. de Swijnaerde — r. de l’instruction (",9,2,108
341,"Eggermontstr.","Eggermont, r.","ch. d’Hundelgem — pl. du progrès (Ledeberg). ",,,"101-102"
342,"Egide Bertinstr.","Egide Bertin, r.","r. Vande Velde — r. Van Hoorebeke (Ledeberg). ",,,103
343,"wilderoosstr.","Eglantine, r. de l'","r. de la vallée — r. d'Angleterre. (",2,2,58
344,"kerkstr.","Eglise, r. de l'","quai du nord — r. de la glacière. ",10,3,36
345,"nieuwe kerkstr.","Eglise, r. de la nouvelle","boul. de l’industrie — avenue de Ryhove. ",10,3,26
346,"oude kerkweg","Eglise, vieux chemin de l’","dans la r. d'Akkergem. ",11,2,56
347,"kerkstr.","Eglise, r. de l'","place de l'église — chauss. de Termonde. (Mont-St Amand). ",,,64
348,"kerkstr.","Eglise, r. de l'","r. du cornet de poste — r. des sentiers. (Gendbrugge).",,,"82-83"
349,"kerkstr.","Eglise, r. de l'","chauss. d’Hundelgem — pl. du progrès. (Ledeberg).",,,102
350,"kleine kerkstr.","Eglise, petite r. de l'","r. du sud — r. du fer à cheval (Ledeberg).",,,102
351,"kerkplein","Hglise, place de l'","devant l’église du SacréCœur. (Mont-St Amand).",,,64
352,"kerkplaats","Eglise, pl. de l'","devant l’église. Gendbrugge.",,,
353,"Egmontstr.","Egmont, r. d'","ch. de Courtrai (3e r. à g.) — boul. Léopold. (",9,2,97
354,"rioolstraatje","Egout, ruelle de l'","r. des douze chambres — coupure, rive droite. (",2,2,67
355,"olifantstr.","Eléphant, r. de l'","boulev. Gustave Callier — pont de Terplaeten. (",5,1," 90-100"
356,"Elisabethlaan","Elisabeth, av.","ch. de Courtrai — av.",,,
357,,"Albert. (",,9,2," 96 97"
358,"Emiel Braunplein","Emile Braun, place","entre Eglise St-Nicolas, rue du Cornet de Poste, rue Magelein et Beffroi (",1,2,59
359,"keizerstraat","Empereur, r. de l'","Voir Bruxelles, r. de.",,,
360,"ambeeldstr.","Enclume, r. de l'","r. des tisserands — r. des renards. (",6,3,45
361,"onderwijsstr.","Enseignement, r. de l'","r. Eduard Blaes — r. du pré (Ledeberg).",,,101
362,"Ondernemersstr.","Entrepreneurs, r. des","r. de Gendbrugge — r. de l’avenir Mont-St Amand. ",,,"73 74"
363,"spaarstr.","Epargne, r. de l'","boul. de plaisance — boulev. du gazomètre. (",3,3,29
364,"gulden sporenlaan","Eperons d'or, avenue des","pl. de la constitution — ch. de courtrai. (",9,2,107
365,"sperwerstr.","Epervier, r. de l'","r. du merle — r. de la corneille. (",9,2,98
366,"doornstraat","Epine, r. de l'","r. Frans Ackerman — r. du mortier. (",4,1,61
367,"speldenstr.","Epingles, r. des","pl. Edouard Anseele — fossé d'Othon. (",1,1," 40-50"
368,"Erasmusstr.","Erasme, r.","av. du tolhuis — mont des infidèles. (",3,3,30
369,"kluizestr.","Ermitage, r. de l'","r. des meuniers — passage de la Liève. (",3,3,38
370,"Scheldelaan","Escaut, boul. de l'","boulevard Lousbergs — boul. de l’heirnisse. (",7,1,82
371,"scheldedijk","Escaut, digue de l'","rue de Gentbrugge — le long de l’Escaut, Mont-St Amand.",,,
372,"scheldekaai","Escaut, q. de l'","ch. d’Hundelgem — q. de l'escaut (Gendbrugge). Ledeberg. ",,,"92 101"
373,"Scheldekant","Escaut, quai de l'","chemin de halage (Ledeb.) — pl. du bassin (Gendbr.). Gendbrugge. ",,,82
374,"Scheldestr.","Escaut, rue de l'","quai de l’Escaut — r. du cornet de poste (Gendbrugge). Gendbrugge. ",,,92
375,"scheldestr.","Escaut, r. de l'","ch. de Termonde — r. des entrepreneurs, Mont-St Amand ",,,"64-74"
376,"spanjaardsstr.","Espagnols, r. des","r. du prévôt — nouv. marche au bétail. (",7,1," 61-62"
377,"steurstr.","Esturgeon, r. de l'","pl. Edouard Anseele — petit marché au beurre. (",1,1,50
378,"zomerstraat","Eté, r. de l'","r. du bondon — boulevard du Strop ",,,108
379,"sterrestr.","Etoile, r. de l'","marché aux grains — q. aux herbes (",1,2,59
380,"sterrestr.","Etoile, r. de l'","arrière r. — ch. d'Anvers.",,,
381,,"Mont-St Amand. 41",,,,
382,"gouden sterrestr.","Etoile d'or, r. de l'","q. du sud — ch. de Bruges. (",6,3,46
383,"werkstraat","Etoupe, rue de l'","entre la rue du velours et la rue des tissus (",6,3,
384,"Spreeuwstr.","Etourneau, rue de l'","r. Pré aux Oies — rue du Jacquet. (",9,2,106
385,"roskamstr.","Etrille, r. de l'","r. du bas poldre — r. aux barres (",1,1,60
386,"Evastr.","Eve, r. d'","ch. d'Anvers — Westveld, MentSt Amand.",,,
387,"bisdomkaai","Evêché, quai de l'","place de l'évêché — r. neuve St Jacques. (",1,1,60
388,"bisdomplaats","Evêché, pl. de l'","cloître St Bavon, r. de la cathédrale — q. de l'évêché. (",1,2,60
389,"bisschopstr.","Evêque, r. de l'","ch. d’Hundelgem — chem. de halage. (Ledeberg)",,,101
390,"Tentoonstellingslaan","Exposition, avenue de l'","rue Wenemaer et r. de l'éléphant — r. Bernard (",5,1,". 90-100"
391,"fabriekstraat","Fabrique, r. de la","r. des sentiers — l'Escaut, Gendbrugge. ",,,83
392,"fabriekplaats","Fabriques, pl. des","r. St Marguerite — r. aux anguilles. (",3,3,39
393,"fezantstr.","Faisan, r. du","r. du coq — r. de la fourche. (",8,1,11
394,"meelstr.","Farine, r. de la","r. des meuniers — passage de la Liève. (",3,3,38
395,"Farmanstr.","Farman, r.","entre le 2e et le 4e pont du canal périphériqne du nouveau bassin (",8,1," 4-12"
396,"valkstr.","Faucon, r. du","rue des champs — la Lys. (",1,2,59
397,"St Pietersvrouwenstr.","Femmes St Pierre, r. des","r. basse des champs — r. St Amand. (",5,2,78
398,"hoefijzerstr","Fer à cheval, r. du","r. l. de la monnaie — la Lys. (",1,1,49
399,"hoefijzerstr. r. traversière — r. de la sorcière (Ledeberg","Fer à cheval, r. du",,,,102
400,"ijzerstr.","Fer, r. du","r. des tisserands — r. de Rooigem (",6,3,46
401,"Ferrerlaan","Ferrer, avenue","r. de la santé — Place Van Beveren ",10,3," 17-25"
402,"fiennesdreef","Fiennes, aven. de","q. au blé — r. des servantes. (",2,2,58
403,"Fièviéstr.","Fièvé, r.","r. terre-neuve — place du dock (",8,1," 30 31"
404,"nettestr.","Filet, r. du","boul. de Rooigem — avenue de la libération. (",6,3,45
405,"spinnersstr.","Fileurs, r. des","r. de Rooigem — rue des tisserands. (",6,3,46
406,"roodelijvekensstr.","Filles-Dieu, r. des","pl. de l’écluse — pl. des chartreux. (",3,1,39
407,"werregarenstr.","Fil-tors, r. du","r. haut-port — r. basse (",1,1,49
408,"Vlaanderenstr.","Flandre, r. de","pl. Liévin Bauwens — pl. Wilson. (",4,1," 60-71"
409,"pijlstraat","Flèche, rue de la","— rue de l’arbalète — rue du spiegelhof. ",11,2,56
410,,"Fleur de blé, r. de la","Voir bluet, r. du.",,,
411,"bloemistenstr.","Fleuristes, r. des","ch. d'Anvers — arrière-rue. (Mont-St Amand). ",,,44
412,"bloemstr.","Fleurs, r. aux","r. basse des champs — r. de la cuiller. (",5,2,69
413,"bloemstr.","Fleurs, r. aux","boul. du chemin de fer — r. de belle vue. (Ledeberg). ",,,100
414,"bloemstr.","Fleurs, r. aux","r. de Melle — r. de Meirelbeke. Gendbrugge.",,,
415,"Fleurusstr.","Fleurus, r. de","r. des moineaux — rue St-Pierre-Alost. (",9,2,107
416,"Flobertstr.","Flobert, r.","plaine St Pierre — r. St Amand (",5,2,78
417,"Florastr","Flora, r.","r. de Melle — Meirelbeke.",,,
418,"Florastr.","Gendbrugge. Flore, r. de","r. Louis De Smet — vieux chem. de Bruxelles. (Ledeberg). ",,,92
419,"hooiaard","Foins, place aux","r. courte de la monnaie — marché aux tripes et q. aux herbes. (",1,2,49
420,"Voetbalstr.","Football, r. du","boulevard Albert — rue du Patin. ",11,2,86
421,"smisstr.","Forge, r. de la","ch. de Courtrai — avenue Albert. (",9,2," 86 87"
422,"korte smisstr.","Forge, r. courte de la","r. de la prairie — r. de la forge. (",9,2,86
423,"fortlaan","Fort, boul. du","b. du parc — ch. de Courtrai. (",9,2,97
424,"fortstr.","Fort, r. du","parc — r. du sable (",9,2," 97-108"
425,"krommewal","Fossé courbe","fossé d'othon — pont du fossé courbe. (",1,1,40
426,"voldersstr.","Foulons, r. des","r. de la calandre — r. des champs. (",1,2,59
427,"vorkstr.","Fourche, r. de la","ch. de Meulestede — boul. Port-Arthur. (",8,1,11
428,"Frankrijkplein","France, place de","entre boul. du ardin Zoologique, quai des Moines, quai des Tonneliers et place Wilson. (",4,"3 et 11",70
429,"Frans Spaestr.","François Spae, r.","r. de l'éléphant 4 boulev. S. Liévin (",4,1,100
430,"Frans Ackermanstr.","Frans Ackerman, r.","r. du ponton — maisons des apôtres. (",4,1,61
431,"Esschestr.","Frêne, r. du","r. du raccordement — rue du peuplier. (",3,3,28
432,"Frère-Orbanlaan","Frère-Orban, boulev.","— place du comte de Flandre — boulev. de Bruxelles. (",4,1," 80-101"
433,"baaisteeg","Frise, rue de la","r. des ursulines — marché au lin. (",1,1,53
434,"Frœbelstr.","Frœbel, r.","place du béguinage — r. Verspeyen. (",2,3,47
435,"Frœbelstr.","Froebel, r.","r. de l'église — ch. de traverse,",,,
436,,"Ledeberg. 101 102",,,,
437,"tarwestr.","Froment, r. du","r. des meuniers — passage de la Liève. (",3,3,38
438,,"Fruits, marché aux","Voir herbes, quai aux.",,,
439,"fuchsiastr.","Fuchsia, r. du","r. du maïs — r. de la limite ",10,3,16
440,"Galvestonstraat","Galveston, rue","r. Ste-Thérèse — rue du Dycktem. (",8,1,11
441,"Gentstr.","Gand, r. de","ch. d'Anvers (Mont-St-Amand) — r. de Lourdes. (Mont-St-Amand).",,,34
442,"vrouwmattenstr.","Gardes-couches, r. des","r. de la vallée — r. d'Angleterre. (",2,2,58
443,"statiedreef","Gare, av. de la","av. Albert — pl. MarieHenriette. (",9,2,96
444,"gasmeterlaan","Gazomètre, boul. du","champs-élysées — boul. de plaisance.","3|10",3," 20-26"
445,"gasmeterstr.","Gazomètre, r. du","r. de la glacière — boul. du gazomètre.",10,3,26
446,"Gentbruggestr.","Gendbrugge, r. de","chaussée de Termonde — p. de l'escaut. ",,,"64-74 "
,"Gerardstr.","Gérard, r.","chaussée d'Anvers — r. de la prairie. (Mont-St Amand).",,,43
,,"Gérard-le-Diable, r. de (Geeraard-de-Duivelstr.) r. du Limbourg — cloître St Bavon. (",,1,2,60
,,"Gérard-le-Diable, square de (Geeraard-de-Duivelhof) entre r. Gérard-le-Diable, r. du Limbourg et cloître St Bavon. (",,,,
447,,"Gewat, grand","Voir Cour, avenue de la.",,,
448,,"Gewat, petit","Voir Cour, petite avenue de la.",,,
449,"violierstraat","Giroflier, rue du","— rue du tournesol — rue de la poire. (",6,3,35
450,"ijskelderstr.","Glacière, r. de la","r. Desmet — boul. du gazomètre. ",10,3," 26-36"
451,"zwaardsteeg","Glaive, imp. du","digue de Brabant — l'Escaut. (",4,1,70
452,"Gontrodestr.","Gontrode, r. de","ch. d’Hundelgem — r. de Gontrode, Gendbr. (Ledeberg) ",,,"112-113"
453,"Gontrodestr.","Gontrode r. de","r. de Gontrode (Ledeb).",,,
454,,"Melle. Gendbrugge. 113",,,,
455,"roerstraat","Gouvernail, r. du","ch. de meulestede — r. de la bêche (",8,1,11
456,"Gouvernementstraat","Gouvernement, rue du","r. du Limbourg — r. de Brabant. (",1,2," 60-70"
457,"schepenhuisstr. of zaadsteeg","Grainiers, r. des","r. hautport — r. basse. (",1,1,50
458,"koornmarkt","Grains, mar. aux","r. c. de la monnaie — r. des champs. (",1,2,59
459,"schuurkensstr.","Grange, r. de la","r. mont-au-chaume r. des couturières. (",1,2,59
460,"schuurstr.","Grange, r. de la","vieille barrière — plaine des courses.",,,
461,,"Mont-St Amand.",,,,
462,"krekelberg","Grillon, r. du","r. de l'église — r. de l'ange. (Mont-St Amand) ",,,64
463,"lijsterstr.","Grive, r. de la","allée-verte — r. du rossignol (",6,3,25
464,"kraanlei","Grue, quai de la","pl. Ste Pharaïlde — vieux bourg. (",3,3,49
465,"kraanstr.","Grue, r. de la","r. du jambon — pl. du Dock. (",8,1,41
466,"wespstraat","Guèpe, rue de la","— rue de la cire — rue d'Oostacker (",7,1,53
467,"Willem Tellstr.","Guillaume Tell, r.","r. des baguettes — r. des femmes St-Pierre. (",5,2," 69-78"
468,"Guinardstr.","Guinard, r.","r. des baguettes — r. Joseph Plateau. (",5,2," 69-78"
469,"Guislainstr.","Guislain, r.","maisons aux anguilles — boul. de l'industrie. ",10,3," 25-26"
470,"Gustaaf Callierlaan","Gustave Callier, b.","r. bénard — boul. St Liévin (",4,1,". 90-100"
471,"Henegouwenstr.","Hainaut, r. du","pl. Liévin Bauwens — r. de la calandre. (",1,2,60
472,"Hamburgstr.","Hambourg r. du","ch. de Meulestede — avenue de l’avant-port. (",8,1,10
473,"haringsteeg","Hareng, r. du","r. de la monnaie — r. ducale. (",3,3,49
474,"pekelharing","Hareng-pec, r. du","quai aux tilleuls — r. d'Ypres. (",2,2,68
475,"harmoniestr.","Harmonie, r. de l'","r. Eduard Blaes — r. de la pacification. (Ledeberg). ",,,"101 102"
476,"hoogeweg","Haut chemin, r. du","r. de Gand (Mont- St Amand). — nouv. bassin (",8,1," 13 34"
477,"hoogstraat","Haute, r.","place du marais — r. de la porte de Bruges. (",2,3," 47-58"
478,"hoogstr.","Haute, r.","r. Bruneau — r. de l’église (Mont-St Amand). ",,,"63-64"
479,"hoogpoortstr.","Haut-port, r.","marché aux légumes — r. du bas poldre. (",1,2," 49-60"
480,"Zwarte","Heire","r. (Zwarte Heirestr.) ch. de Bruxelles — ch. d’Hundelgem.",,,
481,"heirnislaan","Gendbrugge. Heirnisse, boul. de l'","boul. du château — boul. de l'Escaut. (",7,1," 62-73"
482,"heirnisplein","Heirnisse, place de l'","r. de l'église — r. de l'avenir et ch. de Termonde. (Mont-St Amand). ",,,64
483,"Henleykaai","Henley, quai de","boulev. des hospices — boul. Britannique. ",11,2," 86-87"
484,"Hendrik Consciencestraat","Henri Conscience, r.","rue Joseph Plateau — r. de la roseraie. (",5,2,79
485,"Hendrik Waelputstr.","Henri Waelput, r.","boulev. Frère-Orban r. St-Liévin. (",4,1," 90-91"
487,"graslei","Herbes, quai aux","pont aux herbes — qua des dominicains. (",1,2," 49-59"
488,"Herodeszak","Herbes, mar. au. Voir légumes, marché aux. Hérode, cul de sac d'","dans la r. de semeurs (côté droit). (",3,3,39
488,"reigerstr.","Héron, r. du","r. du pré aux oies — r. des renardeaux (",9,2,109
488,"beukst.","Hêtre, r. du","r. du raccordement — r. du peuplier.",3,3,28
489,"Heyststr.","Heyst, r. d'","av. Elisabeth — r. de la forge (",9,2,96
490,"Heyveldstr.","Heyveld, r.","arrière-rue — champ de courses. Mont-St Amand.",,,44
491,"uilkensstr.","Hiboux, r. des","chauss. de Zwynaerde — r. des moineaux (",9,2,108
492,"Hippoliet Lammensstr.","Hippolyte Lammens r.","r. des béguines — r. Verspeyen. (",2,3,47
493,"Hippoliet Lippensplein","Hippolyté Lippens, place","entre rue de Flandre, digue de Brabant et quai des Tonneliers. (",4,1,70
494,"zwaluwenstr.","Hirondelles, r. des","r. de Rooigem — r. de la Lys (",6,3,46
495,"winterstr.","Hiver, r. de l'","r. de l'été — ch. d'Ottergem. (",9,2," 98-99"
496,"kreeftstr.","Homard, r. du","boul. de l'Escaut — r. des pêcheurs. (",7,1,82
496,"hospitaalstr","Hôpital r. de l’","r. d’Akkergem — nouv. promenade. ",11,2,55
496,"kl. hospitaalstr.","Hôpital, petite r. de l’","r. d’Akkergem — r. du jardin d’hiver.",11,2,56
496,"gasthuisstr","Hôpital, r. de l’","r. traversière — r. ud maure. Ledeberg",,,
496,"Spaansch hospitaalsteeg","Hôpital Espagnol, imp. de l’","marché aux veaux",1,1,51
497,"Hortensiastr.","Hortensia, r. de l'","av. de Ryhove — r. de la limite",10,3,16
498,"hofbouwlaan","Horticulture, boul. de l'","r. de l'école normale — parc. (",9,2,98
499,"hofbouwstr.","Horticulture, r. de l'","— r. de Gontrode r. de la station. (Ledeberg.",,,113
500,,"Hospice, r. de l'","Voir Institut, r. de l'.",,,
501,"gasthuisstr.","Hospice, r. de l'","r. de traverse — r. du maure. Ledeberg.",,,102
502,"godshuizenlaan","Hospices, boul. des","pont de la lys — boul. des Martyrs. ",11,2," 66-87"
503,"godshuizenstr.","Hospices, r. des","coupure, rive gauche — rempart de la biloque. ",11,2," 77 Hôtel de ville, ruelle de l' (stadhuissteeg) pl. du lion d'or — r. haut-port. ("
504,"hoppestr.","Houblon, r. du","pl. Van Beveren — r. de la limite. ",10,3,7
505,"hulststr.","Houx, r. du","avenue de la Libération — r. du marron. (",6,3,35
506,"oliestr.","Huile, r. de l'","r. St Georges — aven. St Jean (",1,1,50
507,"Hullstr","Hull, r. de","r. de Leith — boul. Port-Arthur. ","SM 3",1,3
508,"Hundelgemsche steenw.","Hundelgem, ch. d'","ch. d’Hundelgem, Ledeberg — Meirelbeke. Gendbrugge.",,,
509,"Hundelgemschesteenweg.","Hundelgem, ch. d'","porte St Liévin — ch, d’Hundelgem (Gendbr.) Ledeb. ",,,"101-113"
510,"brandstr.","Incendie, r. de l'","vieux q. au bois — r. de la caverne (",2,2," 57-58"
511,"Onafhankelijkheidstr.","Indépendance, r. de l'","pl. de la constitution — ch. de Courtrai (",9,2,107
512,"nijverheidskaai","Industrie, quai de l'","pont du tolhuis Wondelgem. (",8,3," 10 20"
513,"nijverheidslaan","Industrie, boul. de l'","maisons aux anguilles — q. de l’industrie (",8,3," 20 26"
514,"nijverheidsplaats","Industrie, pl. de l'","r. St Sauveur — pont du tolhuis (",8,1,20
515,"nijverheidstr.","Industrie, r. de l'","ch. de Termonde — r. de l’avenir. (Mont-St Amand).",,,63
516,"geuzenberg","Infidèles, montagne des","q. du ramage — pl. du tolhuis (",3,3," 29-30"
517,"gestichtstr.","Institut, rue de l'","rue de la chapelle — boulev. du chemin de fer. Gendbrugge. ",,,83
518,"onderwijsstr.","Instruction, r. de l'","ch. d'Ottergem — r. de l'éducation. (",9,2," 108-109"
519,"Poelsnepstr.","Jacquet, r. du","aven. St-Denis — r. Pré aux Oies. (",9,2,106
520,"ham","Jambon, r. du","quai de la tour rouge — r. Fièvé (",8,1," 41-51"
521,"Jan Frans Willemstr.","Jan Frans Willems, r.","b. de la citadelle — r. des écuries (",5,2," 89-99"
522,"dierentuinlaan","Jardin Zoologique, boul. du","pl. Liévin Bauwens — r. Bénard (",4,1," 70-90"
523,"hofstr.","Jardin, rue du","quai des moines — r. bénard (",4,1," 70-90"
524,"hofstr.","Jardin, rue du","r. de Gontrode — r. de l'arsenal. Gendbrugge.",,,
525,"wintertuinstr.","Jardin d'hiver, r. du","— n. Charles- Louis Diericx — r. de l'hôpital ",11,2," 55-56"
526,"hoveniersberg","Jardiniers, mont. des","r. n. St Pierre — l'Escaut. (",5,2,79
527,"hoveniersstr.","Jardiniers, rue des","r. de l'hôpital — boul. d'Akkergem. ",11,2,55
528,"hoveniersstr.","Jardiniers, rue des","ch. de Bruxelles — r. longue. (Ledeberg). ",,,"112-103"
529,"ijkersstr.","Jaugeurs, r. des","avenue St Jean — r.",,,
530,,"Nieuwpoort. (",,1,1," 50-51"
531,"Jan Breydelstr.","Jean Breydel, r.","quai au blé — r. de Bruges. (",2,3,48
532,"Jemappestr.","Jemappes, r. de","r. St Pierre-Alost — pl. de la constitution. (",9,2," 77 Jésuites, rue des. Voir foulons, r. des."
533,"kaatsplaats","Jeu de paume, place du","r. du bac — r courte aux veaux. (",3,3,39
534,"jockeystr.","Jockey, r. du","chaussée de Courtrai — ch. d'Audenaerde. (",9,2,105
535,"Jordaensstr.","Jordaens, r.","pl. Van Duyse — r. c. des casernes. (",5,2,8
536,"Jozef II str.","Joseph II, r.","r. de Wondelgem — r. de l'aune. ",10,3," 27-37"
537,"Jozef Plateaustr.","Joseph Plateau, r.","r. basse des champs — r. neuve St Pierre. (",5,2," 78-79"
538,"korte dagsteeg","Jour, r. courte du","r. aux vaches — pont madou. (",1,2,7
539,"jodenstr.","Juifs, r. des","r. du gouvernement — place Laurent. (",1,2,60
540,"Julius De Vigneplein","Jules De Vigne, place","rue Van Eyck — pont Van Eyck. (",4,1,61
541,"Justus Lipsiusstr.","Juste Lipse, r.","boul. du grand marais — av. du tolhuis. (",3,3,30
542,"Keybergstr.","Keyberg, r.","r. St Eloi — r. de la noce Gentbrugge ",,,
542,"Kluyskensstr.","Kluyskens, r. ","r. des hospices — quai de la biloque. ",11,2,77
543,"meersteeg","Lac, r. du","r. d’Abraham — r. de Bruges. (",2,3,48
544,"Lachaertstr.","Lachaert, r.","r. de l'église — ch. d’Hundelgem (Ledeberg). ",,,"101-102"
545,"wollestr.","Laines, r. aux","r. d’Anvers — pl. du dock. (",8,1,415
546,"zuivelsteeg","Laitage, r. du","pont du laitage — marché du vendredi. (",1,1,49
