STR_NAAMKR,KAART,STRAATNAAM
Rue du Cygre,no,Zwaanstraat
Rue Longue aux Veaux,no,Kalversteeg
Rue du Pont du Laitage,no,Zuivelbrugstraat
Rue du Laitage,no,Meerseniersstraat
Rue du Bac,no,Drongenhof
Place du Grand Canon,no,Grootkanonplein
Pont du Laitage,no,Zuivelbrug
Pont aux Ecluses,no,Sluizeken
Pont de la Boucherie,nw,Vismarkt
zonder naam,nw,Vleeshuistragel
zonder naam,no,Tempelhof
Rue longue du Bateau,no,Lange Schipgracht
Rue des Corroyeurs,nw,Plotersgracht
Rue sans Fin,no,Straatje Zonder Einde
Rue des Sautiers,no,Schoenlapperstraat
Rue du Fer à Cheval,no,Hoefslagstraatje
Rue la Cerisaie,nw,Brandweerstraat
Rue de l'Hermitage,nw,Kluizenaarstraat
Passage de la Lieve,nw,Kolveniersgang
Quai Saint Antoine,nw,Sint-Antoniuskaai
Rue des Meuniers,nw,Molenaarsstraat
Rue de l'Academie,nw,Academiestraat
Rue des Templiers,nw,Tempelhof
Rue longue du Bateau,no,Lange Schipgracht
Rue courte du Bateau,no,Wilson Churchillplein
Rue du Babouin,nw,Baviaanstraat
zonder naam,nw,Rabotstraat
Passage du Rabot,nw,Bachtenwalle
Cour du Prince,nw,Prinsenhofplein
Impasse du Prince,nw,Simon de Mirabellostraat
Impasse de la Cour,nw,Sanderswal
Rue des Cochons,nw,Varkensstraat
Rue de la Plume,nw,Pluimstraat
zonder naam,nw,Zilverhof
Rue des Rattisseurs,nw,Braderijstraat
Avenue de la Cour,nw,Gewad
Rue d'Abraham,nw,Abrahamstraat
Rue des Beurriers,nw,Jan Botermanstraat
Rue du Lac,nw,Bonifantenstraat
Petite Rue du Bélier,nw,Klein Raamhof
Rue du Luxembourg,nw,Luxemburgstraat
Rue aux Chaux,nw,Koolsteeg
Rue du Cumin,nw,Komijnstrata
Rue du Poivre,nw,Peperstraat
Fossd Sainte Elisabeth,nw,Begijnengracht
Rue Haute,zw,Hoogstraat
Rue de la Contribution,nw,Contributiestraat
Rempart du Béguinage,nw,Begijnhoflaan
Passage de la Coupure,zw,Akkerstraat
Rue des Theresiennes,zw,Theresianenstraat
Rue du Casino,zw,Wispelbergstraat
Place du Casino,zw,Casinoplein
Rue neuve des Theresiennes,zw,Marialand
zonder naam,zw,Rasphuisstraat
Ruelle du Casino,zw,Johan Daisnestraat
Rue du Calvaire,zw,Galgenberg
Rue de Wellink,zw,Wellingstraat
Rue de l'Incendie,zw,Brandstraat
Rue des Ramoneurs,zw,Schouwvegersstraat
Impasse aux Tripes,zw,Turrepoortsteeg
Rue Haute,zw,Hoogstraat
Rue de la Caverne,zw,Holstraat
Rue du Parchemin,nw,Perkamentstraat
Rue du Parchemin,nw,Perkamentstraat
Grand Béguinage,nw,Begijnhofdries et al.
Rue Saint Michel,zw,Sint-Michielsstraat
Avenue de Fiennes,zw,Hof van Fiennes
Quai au Blé,nw,Korenlei
Rue de l'Etoile,zw,Pakhuisstraat
Quai des Dominicains,zw,Predikherenlei
Marché aux Grains,zw,Korenmarkt
Rue longue du Marais,zo,Universiteitstraat
Avenue de la pre d'Armes,zo,Kouterdreef
Rue des Dominicains,zw,Jakobijnenstraat
Rue de la Grange,zw,Schuurkenstraat
Rue des Balais,zw,Pussemierstraat
Rue Courte des Violettes,zw,Zandpoortstraat
Rue de la Pucelle,zw,Maagdestraat
Rue des Annonciades,zw,Annonciadenstraat
Rue du Cuivre,zw,Koperstraat
Coupure Rive Droite,zw,Coupure rechts
Rue du Perroquet,zw,Annonciadenstraat
Ruelle de l'Egoût,zw,Brioolstraat
Rue d'Ipres,zw,Iepenstraat
Passage d'Ipres,zw,Iepensteeg
Rue Verplancke,zw,Waarschootstraat
Rue Sainte Agnes,zw,Sint-Agathestraat
Rue de la Chapelle,zw,Napoleon Destanbergstraat
Rue de la Vigne,zw,Wijngaardstraat
Rue du Hareng Pec,zw,Pekelharing
Petite Rue de la Haute Porte,zw,Frans Tavernierstraat
Rue de la Lys,zw,Tiebaertsteeg
Rue du Sel,zw,Zoutstraat
Rue de la Cuiller,zo,Pollepelstraat
Rue Ste. Barbe,zo,Sint-Barbarastraat
Vallée aux Roses,zo,Rozendaalken
Rue aux Fleurs,zw,Jeruzalzemstraat
Rue des Baguettes,zw,Bagattenstraat
Plaine des Chaudronniers,zw,Ketelpoort
Place du Commerce,zw,Kuipgat
Rue du Soleil,zw,Zonnestraat
Rue du Theâtre,zw,Schouwburgstraat
Rue Cte. de la Croix,zo,Korte Kruisstraat
Marché au Beurre,zo,Botermarkt
Rue des Regnesses,zo,Biezekapelstraat
Rue de la Croix,zo,Lange Kruisstraat
Rue aux Vaches,zo,Koestraat
Rue de la Place d'Armes,zo,Koutersteeg
Marché aux Oiseaux,zo,Vogelmarkt
Passage du Vieil Escaut,zo,Vlaanderenstraat
Passage de l'Escaut,zo,Hippoliet Lippensplein
Place de la Calandre,zo,Kalandeberg
Rue longue du Verger,zo,Lange Boomgaardstraat
Rue de la Clef,zo,Lange Boomgaardstraat
Quai du Bas-Escaut,zo,Reep
Plain de St. Bavon,zo,Maaseikstraat
Clôtre Saint Bavon,zo,Limburgstraat/Maaseikstraat
Rue de la Cathadrale,zo,Hoofdkerkstraat
Pont de la Vigne,zo,Bisdomplein
Rue du Mortier,zo,Pieter de Keyserestraat
Rue du Ponton,zo,Veerkaai
Rue des Cousins,zo,Gebroeders van Eyckstraat
Rue de l'Epine,zo,Doornsteeg
Rue du Quai aux Vaches,zo,Kozijntjesstraat
Hameau des Capucins,zo,Kapucijnenham
Rue aux Liens,zo,Apostelhuizen
Rue du Tremble,zo,Abeelstraat
Rue d'Argent,zo,Zilverenberg
Imp. du Poele,zo,Nieuwbrugkaai
Marché au Bétail,zo,Oude Beestenmarkt
Rue Courte aux Vaches,zo,Jan Palfijnstraat
Rue des Capucins,zo,Sint-Kristoffelstraat
Rue du Pelican,zo,Pelikaanstraat
Marché aux Boefs,zo,Bisdomkaai/Sint-Jakobsnieuwstraat
Rue du Tremble,zo,Abeelstraat
Rue de la Pièce,zo,'t Stuk
onzeker (Rue de la Cave),zo,Frans Ackermanstraat
Rue de la Cave,zo,Frans Ackermanstraat
Quai aux Vaches,zo,Koepoortkaai
Rue de la Pièce,zo,'t Stuk
Ruelle de la Station,zo,Schepenenvijverstraat
Ruelle de la Station,zo,Schepenenvijverstraat
zonder naam,zo,Vlaanderenstraat
Petite Rue des Tonneliers,zo,Vlaanderenstraat
Place D'Artevelde,zo,Sint-Annaplein
zonder naam,zo,Tweebruggenstraat
zonder naam,zo,Tweebruggenstraat
Petit Béguinage,zo,Lange Violettestraat
zonder naam,zo,Vijfwindgatenstraat
Passage de la Rue de Bruxelles,zo,Ommegangstraat
Rue des Riches Claires,zo,Sint-Clarastraat
Rue Saint Liévin,zo,Sint-Lievenspoortstraat
zonder naam,zo,Hofstraat
Place Liévin-Bauwens,zo,Frankrijkplein
Passage Vander Donckt,zo,Oude Scheldestraat
Rue de la Station,zo,Zuidstationstraat
Grand Toquet,zo,Grote Huidevettershoek
Rue de la Coriandre,zo,Korianderstraat
Petit Toquet,zo,Platteberg/Waalsekrook
Montagne de Paris,zo,Parijsberg
Rue Cte. de la Monnaie,nw,Kortemunt
Place aux Foins,nw,Hooiaard
Marché  aux Légumes,nw,Groentenmarkt
zonder naam,nw,Pensmarkt
Rue de l'Hôpital,zw,Krijgsgasthuisstraat
Ruelle de l'Hôpital,zw,Brankardierstraat/Wintertuinstraat
zonder naam,zw,Karel Lodewijk Dierickxstraat
Rue des Jardiniers,zw,Koolkapperstraat
Rempart d'Akkergem,zw,Einde Were
Petite rue de Bellevue,zw,Rozemarijnstraat
Rue de Bellevue,zw,Raas van Gaverestraat
zonder naam,zw,Roderoestraat
zonder naam,zw,Maurice de Weertstraat
Rue de la Byloke,zw,Albert Baerrtsoenkaai
Petite Rue du Ponton,zw,Persellestraat
Plaine de la Byloke,zw,Jozef Kluyskensstraat
Impasse Ste. Elisabeth,zo,Sint-Liesbetsteeg
Petite rue de l'Etoile,zw,Kortrijksepoortstraat
Passage du Ruisseau,zw,Veergrep
zonder naam,zw,Bijlokekaai
Ancienne Citadelle des Espagnols,zo,Spanjaardstraat
Rempart des Chaudronniers,zw,Ketelvest
Rue Basse des Champs,zw,Nederkouter
Rue de la Chaux,zw,Jozef Plateaustraat
zonder naam,zo,Rozier
Rue de Roger,zo,Rozier
Rue Blandin,zo,Blandijnberg
Rue des Femmes,zw,Sint-Kwintensberg
Rue du Pont aux Moines,zo,Kantienberg
Rue des Couvreurs,zo,Kunstlaan
Rempart des Casernes,zw,Charles de Kerchovelaan
zonder naam,zo,Kunstlaan
Rue des Chanouies,zw,Kanunnikstraat
Rempart St. Liévin,zo,Sint-Lievenslaan
zonder naam,zo,Sint-Lievenstunnel
zonder naam,zo,Achtervisserij
Quai de la Pêcherie,zo,Visserij
Nouvelle Promenade,zw,Nieuwewandeling
Impasse Colpaert,zw,Pieter Colpaertsteeg
Rue de l'Arbalète,zw,Kruisboogstraat
Rue du Bluet,zw,Korenbloemstraat
Vieux Chemin de l'Eglise,zw,Heilig-Bloedstraat
zonder naam,zw,Kruisboogstraat
zonder naam,zo,François Benardstraat
Station du Chemin de fer de l'Etat,zo,Graaf van Vlaanderenplein
Boulevard du Jardin Zoologique,zo,Franklin Rooseveltlaan
zonder naam,zo,Muinkkaai
zonder naam,zo,Zuidparklaan
Coupure Rive Droite,zw,Coupure rechts
Pt. Marché au Beurre,no,Ottogracht
Fossé d'Otton,no,Ottogracht
Impasse St. Martin,zw,Sint-Martensblindeken
Rue des Ecuries,zo,Stalhof
zonder naam,zo,Kattenberg
Rue aux Liens,zo,Apostelhuizen
