WKT;STR_NAAMKR;KAART;STRAATNAAM
"MULTIPOLYGON (((3.72896505463919 51.0640671708797,3.72895849484763 51.0640671973255,3.72876247567378 51.0640679947315,3.72862515216961 51.0640677242152,3.72860676542717 51.064067688256,3.72860819310975 51.0640705303119,3.72853025698625 51.0640735888638,3.7284527604657 51.0640766308731,3.72844909388653 51.0640789454759,3.72845307669133 51.0641189269712,3.72845407673503 51.0641197612078,3.72845448959205 51.0641098060661,3.72853392002867 51.0641077462889,3.72862781542681 51.0641053127984,3.72862734121973 51.0640987795411,3.72871398066393 51.0640995013817,3.72874738716383 51.0641031426013,3.72875802453086 51.0641042358772,3.72877558537375 51.0641060409091,3.72882244989504 51.0641108590022,3.72895664659909 51.064126783272,3.72896564820771 51.0640674761377,3.72896505463919 51.0640671708797)))";zonder naam;no;Antoon Sanderusstraat
"MULTIPOLYGON (((3.72797729562922 51.062760425541,3.72787799790703 51.0628495852611,3.72786994371274 51.0628566681743,3.72784294818231 51.0628804050224,3.72782704053018 51.0628943903514,3.7277073514032 51.0630003101404,3.72772885973946 51.0630099870931,3.72778891925798 51.0629560741629,3.72783741871422 51.0629164874751,3.72786726747324 51.0628921171075,3.72789019871162 51.0628733885539,3.72800539827356 51.0627857840503,3.72800477592813 51.0627835171774,3.72798693206331 51.0627634398467,3.72797729562922 51.062760425541)))";Rue de la Tartere;no;Spijkeboorstraat
"MULTIPOLYGON (((3.73286811585889 51.0562059442327,3.73291145665468 51.0562205553305,3.7329771771949 51.056242704997,3.73302256674174 51.0562593847397,3.7330633859168 51.0562743067006,3.73307409274843 51.0562780401192,3.73311917377707 51.0562519742259,3.73310330298344 51.0562467081768,3.73310463377204 51.0562455512401,3.73310129383028 51.0562461409128,3.73282414529979 51.0561052350708,3.73282279919677 51.0561020564009,3.73277139005632 51.0560851103976,3.7327172802033 51.0560672697579,3.73271782343961 51.056066549052,3.73271234282068 51.0560681708222,3.73268194883517 51.0560508481986,3.73268070962325 51.0560492522136,3.73267674855138 51.0560538836922,3.73262897537533 51.0560376637919,3.73252002930864 51.0560006624082,3.73243325073547 51.0559711741961,3.73233903638847 51.0559398254686,3.73228533582846 51.0559215940057,3.7322389485598 51.055905849765,3.73219044436684 51.0558893911193,3.73217403445071 51.0558838244886,3.73208850204101 51.0558548209742,3.73207262167644 51.0558494378722,3.73203605912697 51.055836001995,3.73196955046111 51.0558115714581,3.7319639724117 51.0558090288407,3.73194648552327 51.0558010598252,3.73195870195592 51.0557977089693,3.73195032609029 51.0557959584803,3.73191292394483 51.055793611681,3.73191322873513 51.0557901821249,3.73191214913271 51.0557904873237,3.73189339164434 51.0557801922091,3.73186549008795 51.0557974789098,3.73187073871548 51.0558023246,3.73194212133368 51.0558733225229,3.73207453943645 51.0559197981983,3.73211819509047 51.0559351331296,3.73215017320482 51.0559467014354,3.73229708337788 51.0559998900569,3.73230661642968 51.0560026625523,3.73238948573906 51.0560267703656,3.73251788305487 51.0560726754951,3.732586127437 51.0560970593461,3.73264572752741 51.0561183464767,3.73268634106382 51.0561328485615,3.73273013381934 51.0561503009735,3.73278361332525 51.056171608961,3.73278580970829 51.0561715174284,3.73286704366779 51.0562041271156,3.73286811585889 51.0562059442327)))";Rue de la Tour Rouge;no;Tussen 't Pas
"MULTIPOLYGON (((3.73012374183581 51.0566620727717,3.73012314958254 51.0566595849325,3.73019206057732 51.0566405862019,3.73022239496599 51.0566394308163,3.73027100703427 51.0566282039225,3.73031408655955 51.0566170585262,3.73034590732153 51.0566074163019,3.73037150952342 51.0565982707754,3.73040761652155 51.0565835997696,3.730436025842 51.0565730877732,3.73046517548419 51.0565523131397,3.73047810436268 51.0565439089331,3.73051493800502 51.0565291860936,3.73052353441458 51.0565250148521,3.7305571748924 51.0565086872156,3.73057634186356 51.0564993953548,3.73062352228883 51.0564764987989,3.73063251217666 51.0564721310157,3.7306573955311 51.0564564814021,3.73065169074976 51.0564354938679,3.73071114834211 51.0564259516305,3.73076590302447 51.0564171578982,3.73082215202997 51.0564087129164,3.7308651360119 51.0564022547034,3.73097442748018 51.0563871469289,3.73104690929174 51.0563786260178,3.73113387876995 51.0563699802323,3.73114822116256 51.0563690033319,3.73119857090947 51.0563649418035,3.73119589067392 51.0563194686134,3.73117027711301 51.0563225554938,3.7311312966996 51.0563279882137,3.73108224004487 51.0563348209032,3.73107161219208 51.0563360884567,3.73102399183144 51.0563417701719,3.7309869350628 51.0563461893691,3.73093635457427 51.0563522173088,3.73091687759252 51.056355060452,3.73089013506037 51.0563629117676,3.73086708032537 51.0563658937633,3.73083234606536 51.0563703848028,3.73081578125585 51.056372525439,3.73075242118872 51.0563807117124,3.7307451711453 51.056381647827,3.73069053220024 51.0563883350925,3.73067589770482 51.0563901265819,3.73064598153212 51.0563937860582,3.73063612016548 51.0564001429457,3.73062782586184 51.056405488929,3.73060045948787 51.0564210163311,3.73059462630679 51.0564243233802,3.73056250245027 51.0564448140716,3.7305537197289 51.0564504127017,3.73052993539311 51.0564656924899,3.73051837208645 51.0564731161723,3.73046898249267 51.0564988170662,3.73044437206076 51.0565133777199,3.73040987683969 51.0565328685143,3.73038362739452 51.0565470175651,3.73037504763906 51.0565516401477,3.73035167948003 51.0565641094123,3.73034323827974 51.0565686122864,3.73027849808986 51.0565942057344,3.73024840146306 51.0566056506329,3.73019327810042 51.0566147846206,3.73010388587541 51.0566297189672,3.73010298035161 51.0566280294758,3.73010252571842 51.0566290481942,3.7301230889563 51.0566615208914,3.73012374183581 51.0566620727717)))";Avenue St. Jean;no;Sint-Jansdreef
"MULTIPOLYGON (((3.72952859430477 51.0560647040436,3.72953120886807 51.0560667884425,3.72953603013941 51.0560648890734,3.72954304406662 51.0560702792973,3.72962467632501 51.056133003835,3.72959064969492 51.0561531666321,3.72959400433464 51.0561570430051,3.72962198294473 51.0561395181419,3.72965515748676 51.0561663358078,3.72967089857527 51.0561776289229,3.72968580204273 51.0561883215088,3.72973187766192 51.0561521107138,3.72972929697745 51.0561508876746,3.72970630951772 51.0561363937781,3.72970195075074 51.056135547642,3.72969923721846 51.0561319345357,3.72959630588884 51.0560513983543,3.72959421718988 51.0560447475633,3.72957447435653 51.0560302820114,3.72958827199227 51.0560260518305,3.72957859053576 51.0560254905683,3.72952859430477 51.0560647040436)))";Pont St. Jean;no;Oude Schaapmarkt
"MULTIPOLYGON (((3.72887639855684 51.0605444981831,3.72890647547268 51.0605608123385,3.72888661607882 51.0605823219561,3.72885023163079 51.0606214255744,3.72884334692106 51.06063013027,3.72882750463886 51.0606501631634,3.72879679246838 51.0606890071868,3.72874464116593 51.0607625466469,3.72873467029616 51.0607614848476,3.72871170599143 51.0607957827758,3.72870159990808 51.0608114006951,3.72867616635526 51.0608507057135,3.72867255381171 51.0608547222829,3.7286348292586 51.0608966618609,3.72863218622635 51.0608995663267,3.72862285665072 51.0609098209712,3.72860014236502 51.0609347902899,3.72858115688839 51.0609506800236,3.72854315114729 51.0609824970478,3.72845004717699 51.0610673221207,3.72839207248109 51.0610515090145,3.72838087633783 51.0610484548079,3.72821804906151 51.0610034226564,3.72821606150271 51.0610027259828,3.72821483486527 51.0610035499282,3.72819650199196 51.0610328326343,3.72825180934086 51.061057283507,3.72830168046575 51.0610793289761,3.72834262723353 51.0610974291285,3.72832668667664 51.061137245862,3.72833079916272 51.0611354793305,3.72838499274883 51.0611471908178,3.72838638463974 51.0611479480781,3.7284864658454 51.0611581907958,3.72849980778195 51.0611119658818,3.7285478845123 51.0611107409199,3.7285649248482 51.0610718524235,3.7286029304702 51.060985147925,3.72860442051777 51.0609817499848,3.72862565654278 51.0609737218757,3.72864997110918 51.0609645319791,3.72873592292222 51.0609320536991,3.72873899661804 51.0609267577303,3.72875320312812 51.0608773687659,3.72875603058411 51.0608675435746,3.72876293704461 51.0608420084274,3.72876627574303 51.060829949484,3.72876706052469 51.0608271149366,3.72878341219737 51.0607924620007,3.72879247300058 51.0607755646261,3.72879703556602 51.0607670585818,3.7288357615923 51.0607114166751,3.72886568104947 51.0606725413736,3.72890443996015 51.060622207775,3.72891310703168 51.0606109454144,3.72896586499111 51.0605408952009,3.72896170708084 51.0605382648649,3.72892779185808 51.0605168087253,3.72883292791623 51.0604534672991,3.72871694523138 51.0604552731699,3.72874512110689 51.0604733209665,3.72883078544554 51.0605197612993,3.72887639855684 51.0605444981831)))";Rue Verte;no;Groenbrugstraat
"MULTIPOLYGON (((3.7267084484423 51.0610047929592,3.72657192167154 51.0610677556422,3.72652032714422 51.0610915596252,3.72634403203859 51.061172931231,3.72634285013777 51.0611719467631,3.7263418217409 51.0611731870723,3.72640030656127 51.0612053329452,3.72648746290955 51.0611611013189,3.72652051508508 51.0611443311582,3.72656726124854 51.0611219669249,3.72660310192469 51.0611107286278,3.72666755661665 51.0610923099625,3.72670574790959 51.0610813981555,3.72674783695755 51.0610690899469,3.7267705077563 51.0610624615164,3.72680071092142 51.0610544438876,3.726729189199 51.0610011807119,3.7267084484423 51.0610047929592)))";zonder naam;no;Huidevetterskaai
"MULTIPOLYGON (((3.72663503317226 51.0614259649703,3.72663209456317 51.0614233645626,3.72676969349472 51.0613671738578,3.72680945609661 51.0613602824726,3.72688305840143 51.0613513944392,3.72700075238655 51.0613321991784,3.72715607753717 51.0613075740422,3.72724071244727 51.0612958584508,3.72728586698114 51.0612936616529,3.72728510981895 51.0612795776705,3.72728124609065 51.0612635935447,3.72724361345218 51.0612690233347,3.72718857191861 51.0612801735683,3.72716590241407 51.0612847255689,3.72710994958591 51.0612959598024,3.72708791310332 51.0612998068788,3.72702044090669 51.0613115869742,3.72686816980216 51.0613372533271,3.72686240600535 51.0613295001928,3.72677749216764 51.061344902285,3.72672863808072 51.0613571305324,3.72668742755247 51.0613724522193,3.72667839311832 51.0613760194153,3.72660968593994 51.061403156084,3.72660217645077 51.0613963166292,3.72660138370491 51.06140294728,3.72662824637644 51.0614259280227,3.72663503317226 51.0614259649703)))";zonder naam;no;Sleepstraat
"MULTIPOLYGON (((3.72976602802073 51.060097651691,3.72979783302234 51.0600830726298,3.72981460325327 51.0600753841792,3.7298446556097 51.0600616046438,3.72984918090681 51.0600678380337,3.72986255823175 51.0600728599789,3.72988227845048 51.0600732184963,3.72990099512667 51.0600668332311,3.73004995764211 51.0600022872209,3.73007830825014 51.0600285653071,3.73008141998283 51.0600314488295,3.73017529504565 51.0601542010593,3.73013923873414 51.0601713290283,3.73020856052335 51.0602235498546,3.73041070411946 51.0603760140525,3.73043230932249 51.0603647182267,3.73033697297669 51.0602742674745,3.73022923217532 51.0601778732138,3.73023627985751 51.0601736181006,3.73024274214594 51.0601697166913,3.73021120692585 51.0601274708774,3.73012563469197 51.0600129195804,3.73011808246456 51.0600060549467,3.73012209847502 51.0600044469403,3.73009557859704 51.0599821007885,3.73011319255599 51.0599703797909,3.7300862345026 51.0599689771215,3.73007909973196 51.059959115931,3.7300854052517 51.0599543659947,3.73008694713551 51.0599416114028,3.73021006320283 51.0598895056915,3.73038828293257 51.0598139538927,3.73045832643354 51.0597846180976,3.73049511637546 51.0597692073525,3.73048786905956 51.0597622625898,3.73068068996662 51.0596626595125,3.73088821077845 51.0595575209331,3.73110190228828 51.0594391175483,3.73121197229422 51.0593784346309,3.73125551966559 51.0593381140989,3.73129742011052 51.059298791446,3.73134570359496 51.0592595877729,3.73143207713128 51.059193333592,3.73148073592716 51.0591516904101,3.73148381147162 51.0591490578946,3.73153538965352 51.0591078655437,3.73159875937388 51.0590545582293,3.73165867780484 51.0590063300439,3.73172199753115 51.0589540561571,3.73192962811859 51.0588572251082,3.73194747270505 51.0588677157309,3.73196506822236 51.0588780611781,3.73196754617752 51.058873950287,3.73200588110605 51.0588162547707,3.73208311294106 51.0587764052343,3.73213545771625 51.058747483495,3.73220598596498 51.0587089388913,3.73229212229021 51.0586678509137,3.73236014704977 51.0586349667257,3.73250929833346 51.0585723171667,3.73263120934609 51.0585234017101,3.73273530149185 51.0584769978223,3.73279822892575 51.0584512701068,3.73285500279328 51.0584280612299,3.73292059544397 51.0583994361995,3.73301505369007 51.0583685405282,3.73310178221392 51.0583415260333,3.73310190321964 51.0583413334165,3.7330954862658 51.0582717157092,3.73309214997561 51.0582731818539,3.73303139483884 51.0582998940721,3.73276389744467 51.0584108679588,3.73247956686484 51.0585398152371,3.73220428696631 51.0586644436997,3.7320268196714 51.0587442614064,3.73187307421894 51.0588097351433,3.73181339671473 51.0588348255001,3.73173774745583 51.0588607563565,3.73163887255314 51.0588908145218,3.73161283896012 51.0588941635182,3.73160028229307 51.0588959348871,3.73160761488808 51.0589148591242,3.73160569399391 51.0589241553223,3.731589041162 51.0589354295758,3.73155586590204 51.0589538428244,3.73154231053869 51.0589703071213,3.73150292305707 51.0590310855083,3.73147546490007 51.0590753899092,3.73143982840293 51.0591206784826,3.73140259273651 51.0591649237402,3.73134390813223 51.0592173132962,3.73129535101528 51.0592583888505,3.731243811112 51.0592901380924,3.73117381608396 51.0593383250792,3.73110396832986 51.0593813413033,3.73102418964988 51.0594284370487,3.73093798447865 51.0594713575376,3.73083722747134 51.0595173535889,3.73063834333322 51.0596032649487,3.7304414410739 51.0596934790684,3.73026517435301 51.0597681147283,3.73007737551903 51.0598441169712,3.72988258067406 51.0599186589217,3.72979073314973 51.0599566776347,3.72976770565669 51.0599711208667,3.72976067412448 51.059976491606,3.72975594541673 51.0599836016563,3.72975572302989 51.0599921654117,3.72976898732965 51.0600065158021,3.72979548956165 51.0600328639477,3.72979916116437 51.060041028101,3.72977180973299 51.0600544474055,3.72973435126446 51.0600728207571,3.72976602802073 51.060097651691)))";Digue des Blanchisseurs;no;Blekersdijk
"MULTIPOLYGON (((3.72961097963553 51.0589329233781,3.72962347292287 51.0589256630374,3.72963100389267 51.0589213134943,3.72967401288021 51.0588964764099,3.72968323157268 51.0588911660676,3.72972264359209 51.0588684857746,3.72977342372867 51.0588400869658,3.72978288207727 51.0588349828691,3.72980760423988 51.0588216428049,3.7298370975308 51.0588067518658,3.72986968386139 51.0587836614936,3.72987968421948 51.0587768847277,3.72990806985871 51.0587576522527,3.72972716433478 51.058763794419,3.72971374551995 51.0587621557854,3.72973248563246 51.0587683403515,3.72967212128644 51.0588083534682,3.72963427109715 51.0588334477332,3.72958981659484 51.0588629271122,3.72957205207527 51.0588731585976,3.72950609344939 51.058911153787,3.72947101996945 51.0589313630054,3.72943586591036 51.0589516212175,3.72939230818525 51.0589767267163,3.7293826106249 51.0589823167026,3.72935695418892 51.0589965793045,3.72933161678618 51.059010667441,3.72931766885286 51.059018422364,3.7292796066084 51.0590395888583,3.72927900093403 51.0590462349273,3.72920506754938 51.0590847907884,3.7292013921297 51.0590852769536,3.72920576896798 51.0590871174157,3.72909862763915 51.0591407488033,3.72908171287119 51.0591492184347,3.72904087007556 51.0591662230278,3.72897431207111 51.0591939417475,3.72891140201825 51.0592201520462,3.72887856970068 51.059233834462,3.72886146841373 51.0592401851812,3.72881957528321 51.0592556468367,3.72873683813561 51.0592862009442,3.72865855232339 51.0593145974593,3.72861034527 51.0593336348596,3.72859114872813 51.0593412191798,3.72854674650243 51.0593561448444,3.7284903954329 51.0593751056283,3.72844183401299 51.0593914649348,3.7284081215657 51.0594028340011,3.72839608420262 51.0594068758383,3.72834632523666 51.0594235989611,3.72833424331476 51.0594276648211,3.72827807506187 51.0594465959332,3.7282523759647 51.0594552766347,3.72821905175645 51.0594663079615,3.72819242196519 51.0594751391097,3.7281511147169 51.0594914316211,3.72813520817632 51.0594977087201,3.72809909562718 51.0595145499062,3.728054957734 51.0595351553352,3.72804474686962 51.0595393535835,3.72797613752734 51.0595676233258,3.72790484778309 51.0595971459497,3.7279075706604 51.0596012274837,3.72793637111633 51.0596509264514,3.728228510381 51.0595330766881,3.72822580969306 51.0595303958081,3.72832348736685 51.0594960416238,3.72839771975367 51.059470669782,3.72846151115763 51.0594482759856,3.72847160803613 51.0594446901499,3.72854841505813 51.0594174345585,3.72867545923403 51.059375189603,3.72869516856566 51.0593674498411,3.72872707085752 51.0593549256392,3.72879237760498 51.0593315348886,3.72880759798596 51.0593260854846,3.72888827121924 51.0592942697251,3.72891951567207 51.0592835316633,3.72893012538027 51.0592798865447,3.72896718535301 51.0592664364971,3.72900108061998 51.0592529441022,3.72901882046232 51.0592462102884,3.72907762364777 51.0592180251926,3.72918586353277 51.0591637669378,3.72925961869459 51.0591284543452,3.72930930609273 51.0590996857462,3.7293507797542 51.0590782527773,3.72936022948554 51.0590733689045,3.72936940768867 51.0590686264882,3.72944949105461 51.0590246815409,3.72949476944936 51.0589986073163,3.72956264985763 51.0589610117834,3.72961097963553 51.0589329233781)))";Rue du Vieux Rempart;no;Oudevest
"MULTIPOLYGON (((3.7292796066084 51.0590395888583,3.7292784207977 51.0590402485329,3.7292231903721 51.0590142694597,3.72918521163536 51.0589964095196,3.72917502670882 51.0589916205473,3.72914033498914 51.0589761273097,3.72907565857693 51.0589472482442,3.72901462441402 51.058920003369,3.72895248723828 51.058892269755,3.7289035767051 51.058873147658,3.7287913773575 51.0588292691262,3.72877905065526 51.0588250599908,3.72870765066677 51.0588006586415,3.72864506857598 51.0587783681403,3.72858723484784 51.0587590185948,3.72853131662637 51.058739998537,3.72848235931937 51.0587232788371,3.72840078577131 51.0586963158649,3.72831595274906 51.0586692632223,3.72823382542073 51.0586431726797,3.72818131525547 51.0586263382722,3.72813218788595 51.0586104939539,3.72807538202763 51.0585927812873,3.72802189394327 51.0585712185388,3.72795741398584 51.0585451697347,3.72791708576258 51.0585288454625,3.72789481250954 51.0585199680018,3.72769788502775 51.0584412449791,3.72769678842265 51.0584408057363,3.72763671308368 51.0585047317225,3.72772377857224 51.0585358942977,3.72780931618326 51.0585664534155,3.72785381870898 51.0585823158866,3.72793950632477 51.0586139130841,3.72799311108283 51.0586336211204,3.72804134171112 51.05865130612,3.7280804707966 51.0586656246232,3.72809498055255 51.0586709270986,3.72813529142328 51.0586861347479,3.72820521494512 51.0587123883065,3.72823467568109 51.0587233812595,3.72827470604744 51.0587378286436,3.72828257408504 51.0587364798329,3.72840173553503 51.0587809530892,3.72840229642012 51.0587836439226,3.72840644135573 51.0587806361478,3.72845939102007 51.0588025904233,3.72850135639642 51.0588192865593,3.72852819045485 51.0588277266125,3.72856162383823 51.0588382043883,3.72856831087575 51.0588405032812,3.72860477457876 51.0588530263683,3.72865799322741 51.0588712802367,3.7286705567996 51.0588755877542,3.72869443187262 51.0588831352578,3.7287429391016 51.0588984662815,3.72879559652577 51.0589160437462,3.72880581015808 51.05891945845,3.72884533377525 51.0589353151001,3.72888591429466 51.058951597269,3.72890708482135 51.0589600928057,3.72894530843809 51.0589765149848,3.7290069903291 51.0590030217949,3.72906341525149 51.0590272779158,3.72906937773597 51.0590297840977,3.72913426027416 51.0590570516105,3.7292013921297 51.0590852769536,3.72920506754938 51.0590847907884,3.72927900093403 51.0590462349273,3.7292796066084 51.0590395888583)))";Rue du Bonheur;no;Gelukstraat
"MULTIPOLYGON (((3.72827470604744 51.0587378286436,3.72828061650072 51.0587399615293,3.7281866725759 51.0588116072196,3.7281672403831 51.0588264202517,3.72814141520964 51.0588449686519,3.72809435465381 51.0588787562511,3.72793947603671 51.0589785531998,3.72790151171441 51.0590004425208,3.72777205858727 51.059075106796,3.7277277576946 51.0591007631811,3.7276822127805 51.0591255947654,3.72762706687954 51.0591590478776,3.72757282336377 51.0591921184328,3.72752103163491 51.0592237433363,3.72747521349797 51.0592517402708,3.72738101039005 51.0593093336999,3.7273784095164 51.0593079100409,3.72737839991621 51.0593086111508,3.72749536814284 51.0593789219942,3.72758896927725 51.0593184117844,3.72763281809258 51.059290058914,3.72766969122797 51.0592662130799,3.7277493772462 51.0592146514219,3.72781060341701 51.0591749873571,3.72793931021788 51.0590962944954,3.72799804145528 51.0590588047631,3.72812181891603 51.0589805577574,3.72816691402112 51.0589499974038,3.72822986024472 51.0589069598057,3.72827579983025 51.0588755518149,3.72831641926072 51.0588459873801,3.72835413345663 51.0588185816581,3.72840229642012 51.0587836439226,3.72840173553503 51.0587809530892,3.72828257408504 51.0587364798329,3.72827470604744 51.0587378286436)))";Rue Sainte Catherine;no;Sint-Katelijnestraat
"MULTIPOLYGON (((3.72990806985871 51.0587576522527,3.729917225088 51.0587514480162,3.72992007033282 51.058752737205,3.72992178731274 51.0587450292282,3.72981858658099 51.0587203942772,3.72925903255407 51.0585549509569,3.72914842360374 51.0585157045566,3.7291460753463 51.0585116583418,3.7291423940099 51.0585172818339,3.72909969451489 51.0585029560059,3.72860524924206 51.0583360872582,3.72829107436023 51.0582303938511,3.72797344780898 51.0581257253938,3.72792856563625 51.0581693383425,3.72804746859273 51.0582101591335,3.72805339553112 51.0582121240218,3.72812043052309 51.0582343635247,3.72818053513984 51.0582543782615,3.72824852076191 51.0582771010822,3.7283259630881 51.0583032992228,3.72845662685794 51.0583440603033,3.7285397774957 51.0583706012185,3.72854719092087 51.0583728698972,3.72862910940158 51.0583980421875,3.7287141601411 51.058424275071,3.72879693369306 51.0584526493627,3.72881139898286 51.0584596414894,3.72889375964975 51.0584871325245,3.72893629307118 51.0585012885287,3.72897946121061 51.058516493411,3.72906405082622 51.0585464405955,3.7290823956858 51.0585529359488,3.72913001791185 51.0585694459015,3.72914685981157 51.0585752804736,3.72919084797087 51.0585905077029,3.72922503428086 51.0586020447131,3.72926314242119 51.0586148965318,3.72928664685794 51.0586240959301,3.72931305145785 51.0586344266141,3.72934049153853 51.0586410035983,3.72939514812747 51.0586571623432,3.7294300257817 51.0586674867943,3.72946917722946 51.0586810345757,3.72955571324327 51.0587109703781,3.72957291314502 51.0587169191944,3.72958900649698 51.0587220062343,3.72963950225558 51.0587379661263,3.7296617611354 51.0587450012775,3.72971374551995 51.0587621557854,3.72972716433478 51.058763794419,3.72990806985871 51.0587576522527)))";Rue d'Otton;no;Baudelostraat
"MULTIPOLYGON (((3.72758754935616 51.0595693895099,3.72759148183023 51.059571699552,3.72751719182108 51.0596168658164,3.72746772853163 51.0596614424893,3.72745185284116 51.0596728525296,3.72738453746722 51.0596924219712,3.72737585670835 51.0596881057683,3.72731586442854 51.0597202972551,3.72725927764364 51.0597506716276,3.72719434409737 51.0597825413299,3.7270795152223 51.0598346647239,3.72703287279715 51.0598521719324,3.72691453034482 51.0598858597603,3.72690065111116 51.0598905305585,3.72686394591414 51.0599028896952,3.72681426549017 51.0599196314789,3.72675628009727 51.059939190216,3.72673619436527 51.0599458345127,3.72668043217931 51.0599642906464,3.72662764886686 51.0599817759513,3.72662071094853 51.0599835171532,3.72655779577525 51.0599993139178,3.72650644458328 51.06001221885,3.72650189365152 51.0600138175285,3.72644474244823 51.0600338993355,3.72643706102063 51.0600365992269,3.72638413336305 51.060051595411,3.72633103942538 51.0600666481971,3.72628714486626 51.0600795055536,3.72627805633774 51.0601001358309,3.7262637357126 51.0601055700346,3.72629064267077 51.0601306635859,3.72630890593327 51.0601243015888,3.72632106274577 51.0601220818376,3.72633530312179 51.0601194824012,3.72636241695609 51.0601145178894,3.72639168870381 51.0601091606073,3.72640679075701 51.0601060336912,3.72645450156129 51.0600961590324,3.72652255848957 51.0600820856938,3.72660182026209 51.0600646807758,3.72662822590483 51.060059136136,3.7266680217809 51.0600463039832,3.72669576956191 51.0600370235086,3.72672479750899 51.0600255107723,3.72675432387898 51.0600126011148,3.7267744945063 51.060003095098,3.72680381237672 51.0599926985881,3.72685323783881 51.0599728127773,3.72692133942438 51.0599416131221,3.72698223748388 51.0599158145295,3.72703682924383 51.0598927134294,3.72707414323578 51.0598769362403,3.7270840137575 51.0598727074586,3.72709764794078 51.0598668676014,3.72713409222126 51.0598512645482,3.72717002848445 51.0598358825528,3.72721136266653 51.0598181918021,3.72725900448827 51.059797800812,3.72728374296112 51.0597872138739,3.72731409068524 51.059773677498,3.72739657517526 51.0597369132329,3.72740432820639 51.0597334558743,3.72744763032648 51.0597141262135,3.72750790570453 51.0596871931162,3.72763381274233 51.0596134087855,3.72759697252743 51.0595703225813,3.72758754935616 51.0595693895099)))";Rue aux Ours;no;Willem de Beersteeg
"MULTIPOLYGON (((3.72665007959949 51.0590177246754,3.72655253937359 51.0591024828011,3.72640308369619 51.0592297829416,3.72640601605503 51.0592324120895,3.72644628702792 51.059268521022,3.72640345247786 51.0592913047395,3.72639419572916 51.05929530039,3.72633681984214 51.0593200724153,3.72627631437902 51.0593462935133,3.7262642419553 51.0593515269184,3.72618923625792 51.0593808952272,3.72613671345557 51.0594014686437,3.72612684859938 51.0594058052486,3.72606429802863 51.0594333311227,3.72606060646271 51.0594347816496,3.72602177038061 51.0594500450292,3.7259594669721 51.0594725445025,3.7259122188071 51.0594904264163,3.7259041861131 51.0594934686472,3.72582330068923 51.0595273703212,3.72584173705236 51.0595815475,3.72579696366772 51.0595850852144,3.72580160639501 51.0596125457395,3.72589753580329 51.0595808933887,3.72592200668902 51.0595724609004,3.72599944620339 51.0595458081955,3.72606613210181 51.0595189152603,3.72611410089846 51.0594972680156,3.72616704405279 51.0594734086287,3.72623812063206 51.0594468064988,3.72626047490912 51.0594384514037,3.72628830048423 51.0594259748681,3.72633715263273 51.0594040770499,3.72639384129709 51.0593815773619,3.72646372996614 51.0593444260247,3.72649621170859 51.0593273444293,3.7265150840573 51.0593174205773,3.7265189060322 51.0593153001476,3.72653891496627 51.0593040439801,3.72658895081112 51.0592683081463,3.72662869362078 51.0592399449763,3.72673348423543 51.0591671783763,3.72679810011268 51.0591254549677,3.72679663671856 51.0591185765122,3.72666279764399 51.0590174127693,3.72665007959949 51.0590177246754)))";Rue du Fossé Courbe;no;Krommewal
"MULTIPOLYGON (((3.72658331691031 51.0588627027784,3.72657196951743 51.0588681262404,3.72645496785227 51.0587937897796,3.7264032693681 51.0587609671044,3.72633356525185 51.0587179513931,3.72632721153005 51.0587140316265,3.72630114205246 51.0586925194557,3.72629410104565 51.0586867099967,3.72622134491398 51.0586160113438,3.72616598797491 51.0585558466698,3.72614017655052 51.0585099219329,3.72614137032922 51.0585094115547,3.72613852848705 51.0585093385395,3.72607237630623 51.0585305001754,3.72609640433011 51.0585586704082,3.72611269859265 51.0585777777729,3.72611556523 51.0585811382965,3.72613361974311 51.0586019065765,3.72614770583957 51.0586181100593,3.72617049154461 51.0586426409466,3.7261785726904 51.0586513398349,3.72621165206795 51.058681026403,3.72621680363693 51.0586856497783,3.72625652182916 51.0587200010707,3.72629762895883 51.0587562575476,3.7263125456502 51.058766822076,3.72632336973603 51.0587744895449,3.72638868234177 51.0588183101529,3.72640361082228 51.0588283299844,3.72645362173017 51.0588625188248,3.72654792008493 51.0589270052871,3.72658753493877 51.058870915859,3.72658331691031 51.0588627027784)))";Rue des Epingles;no;Speldenstraat
