WKT;STR_NAAMKR;KAART;STRAATNAAM
"MULTIPOLYGON (((3.72302862880962 51.052511433197,3.72303636638162 51.0525281767538,3.72296205701993 51.0525483364214,3.7229339334973 51.0525559653279,3.72287218616948 51.0525756184201,3.72280166449764 51.0525980712228,3.7227961822184 51.0525998174752,3.72278569708627 51.0526033980037,3.72257036374021 51.052677045959,3.72253463301133 51.0526892922317,3.72248371840809 51.0527047525516,3.72247127375029 51.0527085272691,3.72240824863473 51.0527289695669,3.72223715846446 51.0527845680083,3.72223024902215 51.0528388766352,3.72223506003018 51.0528418523947,3.72232518559801 51.0528218086486,3.72232048877262 51.0528102478547,3.72231512846701 51.0527970536667,3.72259843016134 51.0527079997267,3.72277318344829 51.0526595502292,3.72286489528196 51.0526341670371,3.72286560190263 51.0526360865234,3.72290522871754 51.0526221004882,3.72290306330515 51.0526166456182,3.7230002321661 51.0525924742985,3.72305843100671 51.0525779939198,3.723130873149 51.0525600281411,3.72314311646188 51.052558230793,3.72315918359437 51.0525583933657,3.72320748512644 51.0525548229578,3.72320868968875 51.0525680114357,3.72325199596712 51.0525694521575,3.72330480783397 51.0525740174278,3.72334472589615 51.0525794586787,3.72340843983866 51.0525911734157,3.72344505826743 51.0525978101285,3.72351983473502 51.0526113454413,3.72361864375142 51.0526290951147,3.72369393244227 51.0526474909265,3.72373949507946 51.0526586711126,3.72375348358924 51.0526625051434,3.72382702972091 51.052682647844,3.72386824252104 51.0526911253852,3.72387807569897 51.0526931469115,3.72387672593682 51.0526972269567,3.72393692668808 51.0527218379934,3.72393874358445 51.0527158376946,3.72401668425263 51.0527386651316,3.72409799929589 51.0527624386567,3.72410245384625 51.0527640675944,3.72417997650242 51.0527924093587,3.72420576425701 51.0528018497195,3.72426884111824 51.0528286013697,3.72429087597625 51.0528356929778,3.72437204338158 51.052863067509,3.72439388651396 51.0528702056931,3.72443205750401 51.052882305275,3.72456974332166 51.0529287293069,3.72457299735812 51.0529271173257,3.72457362224934 51.052881673636,3.72436379884769 51.0528071387986,3.7243221059576 51.0527891724208,3.72428988752746 51.0527771215135,3.72426910595877 51.0527697481984,3.72425184962129 51.0527636508475,3.72419860288427 51.0527448526963,3.72417649273034 51.0527280000976,3.72411532403564 51.0527071800663,3.72405021968801 51.0526849613289,3.72403032740304 51.0526781618543,3.72392773809592 51.052643041645,3.72385818756544 51.0526198438263,3.72374814435475 51.0525813530657,3.72367640834291 51.052566800762,3.72366095050511 51.0525641308864,3.72354207055147 51.0525435620651,3.72350700760786 51.0525374840373,3.72346631624053 51.0525324790846,3.72341800472972 51.0525265271969,3.72337210389608 51.0525208617566,3.72331700845513 51.0525140357981,3.72326899724366 51.0525084432661,3.72321067694436 51.0525016301695,3.72320640387994 51.0525016355438,3.72313251308321 51.0525017811737,3.7230938454456 51.0525074466629,3.72308976186889 51.052504776062,3.72305762377987 51.0525096979187,3.72305558262732 51.0525043327256,3.72305134945659 51.0525062035889,3.72302862880962 51.052511433197)))";Rue des Vanniers;zw;Bennesteeg
"MULTIPOLYGON (((3.72305558262732 51.0525043327256,3.72305353043794 51.0524989405042,3.72303587711921 51.0524525427427,3.7230209737832 51.0524410015986,3.72295608255963 51.0523877640967,3.72294052323101 51.0523826350011,3.72291152212103 51.0522866441193,3.7229158309417 51.0522865265856,3.7229134201657 51.0522860423441,3.72287830718785 51.0522880613999,3.72288989050403 51.0523294764447,3.72291363419668 51.0523554524717,3.72292564993568 51.0523992304658,3.72296210994146 51.0524264483257,3.72296903720703 51.0524316164449,3.72300632874572 51.0524631806679,3.72301949382739 51.052491667881,3.72302862880962 51.052511433197,3.72305134945659 51.0525062035889,3.72305558262732 51.0525043327256)))";Rue Traverstere;zo;Sint-Niklaasstraat
"MULTIPOLYGON (((3.72453331294359 51.0521530411882,3.72453385258309 51.0521588107609,3.7239781570816 51.0521610764944,3.72381161169847 51.0521620993578,3.7236673466445 51.052163128805,3.72366566012342 51.0521726068688,3.72366649819876 51.0521812429631,3.72333217174649 51.0521840422031,3.72333044803855 51.0521765455947,3.72332784788455 51.0521661010978,3.72297435684209 51.0521698695475,3.72297391233851 51.0521588678254,3.72295752163878 51.0521640817433,3.722900910025 51.0521859536634,3.72289476824486 51.0521832978517,3.722822256199 51.0521822678458,3.72270137086351 51.052180522429,3.72267769158763 51.0521757443409,3.72231055535143 51.0521683774227,3.72216916652127 51.0521645782747,3.72194762635665 51.0521642281268,3.7219465458276 51.0521624324336,3.7219439470584 51.0521629629302,3.72200563860537 51.0522830862054,3.72201009601069 51.0522850163798,3.72202006963057 51.0522823284475,3.72203006450502 51.0522824398941,3.72204128290611 51.0522849402103,3.72204997969663 51.0522889935292,3.7222336033937 51.0522870285237,3.72230186329577 51.0522863536864,3.72260654322144 51.0522836879785,3.72281232394109 51.0522819846056,3.72282242139704 51.0522818969849,3.72283336179849 51.0522874952077,3.72287809654942 51.0522873051464,3.72287830718785 51.0522880613999,3.7229134201657 51.0522860423441,3.7229158309417 51.0522865265856,3.72305914608888 51.0522826324653,3.72308801571581 51.0522818062094,3.72315311410737 51.052280373751,3.72321823271896 51.052278819113,3.7232835428222 51.0522772367215,3.72335989305892 51.0522753632349,3.72346423357134 51.0522765508983,3.72356363644702 51.0522776386415,3.72365362157797 51.052278029352,3.72380850180951 51.0522790095487,3.72383733537823 51.0522792472431,3.72400122956989 51.0522797973533,3.7241253821947 51.0522814738967,3.72412573281108 51.0522722662934,3.72438303699202 51.0522754497199,3.72455229913558 51.0522834921958,3.72469610193222 51.0523022094894,3.72470027297536 51.0523028803969,3.72480961498108 51.0523204879367,3.72489669680307 51.0523428487269,3.72501331686003 51.0522494107678,3.7251326577099 51.0521537905622,3.72512809235066 51.0521501591452,3.72512701642183 51.0521515493083,3.72497288278334 51.0521525219971,3.72480085060264 51.0521538704826,3.72460304976873 51.0521560254325,3.72460308153143 51.0521510185757,3.72454138124983 51.0521549990829,3.72453600096103 51.0521536932128,3.72453331294359 51.0521530411882)))";Rue des Foulons;zw;Voldersstraat
"MULTIPOLYGON (((3.72274952923739 51.0512971116183,3.72260061575392 51.0513139785736,3.72256125907303 51.051326445,3.72255206908889 51.0513270346777,3.72254745424343 51.0513274246939,3.72247007314766 51.0513338324856,3.7224025312743 51.0513393161225,3.7223537947251 51.0513432847329,3.72228903233446 51.0513485722926,3.72220219723566 51.0513556795849,3.72212155152755 51.0513622903851,3.72207839016237 51.0513658292018,3.72204995527112 51.0513681597016,3.72199720571684 51.0513698282715,3.72194496295515 51.0513737334355,3.72188856425775 51.0513779474837,3.72186669294229 51.051379641545,3.72181924406886 51.051383306868,3.721770164967 51.0513870809874,3.72172026663601 51.0513908973357,3.7216685626663 51.0513948215143,3.72147637256208 51.0514112266353,3.7214761763632 51.0514254268353,3.72167899334385 51.0514129301394,3.72173700125856 51.0514092032507,3.72179740930208 51.0514052809498,3.72200422402749 51.0513883208719,3.72240831021126 51.0513534789568,3.72275985374167 51.0513227417996,3.72274952923739 51.0512971116183)))";Rue du Lion;zw;Bonteleeuwstraat
"MULTIPOLYGON (((3.72260331784736 51.0510724674086,3.72242751102281 51.0510889467648,3.72239917345169 51.0510915763259,3.72237919412769 51.0510934255795,3.72233992251138 51.0510970487369,3.72207730107974 51.0511210269447,3.72205431582004 51.051123150013,3.72200629258853 51.0511277363592,3.72195977454803 51.0511321781238,3.72191558427704 51.0511363962203,3.72186612156612 51.0511411166443,3.7218241319622 51.0511451229454,3.72180920716896 51.0511465476708,3.72175820498417 51.0511514142194,3.72171731638629 51.0511553168542,3.7216980495638 51.051157308337,3.72162652655684 51.051164707774,3.72159599799939 51.0511678725664,3.721582663933 51.0511692583498,3.72153073561531 51.0511746761544,3.72140716216773 51.0511877586529,3.72140679394262 51.0511854041347,3.72140559261201 51.0511858514989,3.72140516359459 51.0512168990456,3.72140958786274 51.0512177089969,3.72140895139999 51.0512157755027,3.72141446621975 51.0512151756275,3.72157034186864 51.0511985614265,3.72157747750013 51.0511978104297,3.72161275131488 51.051194108055,3.72163132726102 51.0511921613369,3.72165198396663 51.0511899087122,3.72168761254494 51.0511860248805,3.72173202823878 51.0511811860473,3.72175740271246 51.0511784217303,3.72181529619097 51.0511721160486,3.72183142215568 51.0511703590159,3.72186611300902 51.0511666281974,3.72191657530266 51.0511611995069,3.72196284694205 51.0511562197472,3.72199247160352 51.0511530301259,3.72203069015042 51.0511507946483,3.72209690415921 51.0511439573484,3.72211395434166 51.0511421954571,3.72215229441177 51.0511381807274,3.72222525477446 51.0511305829977,3.72229520353716 51.0511233597471,3.72234243828679 51.0511184462457,3.72247514671903 51.0511060366899,3.72262744488905 51.0510915822882,3.72262784924158 51.0510922524078,3.72262861206849 51.0510916453159,3.72260331784736 51.0510724674086)))";Rue du Saint Sacrement;zw;Heilig-Sacramentstraat
"MULTIPOLYGON (((3.72247073161586 51.0508168486648,3.72228784885366 51.0508313743097,3.72217028548714 51.05084711093,3.72212654681495 51.0508529361687,3.72210417175754 51.0508559102822,3.72186756623897 51.0508775352522,3.72169354309008 51.0508916042785,3.72159606563317 51.050900430805,3.72158206114109 51.0509017275105,3.72154915346464 51.0509048190049,3.72138792121602 51.0509181900966,3.72138216816919 51.0509202413318,3.72136802687695 51.0509425829853,3.72154204460934 51.0509310952338,3.7215876981744 51.0509281024585,3.72162309094371 51.0509257886806,3.72168187291625 51.0509220444953,3.72175407329852 51.0509174102523,3.72181227754728 51.0509094387653,3.72199043982161 51.0508896651894,3.7220147764224 51.0508869634438,3.72249289967973 51.0508363205001,3.72247721503919 51.0508175718784,3.72247073161586 51.0508168486648)))";Rue du Conduit;zw;Conduitstraat
"MULTIPOLYGON (((3.72130609998476 51.0513381726266,3.72130510555109 51.0513403668456,3.72111281025745 51.0513634588263,3.72106329273384 51.0513695413896,3.72099173231582 51.0513783776247,3.72097023268823 51.0513810372132,3.72083507159176 51.0513977653391,3.7207468060272 51.0514088693276,3.72071205375264 51.0514137213433,3.72069037744967 51.0514168815122,3.7206564319746 51.0514219698691,3.72066139096516 51.0514409321611,3.72068608116838 51.0514365111831,3.72072744316961 51.0514300621441,3.72075368158238 51.0514268209642,3.72082505242446 51.0514179856294,3.72097073935204 51.0513998860398,3.72102289379769 51.0513934026942,3.72112154593347 51.0513811878343,3.72131342707896 51.0513583470632,3.72131478768508 51.0513638155261,3.72131696437883 51.0513607998846,3.72131231757381 51.051340591622,3.72130609998476 51.0513381726266)))";Rue du Corbeaut;zw;Veldstraat
"MULTIPOLYGON (((3.72124376883446 51.0510053408601,3.72124401273153 51.0510067840814,3.72119261535189 51.0510141436416,3.72108146014203 51.0510286630596,3.72102625509412 51.0510310494346,3.72100396401489 51.0510325801211,3.72092291384219 51.0510382484969,3.72091126187789 51.0510390744232,3.72083950326215 51.0510407234372,3.72072245376785 51.0510552191206,3.72055237724721 51.0510768151102,3.72056172667318 51.051108302049,3.72076942213429 51.0510785428411,3.72091125585214 51.0510630245544,3.72093424209624 51.05106145096,3.72103973502578 51.0510543904551,3.7210913192967 51.0510519832884,3.72124812743422 51.05103287921,3.72124856716919 51.0510360440566,3.72125004456701 51.0510344026343,3.7212479665118 51.05100644622,3.72124376883446 51.0510053408601)))";Rue du Faucon;zw;Veldstraat
"MULTIPOLYGON (((3.72123955824513 51.0508437873964,3.7212373996904 51.050846214338,3.72122344173425 51.0508483751271,3.72098409752481 51.0508783568096,3.72089608809459 51.0508901949405,3.72089187540868 51.0508908981307,3.72087554207162 51.0508936292332,3.72080002291812 51.0509063053986,3.72050325303139 51.0509462686819,3.72051164669737 51.0509745717592,3.72069005299352 51.0509472181223,3.72073483807102 51.0509402053883,3.7208158431745 51.0509275764876,3.72108048680664 51.0508943972786,3.7212190064911 51.0508776657453,3.72122013769788 51.0508831167698,3.7212225918747 51.0508821054672,3.72124278802149 51.0508465082108,3.72123955824513 51.0508437873964)))";Rue du Moulinet;zw;Veldstraat
"MULTIPOLYGON (((3.71970114962506 51.0514266867329,3.71988917148845 51.0513882593837,3.71990048829892 51.0513858963431,3.7199638946089 51.0513724808109,3.72001273648542 51.0513625718469,3.72006567388177 51.0513514628489,3.72008548694621 51.0513470097739,3.72007578987152 51.0513301437635,3.72000604411367 51.0513440809166,3.71997380927838 51.0513503578828,3.7199690089281 51.0513512681564,3.71992850384814 51.0513597900799,3.71991317651497 51.051362981443,3.71985898044935 51.051374141877,3.71968723253233 51.0514081748962,3.71969972986692 51.0514263247404,3.71970114962506 51.0514266867329)))";Rue aux Orgnons;zw;Onderbergen
