order_id,E92_Spacetime_Volume,E93_Presence,E31_Document,E52_Time_Span,E61_Time_Primitive_begin_of_the_begin,E61_Time_Primitive_end_of_the_end,E53_Place_ID,E55_Type,E94_Spacetime_Primitive,E41_Appellation,E56_Language_,E55_Type,Spacetime_Volume_Match_Torsten
1,,1,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,1,1855,1857,1,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((105300.623800002 194008.1406,105298.162100002 194011.728,105302.562799998 194014.728500001,105303.174599998 194013.952100001,105304.8024 194014.996300001,105303.7632 194016.3101,105302.134099998 194015.326200001,105301.916500002 194016.0537,105303.681900002 194017.138999999,105304.945200004 194017.915899999,105308.596799999 194013.2731,105300.623800002 194008.1406)))",zonder naam,FR,Toponym,Kruideniersstraat
2,,2,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,2,1855,1857,2,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((105179.506899998 193594.196199998,105177.532300003 193595.027600002,105176.497500002 193595.463300001,105172.391400002 193597.1917,105168.4542 193598.8484,105164.503300004 193600.510200001,105160.657099999 193602.1274,105160.983499996 193602.895199999,105162.386100002 193606.1952,105163.603500001 193605.667100001,105162.286399998 193602.5777,105165.6149 193601.148499999,105170.890100002 193598.8825,105171.815399997 193598.484999999,105174.658399999 193597.2632,105177.634999998 193595.983600002,105179.815899998 193595.045899998,105179.506899998 193594.196199998)))","onzeker - beluik, toegang via Rue des Bouchers 21",FR,Toponym,Vlaanderenstraat
3,,3,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,3,1855,1857,3,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((105181.307899997 193594.688299999,105181.897 193596.0473,105185.422300003 193594.424899999,105190.087099999 193592.2775,105189.759400003 193591.4252,105190.9705 193590.8303,105191.386299998 193591.554900002,105193.763999999 193590.450199999,105194.5902 193592.1976,105196.4045 193591.4329,105194.162500001 193587.341499999,105189.966799997 193589.283599999,105185.416000001 193591.389800001,105182.2302 193592.863899998,105182.851199999 193594.100000001,105181.307899997 193594.688299999)))","onzeker - beluik, toegang via Rue des Bouchers 21",FR,Toponym,Vlaanderenstraat
4,,4,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,4,1855,1857,4,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((105507.8292 193555.638700001,105508.384400003 193554.989599999,105510.652800001 193552.3376,105511.685999997 193553.206799999,105514.159900002 193550.3413,105516.2258 193547.995000001,105518.926100001 193544.928599998,105521.400600001 193542.119100001,105523.631800003 193539.586100001,105523.066 193539.004900001,105522.128399998 193540.089600001,105520.877400003 193538.9901,105517.133699998 193543.265999999,105515.582900003 193545.037500001,105509.330399998 193552.245200001,105506.9639 193554.973900001,105507.8292 193555.638700001)))",zonder naam,FR,Toponym,'t Stuk
5,,5,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,5,1855,1857,5,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((105534.384000003 193574.809599999,105537.274599999 193574.159499999,105535.5744 193561.148600001,105534.4164 193552.319600001,105533.741999999 193547.191100001,105532.806699999 193539.877500001,105530.6712 193541.270500001,105531.222800002 193545.615800001,105531.849600002 193550.563099999,105532.456799999 193555.364500001,105533.0361 193559.953600001,105533.659299999 193564.898699999,105530.2258 193565.114500001,105526.418700002 193565.487799998,105525.7852 193559.977499999,105525.221799999 193555.087200001,105524.622400001 193549.8948,105524.259099998 193546.7542,105522.6888 193548.3246,105520.431199998 193550.864,105523.162900001 193553.3871,105519.903800003 193556.976599999,105517.206299998 193559.948100001,105516.011399999 193561.264600001,105517.640500002 193562.710700002,105514.715499997 193565.759599999,105516.102600001 193567.263700001,105517.881899998 193568.901099999,105522.822300002 193568.373799998,105526.458899997 193567.9855,105529.844099998 193567.624000002,105533.670999996 193567.215100002,105534.053000003 193571.293200001,105534.384000003 193574.809599999)))",zonder naam,FR,Toponym,'t Stuk
6,,6,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,6,1855,1857,6,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104193.904700004 194284.435199998,104194.366300002 194283.1677,104191.078299999 194281.520199999,104187.838500001 194279.897799999,104184.695299998 194278.326000001,104181.562299997 194276.761799999,104178.471799999 194275.221999999,104176.361900002 194273.8917,104176.270999998 194274.519900002,104175.658799998 194278.848499998,104176.827500001 194279.122900002,104178.019500002 194280.1417,104180.551899999 194280.8213,104182.650700003 194281.3836,104183.796999998 194281.695300002,104187.146899998 194282.604899999,104190.343500003 194283.4714,104193.904700004 194284.435199998)))",zonder naam,FR,Toponym,Koolsteeg
7,,7,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,7,1855,1857,7,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((103020.121699996 193773.020399999,103018.991800003 193774.0922,103019.3169 193774.445500001,103030.032899998 193786.089299999,103030.380999997 193785.989700001,103031.351300001 193785.353100002,103020.772 193773.731400002,103020.121699996 193773.020399999)))",zonder naam,FR,Toponym,Overzet
8,,8,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,8,1855,1857,8,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104851.442400001 193777.090100002,104851.244999997 193777.3682,104850.452299997 193777.186500002,104845.641199999 193785.6741,104840.816 193796.645599999,104839.8222 193801.151700001,104839.295900002 193803.601500001,104838.460199997 193807.4245,104837.772 193810.5337,104836.332999997 193816.728999998,104835.425399996 193820.5583,104834.562600002 193824.5143,104832.883000001 193831.726500001,104832.564900003 193831.550799999,104832.564900003 193836.6065,104832.338299997 193836.787799999,104832.735200003 193836.995700002,104831.5814 193841.188499998,104830.379500002 193845.927099999,104828.892200001 193851.8737,104826.813199997 193860.6129,104825.523400001 193867.0396,104824.601599999 193872.977899998,104823.904700004 193876.813200001,104822.937700003 193881.717799999,104822.548699997 193888.726799998,104823.123899996 193897.3904,104822.600299999 193897.473499998,104822.694300003 193897.804200001,104829.287299998 193897.804200001,104830.590700001 193897.804200001,104830.703299999 193897.730999999,104830.650600001 193897.1906,104830.019299999 193889.8827,104829.578900002 193884.738400001,104830.890600003 193879.0425,104832.350500003 193872.614500001,104833.625100002 193866.921500001,104835.064300001 193860.361200001,104835.330700003 193859.544599999,104835.470700003 193858.591600001,104836.1976 193853.516600002,104836.869999997 193848.594799999,104836.9947 193847.622099999,104838.415600002 193839.4881,104839.008100003 193835.454300001,104839.282200001 193833.816599999,104840.068700001 193830.197500002,104841.050700001 193825.723299999,104841.568300001 193823.373500001,104842.385700002 193819.637200002,104842.6105 193818.603700001,104843.267300002 193814.792100001,104844.464000002 193809.263999999,104846.525700003 193802.8226,104846.891400002 193801.6609,104848.249499999 193797.834399998,104850.588399999 193793.1127,104851.2905 193791.559999999,104855.098700002 193783.031599998,104852.956200004 193779.549899999,104851.442400001 193777.090100002)))",Rue aux Marjolaines,FR,Toponym,Mageleinstraat
9,,9,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,9,1855,1857,9,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104783.524499997 193811.456,104781.021399997 193824.016399998,104780.959899999 193824.457699999,104780.057099998 193830.9232,104779.672200002 193833.490200002,104779.452200003 193834.9562,104778.492399998 193841.380199999,104778.326899998 193846.562199999,104777.784400001 193856.3226,104778.303300001 193859.1426,104778.251800001 193863.682700001,104778.215899996 193866.743099999,104778.202299997 193867.884300001,104778.205300003 193868.205800001,104778.269000001 193875.7269,104778.317500003 193883.693100002,104778.377800003 193885.080499999,104779.002899997 193901.986699998,104778.6021 193902.0185,104778.091799997 193902.059,104778.276600003 193902.739399999,104783.705499999 193901.7524,104783.952799998 193901.584899999,104783.919200003 193901.566100001,104783.929700002 193897.000999998,104783.967399999 193893.912099998,104784.045599997 193886.468899999,104784.113399997 193876.3028,104784.432700001 193868.568599999,104784.435999997 193867.575599998,104784.450800002 193862.240800001,104783.730899997 193862.237199999,104784.188900001 193851.393100001,104784.442500003 193842.145799998,104784.454899997 193841.741599999,104784.671599999 193838.302499998,104784.799999997 193836.261700001,104785.022200003 193831.7676,104785.042300001 193831.3594,104785.463699996 193827.419199999,104785.570500001 193826.265999999,104785.892800003 193824.488600001,104786.535700001 193820.9386,104787.769199997 193814.157200001,104783.524499997 193811.456)))",Rue du St. Esprit,FR,Toponym,Heilige-Geeststraat
10,,10,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,10,1855,1857,10,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104712.570900001 193805.270100001,104714.011100002 193811.239399999,104714.485699996 193813.204700001,104714.755400002 193814.3213,104715.944399998 193819.565400001,104717.121600002 193824.7513,104718.217699997 193830.613699999,104718.558499999 193832.434799999,104719.272799999 193836.893300001,104719.989799999 193841.647799999,104720.921099998 193848.919100001,104713.229500003 193850.8035,104708.451700002 193858.401299998,104709.795000002 193863.215599999,104710.9419 193867.317600001,104712.497000001 193872.8642,104714.549599998 193876.513,104714.689999998 193876.786499999,104715.579300001 193878.517200001,104717.430100001 193882.2388,104720.082599998 193888.558400001,104721.114 193891.0024,104722.505099997 193894.284699999,104728.967900001 193911.683899999,104729.089699998 193912.012800001,104732.030900002 193910.1745,104731.790299997 193910.245000001,104730.176600002 193905.138,104729.032700002 193901.771600001,104726.799000002 193895.138799999,104725.285099998 193891.241700001,104724.265799999 193888.602899998,104722.8138 193884.6855,104722.5251 193883.989100002,104721.684199996 193881.958099999,104718.860699996 193876.160399999,104718.310800001 193875.029399998,104713.410999998 193861.441300001,104712.858800001 193859.518800002,104712.866899997 193858.3904,104713.098800004 193857.6021,104713.445500001 193856.5889,104714.131399997 193855.5781,104714.780699998 193855.152800001,104715.153899997 193854.908399999,104718.215300001 193853.576699998,104724.668099999 193851.237,104724.431000002 193848.978999998,104723.801200002 193843.7278,104723.403399996 193840.4034,104723.355899997 193840.003699999,104722.772100002 193835.090999998,104722.515199997 193833.582899999,104722.021300003 193830.681600001,104721.735399999 193829.2984,104721.156599998 193826.497400001,104721.052199997 193825.5933,104720.140500002 193821.947799999,104719.638099998 193819.937800001,104719.416900001 193819.117699999,104717.954099998 193813.6932,104717.350599997 193811.454100002,104715.3358 193803.690099999,104712.570900001 193805.270100001)))",Rue Tortue,FR,Toponym,Sint-Niklaasstraat
11,,11,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,11,1855,1857,11,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104723.880999997 193791.3039,104724.4397 193793.161800001,104719.248999998 193795.449700002,104717.284500003 193796.315499999,104712.974100001 193798.5394,104708.051200002 193801.0801,104707.668499999 193801.2777,104706.936800003 193801.682399999,104691.909999996 193810.006499998,104689.416599996 193811.3906,104685.861699998 193813.1415,104684.992799997 193813.568999998,104680.593599997 193815.881499998,104668.651500002 193822.1708,104668.219599999 193828.216499999,104668.559799999 193828.544599999,104674.859499998 193826.2599,104674.519000001 193824.9767,104674.130400002 193823.512200002,104693.907799996 193813.432799999,104706.113700002 193807.9366,104712.519500002 193805.057,104712.570900001 193805.270100001,104715.3358 193803.690099999,104715.1787 193803.084600002,104721.9683 193800.3365,104726.034900002 193798.690200001,104731.096799999 193796.647500001,104731.953500003 193796.440099999,104733.080200002 193796.448399998,104736.463399999 193796.0218,104736.560599998 193797.488200001,104739.598399997 193797.622099999,104743.305699997 193798.097800002,104746.109800003 193798.678800002,104750.588399999 193799.9432,104753.162299998 193800.659200002,104758.418300003 193802.119399998,104765.363399997 193804.033799998,104770.659999996 193806.034400001,104773.865400001 193807.250399999,104774.8499 193807.668400001,104780.026000001 193809.864399999,104782.923799999 193810.782400001,104783.615199998 193811.0013,104783.524499997 193811.456,104787.769199997 193814.157200001,104787.890799999 193813.488600001,104793.377599999 193815.980599999,104799.101899996 193818.575800002,104799.415799998 193818.754299998,104804.878600001 193821.859999999,104806.695799999 193822.894499999,104811.144199997 193825.8321,104812.696000002 193826.6076,104818.413400002 193829.603500001,104819.951800004 193830.384300001,104822.639799997 193831.7071,104832.338299997 193836.787799999,104832.564900003 193836.6065,104832.564900003 193831.550799999,104817.781400003 193823.386799999,104814.840800002 193821.4135,104812.570200004 193820.092500001,104811.105999999 193819.284899998,104809.890199997 193818.6171,104806.138700001 193816.5583,104804.5722 193814.697000001,104800.263300002 193812.418099999,104795.677100003 193809.986000001,104794.275799997 193809.241700001,104787.048900001 193805.3972,104782.149999999 193802.858899999,104774.397200003 193798.644000001,104769.353399999 193797.068799999,104768.266999997 193796.781199999,104759.911899999 193794.565400001,104757.4476 193793.910599999,104754.589699998 193793.378600001,104751.196599998 193792.745900001,104747.972800002 193792.143599998,104744.103200004 193791.417800002,104740.7315 193790.824900001,104736.635799997 193790.102499999,104736.336199999 193790.105700001,104731.155500002 193790.166900001,104728.4498 193790.820700001,104728.160899997 193790.526099999,104725.912299998 193791.093199998,104725.763999999 193790.4976,104725.468999997 193790.708299998,104723.880999997 193791.3039)))",Rue des Vanniers,FR,Toponym,Bennesteeg
12,,12,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,12,1855,1857,12,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104725.763999999 193790.4976,104725.6149 193789.899,104724.3323 193784.748300001,104723.276199996 193783.473499998,104718.674900003 193777.590700001,104717.579000004 193777.029599998,104715.452799998 193766.368900001,104715.754799999 193766.3532,104715.585299999 193766.300799999,104713.125299998 193766.546799999,104713.977499999 193771.146899998,104715.667400002 193774.022100002,104716.552199997 193778.884799998,104719.134900004 193781.8904,104719.625600003 193782.461100001,104722.270800002 193785.949700002,104723.2214 193789.1107,104723.880999997 193791.3039,104725.468999997 193790.708299998,104725.763999999 193790.4976)))",Rue Traverstere,FR,Toponym,Sint-Niklaasstraat
13,,13,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,13,1855,1857,13,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104829.0361 193750.5196,104829.079499997 193751.1611,104790.118900001 193751.750999998,104778.442500003 193751.9661,104768.328299999 193752.168400001,104768.2192 193753.2238,104768.286300004 193754.184,104744.847599998 193754.698899999,104744.719499998 193753.866,104744.527099997 193752.705699999,104719.7456 193753.3402,104719.7038 193752.116599999,104718.559600003 193752.706599999,104714.611400001 193755.174199998,104714.178199999 193754.8825,104709.093000002 193754.812100001,104700.615400001 193754.691599999,104698.950499997 193754.1745,104673.201499999 193753.5788,104663.284299999 193753.242400002,104647.750600003 193753.338599999,104647.673100002 193753.1395,104647.491400003 193753.200100001,104651.933200002 193766.525400002,104652.247599997 193766.737399999,104652.944300003 193766.432300001,104653.645199999 193766.4386,104654.434199996 193766.709899999,104655.047899999 193767.155499998,104667.9208 193766.824900001,104672.706200004 193766.7082,104694.066299997 193766.225900002,104708.493000001 193765.910999998,104709.200900003 193765.895100001,104709.973399997 193766.5112,104713.109800003 193766.4628,104713.125299998 193766.546799999,104715.585299999 193766.300799999,104715.754799999 193766.3532,104725.799599998 193765.832699999,104727.822999999 193765.723200001,104732.386 193765.5242,104736.950300001 193765.3116,104741.527999997 193765.095800001,104746.879500002 193764.8409,104754.196500003 193764.909499999,104761.167199999 193764.969999999,104767.476899996 193764.958700001,104778.337300003 193764.973499998,104780.359200001 193764.9824,104791.851199999 193764.9439,104800.557800002 193765.054900002,104800.5735 193764.030400001,104818.6175 193764.228100002,104830.493100002 193765.019900002,104840.593900003 193767.014699999,104840.887000002 193767.086800002,104848.570500001 193768.9791,104854.697800003 193771.413699999,104862.784599997 193760.9485,104871.060099997 193750.238899998,104870.736500002 193749.837699998,104870.6624 193749.993000001,104859.856200002 193750.194800001,104847.795400001 193750.449299999,104833.928599998 193750.8092,104833.925999999 193750.2522,104829.603699997 193750.732500002,104829.225199997 193750.590500001,104829.0361 193750.5196)))",Rue des Foulons,FR,Toponym,Voldersstraat
14,,14,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,14,1855,1857,14,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104703.137900002 193656.388500001,104692.712899998 193658.355599999,104689.965400003 193659.766399998,104689.321599998 193659.8376,104688.998400003 193659.8838,104683.578900002 193660.643800002,104678.848399997 193661.295000002,104675.435000002 193661.766199999,104670.8992 193662.3939,104664.817500003 193663.237500001,104659.169299997 193664.022100002,104656.146399997 193664.4421,104654.154899999 193664.718699999,104650.457900003 193664.936500002,104646.798600003 193665.402800001,104642.848200001 193665.905999999,104641.316299997 193666.107799999,104637.992899999 193666.544500001,104634.555299997 193666.9943,104631.0603 193667.449299999,104627.4388 193667.917399999,104613.979000002 193669.859700002,104613.979000002 193671.4395,104628.187700003 193669.925500002,104632.251400001 193669.475499999,104636.483199999 193669.002300002,104650.967900001 193666.989399999,104679.267300002 193662.866999999,104703.886600003 193659.233399998,104703.137900002 193656.388500001)))",Rue du Lion,FR,Toponym,Bonteleeuwstraat
15,,15,ttps://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A34FC0D84-8CD1-11E2-A445-9E8DB44EB760,15,1855,1857,15,https://id.erfgoed.net/thesauri/erfgoedtypes/1212,"MULTIPOLYGON (((104692.668799996 193631.487399999,104680.357699998 193633.4278,104678.373300001 193633.737599999,104676.974200003 193633.955499999,104674.224100001 193634.3825,104655.833099999 193637.210099999,104654.223499998 193637.460299999,104650.860699996 193637.9998,104647.603299998 193638.522300001,104644.508900002 193639.0185,104641.045299999 193639.573800001,104638.104999997 193640.0451,104637.059900001 193640.212699998,104633.488499999 193640.7852,104630.625299998 193641.2443,104629.276299998 193641.477600001,104624.2685 193642.3444,104622.130999997 193642.715100002,104621.197400004 193642.8774,104617.5616 193643.511799999,104608.909699999 193645.042599998,104608.8816 193644.780900002,104608.797799997 193644.8314,104608.797799997 193648.285500001,104609.108800001 193648.372900002,104609.062299997 193648.158199999,104609.448399998 193648.088100001,104620.3618 193646.144699998,104620.861400001 193646.0568,104623.331100002 193645.623399999,104624.631700002 193645.395500001,104626.0779 193645.132300001,104628.572300002 193644.6785,104631.681900002 193644.1131,104633.458400004 193643.790100001,104637.511600003 193643.053300001,104638.640600003 193642.848000001,104641.069399998 193642.411800001,104644.602399997 193641.777100001,104647.842 193641.194899999,104649.916100003 193640.822000001,104652.593699999 193640.550000001,104657.229800001 193639.749000002,104658.423600003 193639.542599998,104661.108000003 193639.0726,104666.216399997 193638.1829,104671.114 193637.3367,104674.4212 193636.761300001,104683.714299999 193635.299899999,104694.379000001 193633.599100001,104694.408 193633.6734,104694.460900001 193633.6054,104692.668799996 193631.487399999)))",Rue du Saint Sacrement,FR,Toponym,Heilig-Sacramentstraat
