WKT,Name,description,tessellate,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"MULTILINESTRING ((3.67895825413 51.0796332811,3.67907817204 51.07969487,3.67945507998 51.0799135757,3.67953461951 51.079980092),(3.67872181216 51.0798368015,3.67844157732 51.0797702606,3.67663776652 51.0791906716,3.67615107097 51.079002638,3.67604920741 51.0789427109),(3.67872181216 51.0798368015,3.67879682329 51.0796635848,3.67881969529 51.0796067845,3.67895825413 51.0796332811),(3.67872181216 51.0798368015,3.67893405981 51.0798881052),(3.67893405981 51.0798881052,3.67897460796 51.0798046231,3.67898744938 51.0797019509,3.67895825413 51.0796332811),(3.67953461951 51.079980092,3.67893405981 51.0798881052),(3.69305772305 51.0829273788,3.69244376049 51.0827494736,3.69163920327 51.0825273197,3.69104200596 51.0823746687,3.69051013055 51.0822448656,3.68795289194 51.0817402272,3.68559259638 51.0812393695,3.68495803454 51.0811071489,3.68376575367 51.0808584219,3.68158905309 51.0803972046,3.68076972487 51.0802153403,3.67999727973 51.0800481287,3.67953461951 51.079980092))",90300539,,1,90300539,90300539,70236,9030,9030,Groenestaakstraat
"LINESTRING (3.72833509336 51.0629415274,3.72840534701 51.0629158399,3.72842397448 51.0629096478,3.72844254355 51.0629079507,3.72846252478 51.0629071592,3.72848249792 51.0629072676,3.72850242974 51.0629100735,3.72859066047 51.0629258343,3.7286637483 51.0629457311,3.73019267193 51.0632032373,3.73065303516 51.0632812433,3.73073193778 51.0632856728)",90008431,,1,90008431,90008431,70621,9000,9000,Karel Mirystraat
"LINESTRING (3.69397836416 51.0789585131,3.69506016214 51.0769681868)",90300544,,1,90300544,90300544,70342,9030,9030,Hendrik Haagenstraat
"MULTILINESTRING ((3.72282513194 51.0440228776,3.72274328913 51.0439086184,3.72242109039 51.043455716,3.72226689367 51.0432353509,3.72185218732 51.0426476332,3.72178737387 51.04255578),(3.72282513194 51.0440228776,3.72290679509 51.0440384556,3.72293835021 51.0440446971,3.7229658135 51.0440483175,3.7229960472 51.0440502163,3.72302771012 51.0440486569,3.72305664306 51.044045345,3.72308838503 51.0440377146,3.72311466255 51.0440274535,3.7231890188 51.0439986813),(3.72349913341 51.0449516798,3.72341501067 51.0448535237,3.72306880625 51.0443630751,3.72282513194 51.0440228776))",90005801,,1,90005801,90005801,70624,9000,9000,Karel Van Hulthemstraat
"LINESTRING (3.67730943686 51.0738019838,3.67759254451 51.0727087233)",90300546,,1,90300546,90300546,70358,9030,9030,Henricus Bracqstraat
"MULTILINESTRING ((3.70491333603 51.0581775544,3.70478678317 51.0582840668,3.70474117391 51.0583199838,3.70459893017 51.0583760265),(3.70424471817 51.0582009177,3.70423762148 51.0581233639,3.70415969352 51.057980817,3.70393847171 51.0577986207),(3.70424471817 51.0582009177,3.70459893017 51.0583760265),(3.7043298533 51.0585579592,3.70405886033 51.0584414554,3.70424471817 51.0582009177),(3.7043298533 51.0585579592,3.70459893017 51.0583760265),(3.70458326535 51.0586993836,3.7043298533 51.0585579592))",90006871,,1,90006871,90006871,70627,9000,9000,Karel Waeriplein
"LINESTRING (3.70158518211 51.0748047009,3.7014901116 51.0747673055,3.70113420358 51.0746097782,3.70050322962 51.0743293381,3.69999987572 51.0741053506,3.69894810213 51.0736175598,3.69889523987 51.073605293,3.69885281693 51.0735954466,3.69840344998 51.0734481163,3.69814413421 51.0733630935,3.69805185746 51.0733302067,3.69797237093 51.073300991,3.6979369854 51.0732810117,3.69784647025 51.0732178006,3.69782537601 51.0732030689,3.69777442896 51.0731740151,3.69772911973 51.0731494875,3.69749589103 51.0730574273,3.69713188649 51.0729069728)",90300547,,1,90300547,90300547,70380,9030,9030,Hippoliet Van Peenestraat
"LINESTRING (3.71633669227 51.049093415,3.7165631306 51.0491162436,3.71665285793 51.0491248281,3.71674400998 51.0491334238,3.7168522399 51.0491448082,3.71705164074 51.0491629902)",90002433,,1,90002433,90002433,70631,9000,9000,Karrenstraat
"MULTILINESTRING ((3.70441573045 51.0779543165,3.70432051082 51.077926811,3.70376204708 51.0778616388,3.70369221744 51.0778549549,3.70336605712 51.0779115468),(3.70441573045 51.0779543165,3.70491494132 51.0774681115,3.70522464899 51.0771624223,3.70525502193 51.0771338264,3.70526279505 51.0770889271,3.70524378759 51.0770205001,3.70522705647 51.0769925396,3.70497787908 51.0765515631,3.70340362557 51.076874402,3.70293972747 51.0769841477),(3.70441573045 51.0779543165,3.70451523683 51.078484341,3.70453021624 51.078626393,3.70458323481 51.0789201413,3.70458491735 51.0789470638,3.70455245583 51.0792327093,3.70441809032 51.0793459563))",90300650,,1,90300650,90300650,70397,9030,9030,Hogekouterhof
"MULTILINESTRING ((3.68091205395 51.0789783517,3.6808679269 51.0788738199,3.6808629152 51.0788261467,3.68086939295 51.0787740471,3.68089454578 51.0787130677,3.68102130076 51.0784387363,3.68117602659 51.0781061361,3.68145615812 51.0774929032,3.68149443354 51.0774131225,3.68164464443 51.0770957782,3.68195727791 51.0764063249,3.68206597856 51.0761948105,3.68200881875 51.0760057037),(3.68091205395 51.0789783517,3.68101744968 51.0790895338,3.68112199741 51.0791611577,3.68120582281 51.079186817,3.68097505639 51.0797410066),(3.68097505639 51.0797410066,3.68047423843 51.0796383045,3.68061106892 51.0793586392,3.68080728074 51.079019091,3.68091205395 51.0789783517),(3.68076972487 51.0802153403,3.68097505639 51.0797410066))",90300590,,1,90300590,90300590,71288,9030,9030,Paul van Tieghemlaan
"MULTILINESTRING ((3.73850269198 51.0491150854,3.73820025437 51.0490163847,3.73791910055 51.0489258859),(3.73850269198 51.0491150854,3.73850709013 51.0491754493,3.73879401562 51.0492697024,3.73895238142 51.0493249525,3.73905617995 51.0493638249,3.7392971153 51.0494739159,3.73952811438 51.0495976724,3.73970744776 51.0497121644,3.73993781442 51.0498832229,3.74003287504 51.0499580008,3.74020031113 51.0501206815,3.74031117492 51.0502485282,3.74033270304 51.0502762597),(3.74047848075 51.050233893,3.74026057371 51.0500071726,3.7401060006 51.0498670392,3.73999793148 51.0497777624,3.73986268382 51.049678429,3.73965505082 51.0495447934,3.73954413044 51.0494831571,3.73944057445 51.0494278196,3.73914193223 51.0492910858,3.7390266676 51.0492445568,3.73891633113 51.0492011834,3.73881000563 51.0491672212,3.73867375726 51.0491204927,3.73860043856 51.0490983654,3.73856678497 51.0490896703,3.73850269198 51.0491150854),(3.74047848075 51.050233893,3.74033270304 51.0502762597),(3.74033270304 51.0502762597,3.74036057866 51.050314073,3.74044185733 51.0504273179),(3.74059341031 51.0503857347,3.74057148423 51.0503576673,3.74047848075 51.050233893),(3.74044185733 51.0504273179,3.74059341031 51.0503857347),(3.74070465767 51.0516081233,3.74069100867 51.0515453547,3.740700432 51.0514441445,3.74071234456 51.0513391874,3.74071454183 51.0512313404,3.74070609677 51.051133371,3.74070081109 51.0510836058,3.74069809907 51.0510581116,3.74068625209 51.050989925,3.74066986862 51.0509245556,3.7406439118 51.0508454147,3.74061058879 51.0507558298,3.74057353059 51.0506648031,3.74053043032 51.0505765845,3.74048645689 51.050497819,3.74046003384 51.0504532123,3.74044185733 51.0504273179),(3.74099361965 51.0517092709,3.74087593945 51.0516966194,3.74079035425 51.0516628663,3.74070465767 51.0516081233),(3.74099361965 51.0517092709,3.74085697781 51.0514747406,3.7408668476 51.0513768095,3.74087072383 51.0513004239,3.74087332715 51.0512123438,3.74086991894 51.051147601,3.74086099507 51.0510684474,3.74084789135 51.0509820807,3.74082618356 51.0508992663,3.74079335822 51.0507948134,3.74076300505 51.0507182439,3.74072573035 51.0506263547,3.74070772003 51.0505867063,3.74069513733 51.0505677608,3.740638044 51.0504649798,3.74060740786 51.0504099812,3.74059341031 51.0503857347),(3.74099361965 51.0517092709,3.74099629393 51.0518614652,3.74079148344 51.0520515997,3.74068572208 51.0521718601,3.7404829858 51.0524324049,3.7403735144 51.0526040198,3.74024612611 51.0528735289,3.74005030595 51.0532929881,3.73989421559 51.0536660307,3.73966929271 51.0541872117,3.73956629458 51.05445703,3.73954694037 51.0545104947,3.73953824738 51.0545345307,3.73953820066 51.0545346521,3.73952158273 51.0545798602,3.73950965759 51.0546122978,3.73950961627 51.0546124158,3.73948065459 51.0546900043,3.73948060877 51.0546901246,3.73945122937 51.0547676497,3.73945109642 51.0547679913,3.73919410459 51.0554179031,3.73902943801 51.0558268888,3.73902254254 51.0558443353,3.73899215163 51.0559211849,3.73899015198 51.0559262481,3.73898387366 51.0559421191,3.73898140958 51.0559483653,3.73894585426 51.0560429982,3.73894582102 51.0560431303,3.73894485713 51.0560473521,3.73894349888 51.0560552922,3.73894313416 51.0560585496,3.73894259967 51.056063283,3.73894214871 51.0560712711,3.73894216308 51.0560792619,3.7389426329 51.0560872578,3.73894355457 51.0560952216,3.73894503769 51.0561036822,3.73894666903 51.0561107143,3.73894867587 51.0561177616,3.73895103754 51.0561247626,3.73895375674 51.0561317078,3.73895682808 51.0561385958,3.73896051656 51.0561459379,3.73901310035 51.0562259247,3.73893835153 51.0562124281,3.73893765444 51.0562123038,3.73893625127 51.0562120661,3.73892557659 51.0562103293,3.73892172192 51.0562097646,3.73892150812 51.0562097387,3.73891070947 51.0562083434,3.73890647841 51.0562078657,3.73889558094 51.0562068262,3.73889469161 51.0562067455,3.73889130946 51.056206492,3.73888034013 51.0562058104,3.73887833868 51.056205702,3.73887613332 51.0562056173,3.73886511907 51.0562052898,3.73886191478 51.0562052328,3.73886084758 51.05620523,3.73884982436 51.056205261,3.73884557712 51.0562053418,3.73883457635 51.0562057291,3.73883447844 51.0562057348,3.73883030576 51.0562059505,3.73881934452 51.0562066964,3.73881812371 51.0562067856,3.73881516466 51.0562070498,3.73880427887 51.0562081481,3.73880189025 51.0562084095,3.73880002715 51.0562086466,3.73878924736 51.0562101012,3.73878583107 51.0562106093,3.73878513128 51.0562107262,3.73877448445 51.0562125263,3.73877040251 51.0562132869,3.73875991557 51.0562154297,3.73875950055 51.0562155144,3.73875586238 51.0562163337,3.73874556768 51.0562188164,3.73874412589 51.0562191738,3.73874167798 51.0562198249,3.73873159708 51.0562226351,3.73872909527 51.0562233652,3.73872770917 51.0562237943,3.73871787172 51.0562269315,3.73871446172 51.0562280828,3.73871413473 51.0562282014,3.73870457037 51.0562316496,3.7387009286 51.0562330415,3.7386916526 51.056236798),(3.74055008546 51.0520590073,3.74059006588 51.0519142321,3.74064264607 51.0518201362,3.74066914547 51.0517350358,3.74070465767 51.0516081233),(3.74055008546 51.0520590073,3.74099361965 51.0517092709),(3.74055008546 51.0520590073,3.74033506202 51.0524006479,3.74014315402 51.0527672236,3.73993491197 51.0532016479,3.73975303007 51.0536147114),(3.73961225329 51.0531482009,3.73953297157 51.0533167769,3.7395097618 51.0533661003,3.73942579537 51.0535445314),(3.73942579537 51.0535445314,3.73951020557 51.0535199183,3.73965248074 51.0535466867,3.73975303007 51.0536147114),(3.73942579537 51.0535445314,3.73947468169 51.0535962065,3.73961639901 51.0536231014,3.73975303007 51.0536147114),(3.73942579537 51.0535445314,3.7393436121 51.0537166876,3.73933775059 51.0537283408,3.7392465159 51.0539373055),(3.73975303007 51.0536147114,3.73961021501 51.0540010438,3.73946223733 51.0543410693,3.73904989804 51.0552155538,3.73900972448 51.0553005591,3.73898183718 51.0553600279,3.73898070889 51.055362902,3.73898033609 51.0553637941,3.73898029118 51.0553638975,3.73897944227 51.055365806,3.73897925362 51.0553662176,3.73897864457 51.0553675242,3.7389785709 51.0553676773,3.73894894896 51.0554301013,3.7389193863 51.0554924101,3.73890759322 51.0555179301,3.73889628073 51.0555434704,3.73888541651 51.0555690847,3.73887500503 51.0555947729,3.73886504721 51.0556205384,3.73885554573 51.0556463661,3.7388464934 51.0556722626,3.73883789293 51.0556982455,3.73883318037 51.0557131805,3.73882860076 51.0557281606,3.73882178704 51.0557513965,3.7388106102 51.05580019,3.73880451064 51.0558196579,3.73880224868 51.0558283004,3.73880214088 51.05582869,3.73879485914 51.0558556593,3.73879475583 51.0558560512,3.73878797086 51.0558830707,3.73878787743 51.0558834603,3.73878158563 51.0559105272,3.73876076269 51.0560194304,3.73876015363 51.0560216314,3.73875998295 51.0560224919,3.73875883939 51.0560287844,3.73875700413 51.0560388819,3.73875606539 51.0560440659,3.73874982839 51.0560783884,3.73874818088 51.0560874549,3.73874653068 51.0560965508,3.73874504576 51.0561044264,3.73874327339 51.0561117928,3.73874112372 51.0561191128,3.73873859137 51.0561263877,3.7387356916 51.0561336112,3.73873241724 51.056140768,3.73872850508 51.0561483862,3.7386916526 51.056236798),(3.73834824643 51.0569978262,3.73832621075 51.0569640453,3.73830436911 51.0569160932,3.73830510843 51.0568611728,3.73836881156 51.0567233198,3.73841698731 51.0566394593,3.73860153181 51.0562968252,3.73860487264 51.0562933069,3.73860670072 51.0562914735,3.73861281195 51.0562856893,3.73861327638 51.0562852579,3.73861524459 51.0562835126,3.73862181667 51.0562779328,3.73862303658 51.056276921,3.73862447119 51.056275799,3.73863148973 51.0562704456,3.73863352531 51.0562689505,3.73863425744 51.0562684383,3.73864170537 51.0562633148,3.73864469137 51.0562613673,3.73865255702 51.0562564905,3.7386556571 51.0562546645,3.73866390184 51.056250053,3.73866479477 51.0562495607,3.73866716003 51.056248323,3.73867577218 51.0562439859,3.73867761732 51.0562430802,3.73867916781 51.0562423626,3.73868812222 51.0562383101,3.73869100042 51.0562370662,3.7386916526 51.056236798))",90007432,,1,90007432,90007432,70635,9000,9000,Kasteellaan
"LINESTRING (3.67294009599 51.0815496283,3.67315041675 51.0817590691,3.67353263194 51.0824489969,3.67314039515 51.0827217576,3.67310409153 51.082763792,3.67307911028 51.0828121869,3.67307837546 51.082861624,3.67310166069 51.0829273828,3.67321710049 51.0831303215,3.67353000347 51.0836832066,3.67353373866 51.0837200835,3.67351986598 51.083789219,3.67348364142 51.0838258606,3.6722642979 51.084723887,3.67212296146 51.0848228315,3.67207556994 51.0848423295,3.6720112317 51.0848500384,3.67192992608 51.0848468625,3.67183764485 51.0848139551,3.67134644605 51.0845422767,3.67130122396 51.0845123424,3.67127759288 51.0844699551,3.67128564987 51.0844079788,3.67133791026 51.084348957,3.67158026943 51.0841750999,3.67201169074 51.0838603267,3.6720507432 51.0838255005,3.67207108196 51.0838013494,3.67208334126 51.0837447889,3.67205751111 51.0836583398,3.67192264613 51.0834184303,3.67162655154 51.0828881131,3.67154231831 51.0827699076,3.67141053366 51.0826801954)",90300551,,1,90300551,90300551,70415,9030,9030,Hooiland
"LINESTRING (3.72471681774 51.0434134787,3.72454318058 51.043387485,3.72404401103 51.043214481,3.72350200352 51.043022256)",90005435,,1,90005435,90005435,70646,9000,9000,Kazernenstraat
"LINESTRING (3.67581636229 51.0843582606,3.67541819842 51.0846453742,3.67466504639 51.0851946851,3.6742813912 51.0854648,3.67424251661 51.0854879448,3.67420387288 51.0854949081,3.6741325215 51.0854944882,3.67405007771 51.0854715297,3.67377168262 51.0853808991,3.67336824024 51.0852535692,3.67331160955 51.085222671,3.67329923166 51.0851911368,3.67329256526 51.0851596359,3.67331047857 51.0851067066,3.67338416558 51.0850460126,3.67399467591 51.0845884599)",90300647,,1,90300647,90300647,70588,9030,9030,Kalemeersstraat
"LINESTRING (3.73304691783 51.0570168961,3.73345491646 51.0570547101,3.73350657498 51.0570471102,3.73403634294 51.0570951717,3.73421015168 51.0571104918,3.73430420259 51.0571172883,3.7344153206 51.0571277752,3.73457348608 51.0571394117,3.73467464266 51.0571480472,3.73485130625 51.0571633814,3.73501228974 51.0571777282,3.73529580343 51.0572026244)",90008433,,1,90008433,90008433,70651,9000,9000,Keizer Leopoldstraat
"LINESTRING (3.67348641541 51.090048952,3.67372681896 51.0896523117,3.67411537895 51.0889579351,3.67511526494 51.0871740629)",90300557,,1,90300557,90300557,70589,9030,9030,Kaleweg
"MULTILINESTRING ((3.73654472039 51.0385385912,3.73660872266 51.0385506188,3.73667557079 51.0385626638,3.73697286554 51.0386145968,3.73713075703 51.0386424121,3.73732537434 51.0386955917,3.73743893127 51.0387330552,3.73769116024 51.0388494708,3.73782693969 51.0389311012,3.73785799984 51.0389537377,3.73789047843 51.0389772859,3.73790038685 51.0389827311,3.73812978783 51.0393120692,3.73815621177 51.0393616499),(3.73781202407 51.0390341383,3.73789902231 51.0390986439,3.7379862631 51.0391701681,3.73807504449 51.039247952,3.73813947885 51.0393336933,3.73815621177 51.0393616499),(3.73815621177 51.0393616499,3.73816313149 51.0393769697,3.73817558933 51.0394049048,3.73818804717 51.0394328382,3.73819907848 51.0394607643,3.73821010799 51.0394886892,3.73825285433 51.0395967883,3.73834254212 51.0398193059,3.73837972968 51.0399165881,3.73839508458 51.0399481379,3.73865168296 51.0404753774,3.73875093871 51.0406634744,3.73882312822 51.0407685162,3.73884464198 51.0407992379,3.73891237495 51.0408864827,3.73898169075 51.0409727497,3.73901254698 51.0410074702,3.73923506238 51.0412308056,3.73982243121 51.0418075726,3.73992150102 51.0419033646,3.73993557672 51.0419169247))",90004432,,1,90004432,90004432,70654,9000,9000,Keizervest
"LINESTRING (3.6704308876 51.0752141085,3.67107181759 51.0753895949,3.67141002072 51.0754841819,3.67157761132 51.0755373129,3.67167274111 51.0755693363,3.67204054552 51.0756883684,3.67224923494 51.075760615,3.67227483424 51.0757661626,3.67228776638 51.0757599457,3.67237139594 51.0757020078,3.67240760074 51.0756662646,3.67291070851 51.0751307771,3.67305874008 51.0749635516,3.6731135993 51.0749207238,3.67321224959 51.0749078236,3.67322192804 51.0749285556,3.67327574521 51.0749558417,3.67348736673 51.0750227078,3.67365215458 51.075072221,3.6742971234 51.0752647966,3.67428383193 51.0752952798,3.6744543672 51.0753421298,3.67457960852 51.0753644403,3.67461716708 51.0754293846,3.67532051471 51.0756312833,3.67665331635 51.07601486,3.67713513045 51.0761453336,3.67746901628 51.0762434764,3.67777028517 51.076327942)",90300652,,1,90300652,90300652,70634,9030,9030,Kasteeldreef
"LINESTRING (3.73839508458 51.0399481379,3.73841655342 51.0401184247,3.73846200817 51.0402312947,3.73854888784 51.0404463754,3.73856953292 51.0404934572,3.73857549234 51.0405064806,3.7385879403 51.0405325313,3.73860085717 51.04055849,3.73861424207 51.0405843554,3.73862809589 51.0406101214,3.73864222639 51.0406354389,3.73867715469 51.0406912009,3.73869475448 51.0407188647,3.73871279894 51.0407463172,3.73873134196 51.0407736431,3.73875037636 51.0408008324,3.73876990843 51.0408278799,3.73878992469 51.040854785,3.73881042964 51.0408815461,3.73883142866 51.0409081705,3.73884923506 51.04093017,3.73886738103 51.0409520696,3.73888585668 51.0409738618,3.73893496578 51.041030426,3.73898631887 51.04108421,3.73907899357 51.0411788716,3.73910972314 51.0412094242,3.73925132548 51.0413473612,3.73944219232 51.0415364651,3.73962692547 51.0417229412,3.7397274182 51.041824006,3.7398899459 51.0419785841,3.74014536388 51.0422324972,3.74014591185 51.0422330925,3.74014615979 51.0422333766,3.74028581907 51.0423924041,3.74071120639 51.0428518143,3.74114400212 51.0433073449,3.74123892979 51.0433913425,3.74138301866 51.0435013732)",90004442,,1,90004442,90004442,70655,9000,9000,Keizerviaduct
"LINESTRING (3.7026848368 51.0775481343,3.70216303689 51.078015324,3.70159151164 51.0785667261)",90300561,,1,90300561,90300561,70730,9030,9030,Kolegemkouter
"MULTILINESTRING ((3.73819806248 51.0400041413,3.73832105083 51.0401366939,3.73845026899 51.040456826,3.73847394229 51.0405112546,3.73847982716 51.0405241006,3.73847996999 51.0405244045,3.73849261018 51.0405508602,3.73849275661 51.0405511663,3.7385058765 51.04057753,3.73850603281 51.0405778338,3.73851962971 51.0406041014,3.73851967463 51.0406041878,3.73851978692 51.0406043991,3.73853385723 51.0406305684,3.73853402162 51.0406308722,3.73854856624 51.0406569342,3.73854915284 51.0406579226,3.73858450245 51.0407143488,3.73858458689 51.0407144816,3.73860188575 51.0407416889,3.73860193336 51.0407417646,3.7386020726 51.0407419759,3.73861985475 51.0407690624,3.7386200416 51.0407693493,3.73863829716 51.0407963064,3.73863849389 51.0407965883,3.73865722107 51.040823416,3.73865742319 51.040823703,3.73867662827 51.0408503986,3.73867683399 51.0408506776,3.73869650529 51.0408772381,3.7386967146 51.04087752,3.73871685393 51.0409039399,3.73871688897 51.0409039823,3.73871707222 51.0409042218,3.73873768137 51.0409304959,3.73873789158 51.040930758,3.73875742365 51.0409550101,3.73875762936 51.0409552637,3.73877755579 51.0409793887,3.73877777049 51.0409796479,3.73879809308 51.0410036401,3.73879831226 51.0410038915,3.73884808342 51.0410612221,3.73884838975 51.0410615717,3.73884898713 51.0410622179,3.73890108941 51.0411167813,3.73890134364 51.0411170434,3.7389943561 51.0412120529,3.73899464176 51.0412123404,3.73901283445 51.0412304289,3.73907117104 51.0412855564,3.73927504998 51.0414947541),(3.73927439152 51.0414941113,3.73927504998 51.0414947541),(3.73927504998 51.0414947541,3.73927507244 51.0414947767,3.73935365257 51.0415716862,3.73944560682 51.0416631612,3.7394500939 51.041667664,3.73945458458 51.0416721724,3.73954562883 51.0417643888,3.73963559331 51.0418570219,3.7396399726 51.041861572,3.7396443995 51.041866173,3.73964847066 51.0418704097,3.73965254722 51.0418746532,3.73965359106 51.0418756987,3.73965414891 51.0418762228,3.7396750572 51.0418955266,3.73969577505 51.0419148202,3.73971964239 51.0419372553,3.73981068754 51.0420249391,3.73989925514 51.0421136586,3.73990707587 51.0421216649,3.73991499182 51.0421297982,3.73992386898 51.0421389555,3.73992980953 51.0421451035,3.73993556145 51.0421510714,3.74006358036 51.0422882877,3.74018603061 51.0424277793,3.74018628933 51.0424280696,3.74018665764 51.0424284723,3.74061277619 51.0428882963,3.7406130879 51.0428886289,3.74104721404 51.0433508583,3.74124453348 51.0435449236))",90004442,,1,90004442,90004442,70655,9000,9000,Keizerviaduct
"MULTILINESTRING ((3.69000626461 51.0756555584,3.68981877812 51.0758908975,3.68979960268 51.0759339326,3.68966048149 51.0763763035,3.68961295253 51.0764065918,3.68949054809 51.0766800598,3.68941536269 51.0768459279,3.68918178006 51.0774055095,3.68910803466 51.0775704878,3.68909870386 51.0776234714),(3.68909870386 51.0776234714,3.6893993646 51.0777519505,3.68922902515 51.0779846896),(3.68922902515 51.0779846896,3.68911579341 51.0777242496,3.68909521031 51.0776675005,3.68909870386 51.0776234714),(3.68922902515 51.0779846896,3.68876848047 51.0786463429,3.68835896189 51.0792327753,3.68788522185 51.0799168201,3.68774854677 51.0799924412,3.68758162272 51.0800876638,3.68750917539 51.080162753,3.68743777909 51.0802639201,3.68726242345 51.0805460692),(3.68609874404 51.0803910194,3.68616273732 51.0804066721,3.68650527303 51.0805021405,3.68695585719 51.0806260991),(3.68726242345 51.0805460692,3.68719662366 51.0806544591,3.68712214613 51.0806729059,3.68695585719 51.0806260991),(3.68695585719 51.0806260991,3.68726242345 51.0805460692))",90300563,,1,90300563,90300563,70734,9030,9030,Kollekasteelstraat
"LINESTRING (3.69210138109 51.0685211352,3.69208038387 51.0685920304,3.69201974669 51.0687400049,3.69201527308 51.0687534641,3.69201365072 51.0687669396,3.69201484458 51.0687831257,3.69202175981 51.0687984477,3.69203148318 51.0688164814,3.69204131524 51.0688273264,3.69205681477 51.0688408978,3.69278986789 51.0693547916,3.69317694296 51.0696221936)",90006433,,1,90006433,90006433,70657,9000,9000,Kempstraat
"LINESTRING (3.69749589103 51.0730574273,3.69698645374 51.0737414448,3.69683010735 51.0739498378,3.69681893052 51.0739609531,3.69679292159 51.0739818227,3.69677970827 51.0739905143,3.69675877124 51.0740023481,3.69673210565 51.0740146769,3.69672474485 51.074017622,3.69667792556 51.0740325251,3.69667325612 51.074033685,3.69663201985 51.0740416733,3.69661926916 51.07404337,3.69658188847 51.0740463739)",90300655,,1,90300655,90300655,142229,9030,9030,Kosterstiende
"LINESTRING (3.72494830281 51.0196729282,3.72517240822 51.0197113875,3.72518599883 51.0197154324,3.72538871625 51.0197757278,3.72557260858 51.0198372115,3.72594811335 51.0199627527,3.72615840626 51.0200330593,3.72628950549 51.0200762216,3.72654479772 51.0201602743,3.72672655385 51.0202201136,3.72687680247 51.0202695051,3.72716993353 51.0203658638,3.7273780624 51.0204356313,3.72740193513 51.0204503878,3.72742126058 51.020477667)",90009449,,1,90009449,90009449,70659,9000,9000,Keramiekstraat
"LINESTRING (3.69798847952 51.0762603384,3.6981031315 51.0762259332,3.69829585606 51.0761200552,3.69848343238 51.0759754963,3.69877868706 51.0756850232,3.6989889072 51.0753536133,3.69913342457 51.0751261105,3.69920052423 51.0750240116,3.69937014592 51.0748370984,3.69944400361 51.0747611093)",90300565,,1,90300565,90300565,70811,9030,9030,Krommepopulierstraat
"LINESTRING (3.69790590998 51.0642951755,3.6979090442 51.0643751974,3.69791030633 51.0643868902,3.69791301745 51.0643967951,3.69794218844 51.0644517934,3.69798516115 51.0645392331,3.69804616304 51.0646627348,3.69821518735 51.0650133771,3.69824417868 51.0650809616,3.69825502314 51.0651205766,3.69825448236 51.0651583287,3.69824542285 51.0651933343,3.69823206849 51.0652292166,3.69821739092 51.0652578972,3.69817504613 51.0653259758,3.69810799588 51.0654253734)",90006435,,1,90006435,90006435,70676,9000,9000,Kiekenstraat
"LINESTRING (3.66169831442 51.0706611599,3.66147102987 51.0710670142,3.66141963097 51.0711637894,3.66220167461 51.0713428681,3.66278329423 51.0714722011,3.66291553882 51.0711233074,3.66293241008 51.0706667526)",90300570,,1,90300570,90300570,70982,9030,9030,Mahoniestraat
"LINESTRING (3.72724043241 51.0293353988,3.72713260942 51.0294352109,3.72701547181 51.0295436448,3.72690365581 51.0296286865,3.7267505757 51.0297426205,3.72655703906 51.0298627789,3.72632304499 51.0300169998,3.72622692616 51.0300784716,3.72604239513 51.03019718,3.72584019963 51.0303288963,3.72568671168 51.0304378987,3.72556604279 51.03053937,3.72541959494 51.0306825884,3.72532579465 51.0307832445,3.725163408 51.0309699554,3.72499392465 51.0311619512,3.72496321215 51.0311924341,3.72492137042 51.0312162444,3.72469048812 51.0313237538)",90009445,,1,90009445,90009445,70677,9000,9000,Kievitlaan
"MULTILINESTRING ((3.69139562777 51.0841718478,3.69148136388 51.0841642489,3.69152730552 51.0841456348,3.69157816364 51.0840830034,3.69156009044 51.0840496401,3.69151470036 51.0840305024,3.6914491979 51.0840202377,3.69139178747 51.0840423809,3.69135542187 51.0840898157,3.69135915976 51.0841275901,3.69139562777 51.0841718478),(3.69139562777 51.0841718478,3.69054835386 51.0851234339,3.69037407531 51.0853309828,3.69029747686 51.0853970608,3.69015777087 51.085484352,3.68990706455 51.0856474151,3.68976740437 51.0857311073,3.68968929675 51.0858025737,3.689564501 51.0859438844,3.68911929954 51.0864285371,3.68886396779 51.0867129227,3.68862543364 51.0870198799,3.68827064941 51.0874690931,3.68765075347 51.0882844317))",90300579,,1,90300579,90300579,71070,9030,9030,Mispelbilk
"LINESTRING (3.71269116895 51.0644960942,3.71286189287 51.0645153744)",90000209,,1,90000209,90000209,185796,9000,9000,Koen Blieckpad
"LINESTRING (3.69863250601 51.0770253848,3.69810071144 51.076394915,3.69798847952 51.0762603384,3.69742000136 51.0756017896,3.6972464154 51.0753679797,3.69715596673 51.0752074586,3.6969800236 51.0748396958,3.69685702537 51.0745612269,3.69673374058 51.0743025343,3.69658188847 51.0740463739,3.69632877915 51.0736871597,3.69609503752 51.0734021602,3.6959804592 51.0733120133,3.69590691053 51.0732559678,3.69570269832 51.073168509,3.69553510592 51.0731145116,3.69539273732 51.0730921266,3.69487407433 51.0730424212)",90300581,,1,90300581,90300581,71083,9030,9030,Molenwalstraat
"LINESTRING (3.71285107356 51.0647974124,3.71278090076 51.0647450322,3.71286189377 51.0645153756)",90000216,,1,90000216,90000216,185797,9000,9000,Koen Blieckplein
