WKT,Name,description,tessellate,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"LINESTRING (3.74710886232 51.0761320329,3.74708460421 51.0761319054,3.74706035958 51.0761308804,3.7470375262 51.0761307602,3.74701184606 51.0761306248,3.74698758796 51.0761304972,3.74696332356 51.0761312665,3.74694191581 51.0761311536,3.74686766376 51.0761352585,3.74679756822 51.0761483729,3.74675459192 51.0761607304,3.74673166871 51.0761678006,3.74666996972 51.076193544,3.746651265 51.0762051317,3.74663112208 51.07621761,3.74658492352 51.0762578189,3.74655149721 51.0763034866,3.74652946153 51.076351014,3.74652452529 51.0764004264,3.7465281473 51.0764498878,3.74655034736 51.0764976487,3.74655031143 51.0765003431,3.74656975996 51.0765399992,3.74657635449 51.0765804832,3.74657296784 51.0766209159,3.74655673349 51.0766612836,3.74654944186 51.0766729321)",,,1,,,,9000,9000,
"LINESTRING (3.7443001601 51.0778790821,3.74456921901 51.0777133085,3.74478868282 51.077521202,3.7448002639 51.0775086794,3.74486404159 51.0774344065,3.74492495366 51.0773610162,3.74498588908 51.0772858282,3.74504398313 51.0772097275,3.74507454202 51.0771649428,3.74510522487 51.0771111708,3.74511881099 51.077055508,3.74511936076 51.0770141637)",,,1,,,,9000,9000,
"LINESTRING (3.71841622209 51.0778718473,3.71867947787 51.0777946515,3.71905087824 51.0776645539,3.71932196823 51.077564467,3.71952679669 51.0775089644,3.71971147954 51.0774659325,3.71991608342 51.0774266067,3.72040670999 51.0773421065,3.7205957272 51.0772946044,3.72073204296 51.0772405182,3.72085056128 51.0771315017,3.72091812897 51.0769925391,3.72102586751 51.0768376173,3.72114060393 51.0766926215,3.72123730937 51.0766131493,3.72135260275 51.0765310812,3.72150054899 51.0764608783,3.72179869983 51.0763636322,3.72198931515 51.0763035521,3.72227725484 51.0762224288,3.72249089577 51.076148089)",,,1,,,,9000,9000,
"LINESTRING (3.73081107037 51.0806797322,3.73094773737 51.0799712221)",,,1,,,,9000,9000,
"LINESTRING (3.685202485 51.0674925411,3.68590519482 51.0680260814)",90006506,,1,90006506,90006506,70974,9000,9000,Maeswal
"LINESTRING (3.73066460636 51.0809637715,3.73051751531 51.0812769634,3.73048375123 51.0813459976,3.73047634462 51.0813657358,3.73047174345 51.0813890835,3.73047452284 51.0813944893,3.73049645251 51.0814611288,3.73056279579 51.0815145245,3.73065797859 51.0815465014,3.73113991755 51.0815778727)",,,1,,,,9000,9000,
"LINESTRING (3.74511135228 51.0814727491,3.74509889624 51.0815508908,3.74509105305 51.0816038862,3.74508016277 51.081671245,3.74506940635 51.0817287205,3.74506153172 51.081784411,3.74505069085 51.0818481775,3.74503682894 51.081924511,3.74502590812 51.0819945674,3.74501511576 51.0820547383,3.74500579844 51.0821113217,3.74499495038 51.0821759873,3.74498403765 51.0822451466,3.74497177205 51.0823089018,3.7449638561 51.0823672907,3.74495161476 51.0824292512,3.74493918028 51.0825055933,3.74492824329 51.0825765523,3.74491739074 51.0826412156,3.74490502992 51.0827121642,3.74487375957 51.0829169503,3.74485364898 51.0830337045,3.74483804974 51.0831334027,3.74482421568 51.083207939,3.74479785282 51.0833651096,3.74454543431 51.0833511909)",,,1,,,,9000,9000,
"LINESTRING (3.7511236022 51.084891712,3.75112257812 51.0849166475,3.75110854195 51.0851152347)",,,1,,,,9000,9000,
"MULTILINESTRING ((3.73849295334 51.0743289408,3.73817382683 51.074292176,3.73804704401 51.0742762186,3.73791596543 51.0742620341,3.73779061182 51.0742460813,3.73764386933 51.074229117,3.7374657918 51.0742083868,3.73728057446 51.0741876206,3.7371153069 51.0741687558,3.73696145604 51.0741499549,3.73682042593 51.0741330199,3.73671499875 51.074120769,3.73662523549 51.0741112991,3.73654260036 51.0741018681,3.73648134694 51.0740943455,3.73643146978 51.0740895857,3.73639583721 51.074086697,3.7363487062 51.0740900401,3.73631864677 51.0740970694,3.73627994106 51.0741103464,3.73624256306 51.0741308214,3.736187888 51.074164688,3.73612888845 51.0742012266,3.73606557429 51.0742404393,3.73601088575 51.0742752061,3.73595623045 51.074307272,3.73587996349 51.0743545068),(3.73587996349 51.0743545068,3.73575917332 51.0743179018,3.73579706156 51.0742596743,3.7358231675 51.0742283533,3.73585080058 51.0741898489,3.73588272131 51.0741504668,3.73591322002 51.0741110779,3.73596106698 51.0740547014),(3.73235489795 51.0874201992,3.73341169222 51.0874816259,3.73368831135 51.0857892409,3.73403084256 51.0836934476,3.73440307477 51.0814156728,3.73449293594 51.0806817418,3.73470515394 51.0796590152,3.73477955781 51.0792225395,3.73483843788 51.0786682224,3.73494485411 51.0780809012,3.73505318913 51.0774567358,3.73520957235 51.0764453907,3.73536602114 51.0759563208,3.73546169262 51.0754237761,3.73550812743 51.0750500728,3.73556401432 51.0747159751,3.73562722428 51.0745787786,3.73587996349 51.0743545068))",,,1,,,,9000,9000,
"MULTILINESTRING ((3.74453391881 51.0806822458,3.74359614952 51.0806620806),(3.74453391881 51.0806822458,3.74454396916 51.0806778061,3.74455686088 51.0806742761,3.74457256703 51.0806734617,3.7445740196 51.0806716716,3.74465678498 51.0806721096,3.7449892353 51.0806765622),(3.74453391881 51.0806822458,3.74452385678 51.0806875862,3.74451520331 51.0806947308,3.7445093948 51.0807018912,3.74443378271 51.0808075651,3.74441482286 51.0808380266,3.74434639729 51.0809392419,3.74427513484 51.0810395461,3.74409325833 51.0813010645,3.74407584179 51.0813225483,3.74393406429 51.0814665216,3.74390231154 51.0814933219,3.74387635202 51.0815138597,3.74384750173 51.0815370804,3.7438201112 51.0815576103,3.74376536876 51.0815959731,3.74368485546 51.0816404922,3.74360723293 51.0816823284,3.74353970567 51.0817161308,3.74345359227 51.0817525319,3.74338617102 51.0817782406,3.74329726924 51.0818101309,3.7432041409 51.0818375032,3.74308954372 51.0818692575,3.74296492583 51.0819036534,3.7428818658 51.0819247887,3.74274724876 51.0819600316,3.74255104682 51.0820111276,3.74234054191 51.0820648454,3.74215580516 51.0821124063,3.74200831437 51.0821493771,3.74184506892 51.0821907586,3.74163457389 51.0822435744,3.74139541631 51.0823052292,3.74117202776 51.0823615713,3.74086842414 51.0824399587,3.74082831975 51.0824505324,3.74069513643 51.0824848833,3.74054049864 51.0825227126,3.74037008913 51.0825658505,3.7402068347 51.0826072322,3.7400564675 51.0826459807,3.73990179827 51.0826856095,3.73974857622 51.0827243461,3.73960824231 51.0827595551,3.7394363892 51.0828035844,3.73926740801 51.0828467294,3.73910128975 51.0828889912,3.73891800918 51.0829338589,3.73874042842 51.0829796543,3.73857575914 51.0830201254,3.73840247952 51.083064146,3.73824209251 51.0831046401,3.73811177122 51.0831381,3.73795854198 51.083176834,3.7378096067 51.0832146904,3.73766209704 51.083252557,3.73751316086 51.0832904122,3.7373756782 51.0833256343,3.73723249033 51.083360826,3.7371293871 51.0833863424,3.73706062106 51.0834057491,3.73700756656 51.083424342,3.7369816861 51.0834385886,3.73694566545 51.0834635639,3.73692975269 51.0834796608,3.73691373753 51.0835029454,3.73690629768 51.0835253784,3.7368987168 51.0835586005,3.73689248249 51.083597219,3.7368785613 51.0836771476,3.73685510539 51.0838289394,3.73684276703 51.0838971888,3.7368258787 51.0839851921,3.73680873525 51.0840920724,3.7368145752 51.0841882887,3.7368048725 51.0842727353,3.73679394718 51.0843418931,3.73678595308 51.0844056742,3.73677351231 51.0844811141,3.73675919137 51.0845907069,3.73684840396 51.0846424213,3.7369291077 51.0846904976,3.73714296693 51.0848129953,3.73738498564 51.0847522648,3.73763415944 51.0846897736,3.73788477593 51.0846263936,3.73812251507 51.084565638,3.73833587662 51.084512844,3.7385464022 51.0844591336,3.73879843982 51.0843957577,3.7390447453 51.0843341475,3.73930251867 51.0842690035,3.739465774 51.0842276234,3.73961326299 51.0841915549,3.73988965574 51.0841211142,3.74006722033 51.0840771172,3.74019468858 51.0840436337,3.74041235396 51.0839890633,3.74080903113 51.0838886966,3.74085199126 51.083878139,3.74137181308 51.0837469632,3.74154938755 51.083702064,3.74206776937 51.0835717776,3.7423412893 51.0835022163,3.74297423147 51.0833428701,3.74291509897 51.0837093143,3.74288420321 51.0838853384,3.74281444813 51.0842993697,3.74274622199 51.0847053149,3.7426903854 51.0850385166,3.74261439602 51.0854911669,3.74255858548 51.0858225736,3.74253683997 51.0859545978,3.74250711292 51.0861495054,3.74279640368 51.0860755297,3.74273268707 51.0864644221,3.74272035769 51.0865326761,3.7427048366 51.0866260801,3.74269087229 51.0867096042,3.74267851866 51.0867796561,3.74266294906 51.0868766552,3.74264284476 51.0869925085,3.74258085113 51.0873589361),(3.74389830775 51.0870333191,3.74346298057 51.087140682,3.74334268717 51.087170609,3.74316081066 51.0872163884,3.74286437201 51.0872903268,3.74258085113 51.0873589361),(3.74063817785 51.0878434945,3.74075637907 51.0878139827,3.74093681199 51.0877699965,3.7410900502 51.0877312596,3.74125615858 51.0876907916,3.74142516133 51.0876476449,3.74156836266 51.0876124458,3.74170870916 51.0875772377,3.74187769484 51.0875349875,3.74204523064 51.0874945261,3.74222281859 51.0874496238,3.74238607841 51.087408242,3.7425679612 51.0873624633,3.74258085113 51.0873589361),(3.74063817785 51.0878434945,3.74122700465 51.0887893123,3.74104966105 51.0890253932,3.74024071735 51.0892261289,3.73998006848 51.0892912614,3.73974376125 51.0893502306,3.73950172996 51.0894100658,3.73919095689 51.0894875113,3.73892457946 51.0895535112,3.73871835142 51.0896045469,3.73843766473 51.0896731619,3.73811830826 51.0897514618,3.73784046113 51.0898209906,3.73756693401 51.0898878448,3.73727049805 51.0899599712,3.73700267883 51.0900268534,3.73673485421 51.0900937389,3.73642407754 51.0901702794,3.73611043975 51.090247704,3.73602251534 51.0902049846,3.7359232533 51.090156809,3.7358097853 51.0901031638,3.73583152183 51.0899738354,3.73584554274 51.0898867175,3.73586853153 51.0897699839,3.73589025009 51.0896415535,3.735904324 51.0895508368,3.73592435733 51.0894412777,3.73594754644 51.08931016,3.7359647357 51.0891996858,3.7359803089 51.089103587,3.73600049224 51.0889832398,3.73714039415 51.0887061865,3.73741105295 51.0886402159,3.73741679409 51.0886375515,3.73771610376 51.0885636423,3.73788796315 51.0885205123,3.73806840055 51.0884765308,3.7382760605 51.0884246074,3.73843216165 51.088385888,3.73857394365 51.0883506883,3.73875294465 51.0883066982,3.73892336584 51.0882644588,3.73925701181 51.0881844382,3.73948042911 51.0881281004,3.73965513886 51.088084984,3.73977831585 51.0880532786,3.74000885319 51.0879978744,3.74063817785 51.0878434945))",,,1,,,,9000,9000,
